90428	jabberserver button hotmail Jabber Finish Join user usernames disables group	Bug Jabber Provider Character allowed Jabber login names
314558	test Tests Discovery DiscoveryTestsWithoutRegister Discovery Tests Register API Execute checks Add null suite	Bug Discovery DNS Add API checks null test suite
316595	service retrieving request lazily eagerly Discovery instances unit retrieval Defer	Bug Discovery Defer service retrieval unit tests
318075	Whitespaces Property allowed IService Discovery IServiceProperty IService Property Bug property	Bug Discovery Whitespaces allowed property
327029	foo IFooService IFoo Service method proxy rosgi rosgiFoo rosgi Foo original SmartProxyService Smart Proxy Service Proxy smart	Bug OSGi RemoteSrvs Smart Proxy delegate original method Remote Srvs
327060	port URI bug zookeeper location interest service dev mailing discovery	Bug discovery zookeeper location URI include port
327379	Remote factory RestCallFactory Rest Call Factory RemoteCallFactory Remote Call Factory rest Call Factory Rest remoteservice IRemoteCallFactory IRemote Call Factory	Bug IRemoteCallFactory IRemote Call Factory
327582	implementation Remote getRemoteServiceReferences Remote Service References Service simplified String unnecessary parameter osgi References	Bug osgi simplify implementation getRemoteServiceReferences Remote Service References
328772	Status null Serializable SerializableStatus Serializable Status exception STATUS status Exception org Throwable	Bug org eclipse ecf core status SerializableStatus STATUS exception org eclipse ecf core status SerializableStatus checkForSerializable Throwable null Serializable Status Serializable Status check Serializable
328998	Discovery Container discovery CompositeDiscoveryContainer Composite Discovery Container Composite locator CompositeDiscoveryContainerInstantiator Composite Discovery Container Instantiator advertisers provider Instantiator	Bug Discovery Composite CompositeDiscoveryContainer advertisers set locator Composite Discovery Container
328999	Discovery discovery broken Service hostname URI services hostnames resolve Inet	Bug Discovery resilient broken hostnames
329054	Container connect discovery Discovery provider containers IConnect Connect org Composite	Bug Discovery Composite org eclipse ecf provider discovery CompositeDiscoveryContainer connect IConnectContext handle ContainerConnectExceptions nested discovery providers Composite Discovery Container IConnect Context Container Connect Exceptions
331740	Discovery DiscoveryContainers Discovery Containers CompositeDiscoveryContainer Composite Discovery Container Composite Containers Container misses instantiation Bug	Bug Discovery Composite CompositeDiscoveryContainer misses DiscoveryContainers Composite Discovery Container Discovery Containers
332852	ZooDiscoveryContainer Zoo Discovery Container Zoo Discovery Bundle asynchronously startup Zookeeper timeout Slow Container	Bug Discovery ZooDiscovery Slow Zookeeper startup timeout BundleActivator start Zoo Discovery Bundle Activator
337345	Service endpoint service devsosgi remoteserviceadmin remote container ERROR Container supported	Bug remoteserviceadmin Service Info null publish endpointDescription endpoint Description
337643	Service service ServiceA Service ServiceATracker Service ATracker Endpoint services EndpointDescription Endpoint Description remote osgi Context	Bug remoteserviceadmin classloader proxy creation access IRemoteServiceProxy IRemote Service Proxy
342002	remote Service Call service IRemote restCall rest Call call status remoteService remote Service Remote	Bug RestClientService invokeRemoteCall throws exception successful HTTP operation returns HTTP status Rest Client Service invoke Remote Call
342352	private properties RSA service exported someProperty Property Property foo TCK intent	Bug TCK RSA exports private properties
342782	set TCK event properties bundle RSA events spec symbolicname version	Bug TCK RSA events set properties incorrectly
369023	Trace eclipse ecf tracing printStackTrace print Stack Trace String org method dies throwable	Bug NullPointerException tracing org eclipse ecf core util Trace catching Null Pointer Exception
371768	needed annoying service Harmless NPE unpublish Zoodiscovery thrown watchmanager unpublishing	Bug Zoodiscovery NPE unpublishing service
406064	client server high CPU processes percentage zoodiscovery Discovery Zoo zookeeper	Bug Discovery ZooDiscovery high cpu percentage server client zookeeper Zoo Discovery
408030	RestClientService Rest Client Service client encoding content Http Service Request Post Type Rest	Bug RestClientService ignores content encoding Rest Client Service
414448	importService import Service Service RemoteServiceAdmin Remote Service Admin configs Remote matching imported import error publish	Bug RemoteServiceAdmin importService robust face matching configs Remote Service Admin import Service
419902	Channel Topics update Impl NPE impl topicsAdded topics Endpoint String topics	Bug OSGi NPE ethz iks osgi impl ChannelEndpointImpl updateTopics String String Channel Endpoint Impl update Topics
420433	service SERVICE MODIFIED OSGi Message receives osgi impl iks updating	Bug OSGi NPE ethz iks osgi impl ChannelEndpointImpl handleMessage RemoteOSGiMessage SERVICE MODIFIED received SERVICE Channel Endpoint Impl handle Message Remote OSGi Message
426497	listener Discovery Listener Service discovery org eclipse DiscoveryServiceListener Discovery Service Listener ecf register	Bug org eclipse ecf internal discovery DiscoveryServiceListener register IServiceTyped listener type wildcards Discovery Service Listener IService Typed
464701	connection Zoodiscovery disconnect closes client connect Zookeeper services server remote	Bug Discovery Zookeeper Auto reconnect issue
471541	tests service ClassCastException Class Cast Exception remote problem failing JUnit Class test trace	Bug ClassCastException JUnit integration tests Class Cast Exception
485482	org Discovery ecf discovery obsolete existing removing Composite services eclipse	Bug remove code org eclipse ecf provider discovery
