90428	jabberserver button hotmail disables Join Jabber Character username Finish group	Bug Jabber Provider Character allowed Jabber login names
327029	method IFooService IFoo Service foo rosgiFoo rosgi Foo Service proxy original rosgi abstract Smart	Bug OSGi RemoteSrvs Smart Proxy delegate original method Remote Srvs
327060	bug dev mailing location URI problem msg service discovery Note	Bug discovery zookeeper location URI include port
327379	Remote RestCallFactory Rest Call Factory IRemoteCallFactory IRemote Call Factory factory Factory rest RemoteCallFactory Remote Call Factory remoteservice RemoteCalls Remote Calls Call	Bug IRemoteCallFactory IRemote Call Factory
327582	Service incorrect parameter unnecessary Remote getRemoteServiceReferences Remote Service References implementation String osgi simplified	Bug osgi simplify implementation getRemoteServiceReferences Remote Service References
328772	null Status STATUS exception SerializableStatus Serializable Status Serializable status Exception ecf core	Bug org eclipse ecf core status SerializableStatus STATUS exception org eclipse ecf core status SerializableStatus checkForSerializable Throwable null Serializable Status Serializable Status check Serializable
328998	Discovery Container discovery Instance provider locator create Object Composite CompositeDiscoveryContainerInstantiator Composite Discovery Container Instantiator	Bug Discovery Composite CompositeDiscoveryContainer advertisers set locator Composite Discovery Container
328999	Discovery Service discovery broken URI ecf Listener resource Address resolve	Bug Discovery resilient broken hostnames
329054	Container discovery Discovery connect provider Connect containers Context CDC IConnect	Bug Discovery Composite org eclipse ecf provider discovery CompositeDiscoveryContainer connect IConnectContext handle ContainerConnectExceptions nested discovery providers Composite Discovery Container IConnect Context Container Connect Exceptions
331740	Discovery DiscoveryContainers Discovery Containers CompositeDiscoveryContainer Composite Discovery Container Composite Containers Container misses instantiation Bug	Bug Discovery Composite CompositeDiscoveryContainer misses DiscoveryContainers Composite Discovery Container Discovery Containers
332852	Discovery Zoo startup ZooDiscoveryContainer Zoo Discovery Container Zookeeper ZooDiscovery Zoo Discovery BundleActivator Bundle Activator Slow Bundle timeout	Bug Discovery ZooDiscovery Slow Zookeeper startup timeout BundleActivator start Zoo Discovery Bundle Activator
337345	Service service devsosgi endpoint container Container supported osgi services uri	Bug remoteserviceadmin Service Info null publish endpointDescription endpoint Description
337643	Service service ServiceA Service Context osgi ServiceATracker Service ATracker Exception Provider ecf IRemoteServiceProxy IRemote Service Proxy	Bug remoteserviceadmin classloader proxy creation access IRemoteServiceProxy IRemote Service Proxy
342002	Service service remote restCall rest Call Call create IRemote status request dbUrl Url	Bug RestClientService invokeRemoteCall throws exception successful HTTP operation returns HTTP status Rest Client Service invoke Remote Call
342352	private properties intent someProperty Property RSA Property service TCK exported foo	Bug TCK RSA exports private properties
342782	bundle incorrectly Bug set TCK properties RSA version event events	Bug TCK RSA events set properties incorrectly
369023	Trace tracing catching pluginId plugin throwable Pointer void org crazy Null	Bug NullPointerException tracing org eclipse ecf core util Trace catching Null Pointer Exception
371768	NPE needed Harmless annoying service Zoodiscovery unpublish thrown watchmanager unpublishing	Bug Zoodiscovery NPE unpublishing service
406064	Discovery processes server zookeeper Zoo ZooDiscovery Zoo Discovery high percentage client CPU	Bug Discovery ZooDiscovery high cpu percentage server client zookeeper Zoo Discovery
408030	client content Service IRemote org RestClientService Rest Client Service Http creation Method Request	Bug RestClientService ignores content encoding Rest Client Service
414448	importService import Service Service RemoteServiceAdmin Remote Service Admin Admin publish configs create matching import error	Bug RemoteServiceAdmin importService robust face matching configs Remote Service Admin import Service
419902	update NPE Topics OSGi ChannelEndpointImpl Channel Endpoint Impl osgi updateTopics update Topics Impl Channel String	Bug OSGi NPE ethz iks osgi impl ChannelEndpointImpl updateTopics String String Channel Endpoint Impl update Topics
420433	SERVICE Message service OSGi osgi NPE handleMessage handle Message MODIFIED iks impl	Bug OSGi NPE ethz iks osgi impl ChannelEndpointImpl handleMessage RemoteOSGiMessage SERVICE MODIFIED received SERVICE Channel Endpoint Impl handle Message Remote OSGi Message
426497	Service listener Discovery Listener discovery DiscoveryServiceListener Discovery Service Listener IService org type register	Bug org eclipse ecf internal discovery DiscoveryServiceListener register IServiceTyped listener type wildcards Discovery Service Listener IService Typed
464701	connection server application services disconnect Session remote client creates connect	Bug Discovery Zookeeper Auto reconnect issue
471541	tests service problem failing remote server forums Class JUnit JVM	Bug ClassCastException JUnit integration tests Class Cast Exception
485482	removing Discovery removed empty existing discovery remove CompositeDiscoveryContainer Composite Discovery Container org provider	Bug remove code org eclipse ecf provider discovery
