90428	user button Join Finish hotmail usernames group character action jabberserver	Bug Jabber Provider Character allowed Jabber login names
329054	connect Container Discovery provider IConnect discovery org containers Connect connects	Bug Discovery Composite org eclipse ecf provider discovery CompositeDiscoveryContainer connect IConnectContext handle ContainerConnectExceptions nested discovery providers Composite Discovery Container IConnect Context Container Connect Exceptions
331740	Discovery DiscoveryContainers Discovery Containers Container Containers Composite CompositeDiscoveryContainer Composite Discovery Container misses instantiation Bug	Bug Discovery Composite CompositeDiscoveryContainer misses DiscoveryContainers Composite Discovery Container Discovery Containers
332852	Zoo Discovery ZooDiscoveryContainer Zoo Discovery Container Container startup Zookeeper Activator timeout ZooDiscovery Zoo Discovery Bundle	Bug Discovery ZooDiscovery Slow Zookeeper startup timeout BundleActivator start Zoo Discovery Bundle Activator
337345	Service service services supported endpoint Container remote framework Endpoint component	Bug remoteserviceadmin Service Info null publish endpointDescription endpoint Description
337643	Service service ServiceA Service registration props class ecf Endpoint Class EndpointDescription Endpoint Description	Bug remoteserviceadmin classloader proxy creation access IRemoteServiceProxy IRemote Service Proxy
342002	Service remote Call service Remote request IRemote requestType request Type status call	Bug RestClientService invokeRemoteCall throws exception successful HTTP operation returns HTTP status Rest Client Service invoke Remote Call
342352	private exported Property properties service Dotted someProperty Property intent foo RSA	Bug TCK RSA exports private properties
342782	set properties TCK event events Bug bundle version spec incorrectly	Bug TCK RSA events set properties incorrectly
369023	Trace eclipse framework String core java util method null org	Bug NullPointerException tracing org eclipse ecf core util Trace catching Null Pointer Exception
371768	Harmless service needed annoying thrown NPE unpublish Zoodiscovery Bug	Bug Zoodiscovery NPE unpublishing service
406064	server client CPU processes Discovery high cpu zookeeper Zoo zoodiscovery	Bug Discovery ZooDiscovery high cpu percentage server client zookeeper Zoo Discovery
408030	Service client Client Type Method Http Request content user creation	Bug RestClientService ignores content encoding Rest Client Service
414448	imported Service Remote Admin importService import Service matching RemoteServiceAdmin Remote Service Admin error configs publish	Bug RemoteServiceAdmin importService robust face matching configs Remote Service Admin import Service
419902	Channel topicsAdded topics update Topics Impl NPE topics impl Endpoint null	Bug OSGi NPE ethz iks osgi impl ChannelEndpointImpl updateTopics String String Channel Endpoint Impl update Topics
420433	SERVICE MODIFIED service receives Channel Message Remote Impl impl NPE	Bug OSGi NPE ethz iks osgi impl ChannelEndpointImpl handleMessage RemoteOSGiMessage SERVICE MODIFIED received SERVICE Channel Endpoint Impl handle Message Remote OSGi Message
426497	Service Discovery discovery type org Listener eclipse listener DiscoveryServiceListener Discovery Service Listener IService	Bug org eclipse ecf internal discovery DiscoveryServiceListener register IServiceTyped listener type wildcards Discovery Service Listener IService Typed
464701	connection disconnect closes services server client Connect connect Session reconnects	Bug Discovery Zookeeper Auto reconnect issue
471541	tests service Class Exception remote problem ClassCastException Class Cast Exception fails trace failing	Bug ClassCastException JUnit integration tests Class Cast Exception
485482	discovery org Discovery provider obsolete eclipse Container dev existing removing	Bug remove code org eclipse ecf provider discovery
