90428	action button Jabber user ECF login Provider hotmail group Character	Bug Jabber Provider Character allowed Jabber login names
222824	user port Host provider Google default Bug talk catch work	Bug XMPP doesn work port Google Talk Host
222868	password entered mail button MSN clicked Bug connection wizard Select	Bug MSN mail password entered Finish button clicked
233808	Listener IService Test IDIService test DiscoveryTest Discovery Test provider testAddServiceListenerIServiceTypeIDIServiceListener test Add Service Listener IService Type IDIService Listener Discovery Service	Bug Discovery SLP org eclipse ecf tests discovery DiscoveryTest testAddServiceListenerIServiceTypeIDIServiceListener fails SLP provider Discovery Test test Add Service Listener IService Type IDIService Listener
238970	sun CPU MSN usage java Eclipse bit bug guess report	Bug MSN CPU usage increases connecting
242950	targetID target IRCChannel target IRCChannelContainer IRCChannel Container fireContainerEvent fire Container Event Container connection disconnect server root	Bug IRCChannelContainer throws NPE disconnect connection timeouts IRCChannel Container
250717	IResourceID IResource URI dev html eclipse IResource environment core mailing CDC	Bug api add IResourceID IResource
254833	consumer Bundle jslp Advertiser service BundleContext Bundle Context jSLP SLP eclipse SLP system	Bug Discovery SLP org eclipse ecf internal provider jslp Activator start BundleContext activate jSLP eagerly Bundle Context SLP
255329	getServiceName Service registerService register Service IServiceID IService Service IService JMDNSDiscovery SLP Container JMDNSDiscoveryContainer JMDNSDiscovery Container container	Bug Discovery JMDNS Fall hostname IServiceID getServiceName null IService Service
255347	Service getServiceName Service Discovery service discovery IServiceID IService isn fall fine SLP	Bug Discovery SLP optional IServiceID getServiceName isn set service discovery registration IService Service
255352	Service IService JMDNS JMDNSDiscoveryContainer JMDNSDiscovery Container JMDNSDiscovery Container weight priority exchanges container	Bug Discovery JMDNS JMDNS exchanges priority weight
257926	JSLPService JSLPServiceInfo JSLPService Info IService jslp IServiceInfo IService Info SecurityException Security Exception eclipse doesn java lang	Bug Discovery SLP JSLPServiceInfo IServiceInfo doesn throw SecurityException JSLPService Info IService Info Security Exception
258488	error SDK Framework code EMF Graphical Eclipse Modelling Release Install	NPE status code
259233	discovery Discovery URI JMDNS segment path Bug	Bug Discovery JMDNS URI path lost discovery
259389	http Bug SLP php func aid scope case sourceforge detail	Bug Discovery SLP lookup scope case insensitive
265551	Http URLRetrievePauseResumeTest URLRetrieve Pause Resume Test provider tests URLRetrieve TIME Pause Test resource HttpClient Http Client	Bug pause reads entire resource HttpClient provider Http Client
266120	getServiceTypeIDs Service Type IDs servicetypes Service authority ECF IServiceTypeID IService Type Zeroconf service Discovery Type	Bug Discovery JmDNS IServiceTypeID default naming authority set DNS IService Type
267481	server IRemoteServiceContainerAdapter IRemote Service Container Adapter support Service Server adapter Generic Abstract IRemote Container	Bug server supporrt remoteservice container adapter generic server
270332	DocShares Doc Shares patch problems Doc meaning Remy attachment details Shares group	Bug called DocShares ECF Generic group handling Doc Shares
273135	StringBuffer String Buffer LogService Log Service Log Buffer Service implementation logging String message parameter	Bug LogService implementation misses details logging Log Service
282667	Point CodeAnalyzer Code Analyzer ExtensionPoint Extension Point Extension reply bug addExtensionPoints add Extension Points Points class Code	Bug remotesrvs osgi class parsing exception ethz iks osgi impl CodeAnalyzer Code Analyzer
296107	SLP SLPv messages protocol version jSLP SLP Bug versions formats Discovery	Bug Discovery jSLP discard SLP protocol messages version SLP
302394	SLP attribute jSLP SLP HTAB parser tags Bug Discovery Test	Bug Discovery jSLP Test parser bad tags SLP
302407	Service callSync call Sync type ServiceURL Service URL Advertiser AdvertiserImpl Advertiser Impl remotesrvs Remote RemoteServiceImpl Remote Service Impl Impl	Bug remotesrvs osgi remote method invocation fails mismatch caused parameter type inheritance org eclipse ecf internal provider osgi RemoteServiceImpl callSync Remote Service Impl call Sync
314558	test Discovery API DNS DiscoveryTestsWithoutRegister Discovery Tests Register Tests Register Bug checks suite	Bug Discovery DNS Add API checks null test suite
316595	service lazily Bug Defer retrieval Discovery eagerly test instances unit	Bug Discovery Defer service retrieval unit tests
318075	IServiceProperty IService Property IService Whitespaces property Property Bug Discovery	Bug Discovery Whitespaces allowed property
327029	Service IFooService IFoo Service rosgi foo Proxy Foo SmartProxyService Smart Proxy Service consumer service html	Bug OSGi RemoteSrvs Smart Proxy delegate original method Remote Srvs
327060	mailing dev html solution eclipse problem bug location mhonarc org	Bug discovery zookeeper location URI include port
327379	RemoteCallFactory Remote Call Factory Remote Factory IRemoteCallFactory IRemote Call Factory RemoteCalls Remote Calls factory remoteservice IRemote rest Rest	Bug IRemoteCallFactory IRemote Call Factory
327582	incorrect idFilter Filter getRemoteServiceReferences Remote Service References implementation Service osgi Filter unnecessary parameter Remote	Bug osgi simplify implementation getRemoteServiceReferences Remote Service References
328772	Serializable Status SerializableStatus Serializable Status Exception STATUS Throwable checkForSerializable check Serializable core status null	Bug org eclipse ecf core status SerializableStatus STATUS exception org eclipse ecf core status SerializableStatus checkForSerializable Throwable null Serializable Status Serializable Status check Serializable
328998	Container Instance Composite CDC Discovery CompositeDiscoveryContainerInstantiator Composite Discovery Container Instantiator CompositeDiscoveryContainer Composite Discovery Container discovery createInstance create Instance Type	Bug Discovery Composite CompositeDiscoveryContainer advertisers set locator Composite Discovery Container
328999	ServiceResource Service Resource Address Discovery resource Resource ecf Service discovery ECF hostnames	Bug Discovery resilient broken hostnames
329054	Container provider IConnect containers CompositeDiscoveryContainer Composite Discovery Container Composite Discovery providers connect ecf	Bug Discovery Composite org eclipse ecf provider discovery CompositeDiscoveryContainer connect IConnectContext handle ContainerConnectExceptions nested discovery providers Composite Discovery Container IConnect Context Container Connect Exceptions
331740	CompositeDiscoveryContainer Composite Discovery Container Container Containers DiscoveryContainers Discovery Containers Composite Discovery Bug instantiation	Bug Discovery Composite CompositeDiscoveryContainer misses DiscoveryContainers Composite Discovery Container Discovery Containers
332852	Zoo BundleActivator Bundle Activator startup Discovery start Activator Bundle ZooDiscovery Zoo Discovery Zookeeper Container	Bug Discovery ZooDiscovery Slow Zookeeper startup timeout BundleActivator start Zoo Discovery Bundle Activator
337345	Service osgi service devsosgi ERROR services ecf object Container endpoint	Bug remoteserviceadmin Service Info null publish endpointDescription endpoint Description
337643	Service service ServiceA Service ecf props Endpoint propsA props Context ServiceATracker Service ATracker IRemoteServiceProxy IRemote Service Proxy	Bug remoteserviceadmin classloader proxy creation access IRemoteServiceProxy IRemote Service Proxy
342002	Service service IRemote containerFactory container Factory restCall rest Call Parameters Call Callables adapter dbUrl Url	Bug RestClientService invokeRemoteCall throws exception successful HTTP operation returns HTTP status Rest Client Service invoke Remote Call
342352	someProperty Property Property RSA properties foo intent exports Bug service	Bug TCK RSA exports private properties
342782	RSA TCK bundle symbolicname Bug incorrectly properties events set event	Bug TCK RSA events set properties incorrectly
369023	Trace pluginId plugin method java printStackTrace print Stack Trace core Null plugin Throwable framework	Bug NullPointerException tracing org eclipse ecf core util Trace catching Null Pointer Exception
371768	Harmless service watchmanager NPE annoying Bug Zoodiscovery	Bug Zoodiscovery NPE unpublishing service
406064	client server ZooDiscovery Zoo Discovery zookeeper Discovery Zoo percentage CPU zoodiscovery Bug	Bug Discovery ZooDiscovery high cpu percentage server client zookeeper Zoo Discovery
408030	Service Client RestClientService Rest Client Service client UTF content consumer IRemoteCallable IRemote Callable Type creation	Bug RestClientService ignores content encoding Rest Client Service
414448	importService import Service import Service error registration configs Admin imported RemoteServiceAdmin Remote Service Admin Bug	Bug RemoteServiceAdmin importService robust face matching configs Remote Service Admin import Service
419902	Impl OSGi ChannelEndpointImpl Channel Endpoint Impl ethz Channel NPE Topics impl Endpoint updateTopics update Topics	Bug OSGi NPE ethz iks osgi impl ChannelEndpointImpl updateTopics String String Channel Endpoint Impl update Topics
420433	Message SERVICE OSGi RemoteOSGiMessage Remote OSGi Message Channel service Impl handleMessage handle Message Endpoint ChannelEndpointImpl Channel Endpoint Impl	Bug OSGi NPE ethz iks osgi impl ChannelEndpointImpl handleMessage RemoteOSGiMessage SERVICE MODIFIED received SERVICE Channel Endpoint Impl handle Message Remote OSGi Message
426497	Listener Service type listener DiscoveryServiceListener Discovery Service Listener register discovery org IService ecf	Bug org eclipse ecf internal discovery DiscoveryServiceListener register IServiceTyped listener type wildcards Discovery Service Listener IService Typed
464701	connection Zoodiscovery client ClientCnxn Client Cnxn Zookeeper startConnect start Connect SendThread Send Thread Thread services creates	Bug Discovery Zookeeper Auto reconnect issue
471541	tests type client JUnit problem service callee JVM forums test	Bug ClassCastException JUnit integration tests Class Cast Exception
485482	dev Discovery eclipse provider Composite distribution removing org ecf services	Bug remove code org eclipse ecf provider discovery
