90428	Jabber hotmail user login action disables group jabberserver button ECF	Bug Jabber Provider Character allowed Jabber login names
255329	IService IServiceID IService hostname registerService register Service JMDNSDiscoveryContainer JMDNSDiscovery Container Service checks Discovery org JMDNS	Bug Discovery JMDNS Fall hostname IServiceID getServiceName null IService Service
255347	discovery service getServiceName Service IServiceID IService Service fall Discovery SLP fine eclipse	Bug Discovery SLP optional IServiceID getServiceName isn set service discovery registration IService Service
255352	JMDNS Info Service Container weight priority JMDNSDiscoveryContainer JMDNSDiscovery Container JMDNSDiscovery Discovery createServiceInfoFromIServiceInfo create Service Info IService Info	Bug Discovery JMDNS JMDNS exchanges priority weight
257926	JSLPServiceInfo JSLPService Info SecurityException Security Exception Info Security eclipse IServiceInfo IService Info JSLPService Discovery doesn jslp	Bug Discovery SLP JSLPServiceInfo IServiceInfo doesn throw SecurityException JSLPService Info IService Info Security Exception
258488	error SDK Eclipse EMF log code Install NPEs Graphical status	NPE status code
259233	Discovery URI JMDNS path discovery lost segment Bug	Bug Discovery JMDNS URI path lost discovery
259389	SLP case sourceforge scope aid func Discovery Bug detail tracker	Bug Discovery SLP lookup scope case insensitive
265551	tests resource Pause Http transfer pause TIME provider Test HttpClient Http Client	Bug pause reads entire resource HttpClient provider Http Client
266120	service getServiceTypeIDs Service Type IDs Type Discovery authority servicetypes JmDNS DNS Service ECF set	Bug Discovery JmDNS IServiceTypeID default naming authority set DNS IService Type
267481	adapter IRemoteServiceContainerAdapter IRemote Service Container Adapter class server Container support GenericServerContainer Generic Server Container plugin IRemote Server	Bug server supporrt remoteservice container adapter generic server
270332	patch problems attachment meaning Doc group docshare channels called details	Bug called DocShares ECF Generic group handling Doc Shares
273135	implementation Log LogService Log Service String Service StringBuffer String Buffer details parameter message logging	Bug LogService implementation misses details logging Log Service
282667	Extension class ExtensionPoint Extension Point bug CodeAnalyzer Code Analyzer Code service point Wojciech OSGI	Bug remotesrvs osgi class parsing exception ethz iks osgi impl CodeAnalyzer Code Analyzer
296107	SLPv version messages SLP jSLP SLP Discovery versions formats discard Bug	Bug Discovery jSLP discard SLP protocol messages version SLP
302394	parser tags attribute jSLP SLP HTAB Discovery Bug bad Test SLP	Bug Discovery jSLP Test parser bad tags SLP
302407	exception Impl Service java Method inheritance org type ethz parameter	Bug remotesrvs osgi remote method invocation fails mismatch caused parameter type inheritance org eclipse ecf internal provider osgi RemoteServiceImpl callSync Remote Service Impl call Sync
314558	Discovery test API DiscoveryTestsWithoutRegister Discovery Tests Register DNS checks Tests Register Add suite	Bug Discovery DNS Add API checks null test suite
316595	service Discovery Defer retrieval Bug unit request test instances retrieving	Bug Discovery Defer service retrieval unit tests
318075	Whitespaces property IService Discovery Property Bug allowed IServiceProperty IService Property	Bug Discovery Whitespaces allowed property
327029	method IFooService IFoo Service foo OSGi rosgi Smart proxy stub Proxy rosgiFoo rosgi Foo	Bug OSGi RemoteSrvs Smart Proxy delegate original method Remote Srvs
327060	dev location mailing bug interest zookeeper solution mhonarc eclipse discovery	Bug discovery zookeeper location URI include port
327379	IRemoteCallFactory IRemote Call Factory Remote factory RemoteCallFactory Remote Call Factory Call IRemote Factory remoteservice RestCallFactory Rest Call Factory rest	Bug IRemoteCallFactory IRemote Call Factory
327582	implementation getRemoteServiceReferences Remote Service References idFilter Filter osgi Remote Service parameter String simplified Filter	Bug osgi simplify implementation getRemoteServiceReferences Remote Service References
328772	Throwable Serializable org SerializableStatus Serializable Status core Status eclipse ecf null STATUS	Bug org eclipse ecf core status SerializableStatus STATUS exception org eclipse ecf core status SerializableStatus checkForSerializable Throwable null Serializable Status Serializable Status check Serializable
328998	Container Composite Discovery CompositeDiscoveryContainer Composite Discovery Container eclipse ecf discovery provider Type advertisers	Bug Discovery Composite CompositeDiscoveryContainer advertisers set locator Composite Discovery Container
328999	Discovery Service discovery Inet ServiceResource Service Resource hostname Listener ecf NPE resource	Bug Discovery resilient broken hostnames
329054	Container provider containers ecf CDC Discovery ContainerConnectException Container Connect Exception Composite discovery CompositeDiscoveryContainer Composite Discovery Container	Bug Discovery Composite org eclipse ecf provider discovery CompositeDiscoveryContainer connect IConnectContext handle ContainerConnectExceptions nested discovery providers Composite Discovery Container IConnect Context Container Connect Exceptions
331740	CompositeDiscoveryContainer Composite Discovery Container Composite Discovery Containers Container DiscoveryContainers Discovery Containers instantiation misses Bug	Bug Discovery Composite CompositeDiscoveryContainer misses DiscoveryContainers Composite Discovery Container Discovery Containers
332852	Discovery Zoo Bundle startup ZooDiscoveryContainer Zoo Discovery Container Zookeeper BundleActivator Bundle Activator Container Activator Slow	Bug Discovery ZooDiscovery Slow Zookeeper startup timeout BundleActivator start Zoo Discovery Bundle Activator
337345	Service devsosgi service osgi ecf endpoint ERROR container Container jumper	Bug remoteserviceadmin Service Info null publish endpointDescription endpoint Description
337643	Service service osgi propsA props property props ServiceA Service ecf class Consumer	Bug remoteserviceadmin classloader proxy creation access IRemoteServiceProxy IRemote Service Proxy
342002	Service service Factory IRemote status Container adapter Call HTTP class	Bug RestClientService invokeRemoteCall throws exception successful HTTP operation returns HTTP status Rest Client Service invoke Remote Call
342352	RSA foo properties someProperty Property intent private service TCK exports Property	Bug TCK RSA exports private properties
342782	bundle TCK RSA properties events set symbolicname event version Bug	Bug TCK RSA events set properties incorrectly
369023	Trace org git pluginId plugin option Pointer method ecf String System	Bug NullPointerException tracing org eclipse ecf core util Trace catching Null Pointer Exception
371768	NPE service watchmanager Zoodiscovery annoying needed unpublish Bug unpublishing thrown	Bug Zoodiscovery NPE unpublishing service
406064	percentage client Discovery Zoo zookeeper high CPU server zoodiscovery processes	Bug Discovery ZooDiscovery high cpu percentage server client zookeeper Zoo Discovery
408030	RestClientService Rest Client Service content remoteservice org client Service UTF IRemote Client eclipse	Bug RestClientService ignores content encoding Rest Client Service
414448	error importService import Service configs Service RemoteServiceAdmin Remote Service Admin matching registration import Remote Admin	Bug RemoteServiceAdmin importService robust face matching configs Remote Service Admin import Service
419902	NPE Channel String Impl ethz OSGi Endpoint Topics impl update	Bug OSGi NPE ethz iks osgi impl ChannelEndpointImpl updateTopics String String Channel Endpoint Impl update Topics
420433	OSGi SERVICE Message service NPE handleMessage handle Message ethz Channel Remote impl	Bug OSGi NPE ethz iks osgi impl ChannelEndpointImpl handleMessage RemoteOSGiMessage SERVICE MODIFIED received SERVICE Channel Endpoint Impl handle Message Remote OSGi Message
426497	register org listener Listener Service ecf eclipse discovery IService wildcards	Bug org eclipse ecf internal discovery DiscoveryServiceListener register IServiceTyped listener type wildcards Discovery Service Listener IService Typed
464701	Zookeeper Zoodiscovery connection client case application event Exception services Thread	Bug Discovery Zookeeper Auto reconnect issue
471541	problem tests service JVM test unit forums JUnit server ClassCastException Class Cast Exception	Bug ClassCastException JUnit integration tests Class Cast Exception
485482	org ecf distribution Discovery Composite eclipse dev empty existing replace	Bug remove code org eclipse ecf provider discovery
