90428	Character Jabber button jabberserver Provider hotmail Bug org Join names	Bug Jabber Provider Character allowed Jabber login names
270332	DocShares Doc Shares called fixed subject Bug ECF reference Doc Generic patch	Bug called DocShares ECF Generic group handling Doc Shares
273135	implementation LogService Log Service logging String Bug StringBuffer String Buffer misses Log Service details	Bug LogService implementation misses details logging Log Service
282667	iks CodeAnalyzer Code Analyzer Code Bug exception Extension osgi impl file method	Bug remotesrvs osgi class parsing exception ethz iks osgi impl CodeAnalyzer Code Analyzer
296107	Discovery messages SLPv jSLP SLP version Bug SLP protocol change discard	Bug Discovery jSLP discard SLP protocol messages version SLP
302394	jSLP SLP Discovery Bug tags parser bad Test SLP attribute accept	Bug Discovery jSLP Test parser bad tags SLP
302407	method remote remotesrvs RemoteServiceImpl Remote Service Impl Bug Service osgi Impl fails callSync call Sync	Bug remotesrvs osgi remote method invocation fails mismatch caused parameter type inheritance org eclipse ecf internal provider osgi RemoteServiceImpl callSync Remote Service Impl call Sync
314558	test Discovery Tests Bug DNS DiscoveryTestsWithoutRegister Discovery Tests Register suite Execute Add null	Bug Discovery DNS Add API checks null test suite
316595	Discovery service retrieving Bug retrieval Defer lazily eagerly request unit	Bug Discovery Defer service retrieval unit tests
318075	Bug Discovery IServiceProperty IService Property Whitespaces IService allowed	Bug Discovery Whitespaces allowed property
327029	method OSGi Service RemoteSrvs Remote Srvs IFooService IFoo Service Bug http Smart Remote proxy	Bug OSGi RemoteSrvs Smart Proxy delegate original method Remote Srvs
327060	location URI discovery service dev Note zookeeper Bug problem mailing	Bug discovery zookeeper location URI include port
327379	IRemoteCallFactory IRemote Call Factory Factory Remote RestCallFactory Rest Call Factory Call IRemote Bug remoteservice RemoteCallFactory Remote Call Factory factory	Bug IRemoteCallFactory IRemote Call Factory
327582	Service getRemoteServiceReferences Remote Service References implementation osgi incorrect unnecessary Remote Filter simplify Bug	Bug osgi simplify implementation getRemoteServiceReferences Remote Service References
328772	status ecf SerializableStatus Serializable Status Status core exception org Serializable STATUS eclipse	Bug org eclipse ecf core status SerializableStatus STATUS exception org eclipse ecf core status SerializableStatus checkForSerializable Throwable null Serializable Status Serializable Status check Serializable
328998	Discovery Container Instance Composite discovery CompositeDiscoveryContainer Composite Discovery Container Instantiator create Object locator	Bug Discovery Composite CompositeDiscoveryContainer advertisers set locator Composite Discovery Container
328999	Discovery Service broken discovery Address Bug resource Resource URI Listener	Bug Discovery resilient broken hostnames
329054	Discovery Container discovery Composite provider connect IConnect Context org Connect	Bug Discovery Composite org eclipse ecf provider discovery CompositeDiscoveryContainer connect IConnectContext handle ContainerConnectExceptions nested discovery providers Composite Discovery Container IConnect Context Container Connect Exceptions
331740	Discovery DiscoveryContainers Discovery Containers Container Composite CompositeDiscoveryContainer Composite Discovery Container Containers Bug	Bug Discovery Composite CompositeDiscoveryContainer misses DiscoveryContainers Composite Discovery Container Discovery Containers
332852	Discovery Zoo ZooDiscovery Zoo Discovery Zookeeper startup Slow Bug ZooDiscoveryContainer Zoo Discovery Container BundleActivator Bundle Activator timeout	Bug Discovery ZooDiscovery Slow Zookeeper startup timeout BundleActivator start Zoo Discovery Bundle Activator
337345	Service service endpoint Container services container remoteserviceadmin osgi devsosgi uri	Bug remoteserviceadmin Service Info null publish endpointDescription endpoint Description
337643	Service remoteserviceadmin Exception classloader IRemoteServiceProxy IRemote Service Proxy Context service Bug ServiceA Service proxy	Bug remoteserviceadmin classloader proxy creation access IRemoteServiceProxy IRemote Service Proxy
342002	status method remote RestClientService Rest Client Service Service service restCall rest Call IRemoteServiceRegistration IRemote Service Registration HTTP request	Bug RestClientService invokeRemoteCall throws exception successful HTTP operation returns HTTP status Rest Client Service invoke Remote Call
342352	private properties RSA intent TCK Property exported someProperty Property Bug exports	Bug TCK RSA exports private properties
342782	Bug incorrectly TCK RSA set bundle properties events spec version	Bug TCK RSA events set properties incorrectly
369023	tracing NullPointerException Null Pointer Exception core Bug java Trace org void catching Exception	Bug NullPointerException tracing org eclipse ecf core util Trace catching Null Pointer Exception
371768	NPE Harmless service needed Zoodiscovery annoying Bug thrown unpublishing unpublish	Bug Zoodiscovery NPE unpublishing service
406064	Discovery server ZooDiscovery Zoo Discovery high zookeeper processes Zoo Bug percentage client	Bug Discovery ZooDiscovery high cpu percentage server client zookeeper Zoo Discovery
408030	content client RestClientService Rest Client Service Client Service Method IRemoteCallable IRemote Callable encoding ignores org	Bug RestClientService ignores content encoding Rest Client Service
414448	importService import Service RemoteServiceAdmin Remote Service Admin Service Admin create Bug matching configs import robust	Bug RemoteServiceAdmin importService robust face matching configs Remote Service Admin import Service
419902	OSGi NPE updateTopics update Topics ChannelEndpointImpl Channel Endpoint Impl osgi iks update String Bug impl	Bug OSGi NPE ethz iks osgi impl ChannelEndpointImpl updateTopics String String Channel Endpoint Impl update Topics
420433	SERVICE OSGi NPE Message Channel iks Bug service RemoteOSGiMessage Remote OSGi Message osgi	Bug OSGi NPE ethz iks osgi impl ChannelEndpointImpl handleMessage RemoteOSGiMessage SERVICE MODIFIED received SERVICE Channel Endpoint Impl handle Message Remote OSGi Message
426497	discovery org DiscoveryServiceListener Discovery Service Listener Bug Service eclipse Discovery ecf type listener	Bug org eclipse ecf internal discovery DiscoveryServiceListener register IServiceTyped listener type wildcards Discovery Service Listener IService Typed
464701	connection Bug server services Zookeeper application remote client Connect Discovery	Bug Discovery Zookeeper Auto reconnect issue
471541	tests Class remote problem service JUnit ClassCastException Class Cast Exception Exception failing server	Bug ClassCastException JUnit integration tests Class Cast Exception
485482	remove discovery provider eclipse Bug removing org removed ecf Discovery	Bug remove code org eclipse ecf provider discovery
