90428	user action login Character button group Jabber hotmail Provider ECF	Bug Jabber Provider Character allowed Jabber login names
270332	problems patch group attachment reference details channels called meaning Shares	Bug called DocShares ECF Generic group handling Doc Shares
273135	implementation Service Buffer Log StringBuffer String Buffer println details Bug String logging	Bug LogService implementation misses details logging Log Service
282667	Extension class Point Code bug impl Analyzer Points file ExtensionPoint Extension Point	Bug remotesrvs osgi class parsing exception ethz iks osgi impl CodeAnalyzer Code Analyzer
296107	version SLPv messages SLP change Discovery formats jSLP SLP log marked	Bug Discovery jSLP discard SLP protocol messages version SLP
302394	parser tags attribute jSLP SLP HTAB Bug Discovery bad SLP Test	Bug Discovery jSLP Test parser bad tags SLP
302407	Impl Service exception org java Remote util AdvertiserImpl Advertiser Impl type Sync	Bug remotesrvs osgi remote method invocation fails mismatch caused parameter type inheritance org eclipse ecf internal provider osgi RemoteServiceImpl callSync Remote Service Impl call Sync
314558	Discovery test Bug DNS suite checks API DiscoveryTestsWithoutRegister Discovery Tests Register Register Tests	Bug Discovery DNS Add API checks null test suite
316595	service Bug retrieval Discovery retrieving eagerly Defer tests instances test	Bug Discovery Defer service retrieval unit tests
318075	Whitespaces Bug Discovery IService property IServiceProperty IService Property Property allowed	Bug Discovery Whitespaces allowed property
327029	foo method Service IFooService IFoo Service Proxy Foo Smart stub proxy service	Bug OSGi RemoteSrvs Smart Proxy delegate original method Remote Srvs
327060	location org html mailing dev discovery eclipse solution port bug	Bug discovery zookeeper location URI include port
327379	RemoteCallFactory Remote Call Factory Remote Factory Call RestCallFactory Rest Call Factory IRemoteCallFactory IRemote Call Factory factory remoteservice Calls RemoteCalls Remote Calls	Bug IRemoteCallFactory IRemote Call Factory
327582	implementation Service idFilter Filter Filter Remote getRemoteServiceReferences Remote Service References simplified parameter References unnecessary	Bug osgi simplify implementation getRemoteServiceReferences Remote Service References
328772	core Status Throwable org Exception eclipse Serializable SerializableStatus Serializable Status exception STATUS	Bug org eclipse ecf core status SerializableStatus STATUS exception org eclipse ecf core status SerializableStatus checkForSerializable Throwable null Serializable Status Serializable Status check Serializable
328998	Discovery Container discovery Type Composite Instance provider Instantiator eclipse ecf	Bug Discovery Composite CompositeDiscoveryContainer advertisers set locator Composite Discovery Container
328999	Discovery Service hostname discovery org Address ServiceResource Service Resource Listener resource Resource	Bug Discovery resilient broken hostnames
329054	Container provider containers Discovery CDC CompositeDiscoveryContainer Composite Discovery Container providers org ecf IConnect	Bug Discovery Composite org eclipse ecf provider discovery CompositeDiscoveryContainer connect IConnectContext handle ContainerConnectExceptions nested discovery providers Composite Discovery Container IConnect Context Container Connect Exceptions
331740	Container Containers Discovery Composite CompositeDiscoveryContainer Composite Discovery Container DiscoveryContainers Discovery Containers misses Bug instantiation	Bug Discovery Composite CompositeDiscoveryContainer misses DiscoveryContainers Composite Discovery Container Discovery Containers
332852	Discovery Zoo startup Activator Container Zookeeper Bundle timeout BundleActivator Bundle Activator Slow	Bug Discovery ZooDiscovery Slow Zookeeper startup timeout BundleActivator start Zoo Discovery Bundle Activator
337345	Service service Container services ERROR devsosgi object endpoint configs container	Bug remoteserviceadmin Service Info null publish endpointDescription endpoint Description
337643	Service service props ServiceA Service ecf class osgi property propsA props Class	Bug remoteserviceadmin classloader proxy creation access IRemoteServiceProxy IRemote Service Proxy
342002	Service service Factory status Remote IRemote Call class Client Parameters	Bug RestClientService invokeRemoteCall throws exception successful HTTP operation returns HTTP status Rest Client Service invoke Remote Call
342352	properties foo intent Property someProperty Property RSA private service exported Dotted	Bug TCK RSA exports private properties
342782	events bundle properties TCK Bug RSA set version symbolicname event	Bug TCK RSA events set properties incorrectly
369023	Trace util org core framework pluginId plugin Pointer method String git	Bug NullPointerException tracing org eclipse ecf core util Trace catching Null Pointer Exception
371768	service NPE Harmless watchmanager needed thrown annoying Zoodiscovery Bug unpublish	Bug Zoodiscovery NPE unpublishing service
406064	client Discovery server Zoo zookeeper CPU cpu percentage Bug processes	Bug Discovery ZooDiscovery high cpu percentage server client zookeeper Zoo Discovery
408030	Service Client org Type client content user creation Method ecf	Bug RestClientService ignores content encoding Rest Client Service
414448	Service error registration Admin Remote importService import Service configs imported matching RemoteServiceAdmin Remote Service Admin	Bug RemoteServiceAdmin importService robust face matching configs Remote Service Admin import Service
419902	NPE Channel Impl ethz Endpoint impl update topicsAdded topics null Bug	Bug OSGi NPE ethz iks osgi impl ChannelEndpointImpl updateTopics String String Channel Endpoint Impl update Topics
420433	SERVICE Message Channel NPE Remote OSGi service Impl RemoteOSGiMessage Remote OSGi Message ethz	Bug OSGi NPE ethz iks osgi impl ChannelEndpointImpl handleMessage RemoteOSGiMessage SERVICE MODIFIED received SERVICE Channel Endpoint Impl handle Message Remote OSGi Message
426497	Service org discovery Listener type listener eclipse Discovery register IService	Bug org eclipse ecf internal discovery DiscoveryServiceListener register IServiceTyped listener type wildcards Discovery Service Listener IService Typed
464701	connection client event Zookeeper case Thread services application Zoodiscovery Client	Bug Discovery Zookeeper Auto reconnect issue
471541	tests problem service test unit forums trace Exception server ClassCastException Class Cast Exception	Bug ClassCastException JUnit integration tests Class Cast Exception
485482	org distribution eclipse Discovery provider discovery dev ecf Composite release	Bug remove code org eclipse ecf provider discovery
