90428	Jabber Provider Character user login ECF action Bug hotmail group	Bug Jabber Provider Character allowed Jabber login names
327029	OSGi Smart Proxy proxy method foo Bug IFooService IFoo Service RemoteSrvs Remote Srvs Service	Bug OSGi RemoteSrvs Smart Proxy delegate original method Remote Srvs
327060	location zookeeper discovery Bug dev eclipse html mhonarc mailing solution	Bug discovery zookeeper location URI include port
327379	IRemoteCallFactory IRemote Call Factory Factory Call IRemote Remote RemoteCallFactory Remote Call Factory Bug factory remoteservice RemoteCalls Remote Calls	Bug IRemoteCallFactory IRemote Call Factory
327582	implementation getRemoteServiceReferences Remote Service References osgi Service idFilter Filter Remote simplify Filter Bug parameter	Bug osgi simplify implementation getRemoteServiceReferences Remote Service References
328772	org core eclipse Serializable ecf SerializableStatus Serializable Status Throwable Status status Bug	Bug org eclipse ecf core status SerializableStatus STATUS exception org eclipse ecf core status SerializableStatus checkForSerializable Throwable null Serializable Status Serializable Status check Serializable
328998	Discovery Composite Container CompositeDiscoveryContainer Composite Discovery Container Type ecf discovery Description eclipse advertisers	Bug Discovery Composite CompositeDiscoveryContainer advertisers set locator Composite Discovery Container
328999	Discovery Service hostnames ServiceResource Service Resource discovery broken hostname NPE org Bug	Bug Discovery resilient broken hostnames
329054	Container Discovery provider Composite ecf discovery org CompositeDiscoveryContainer Composite Discovery Container providers Bug	Bug Discovery Composite org eclipse ecf provider discovery CompositeDiscoveryContainer connect IConnectContext handle ContainerConnectExceptions nested discovery providers Composite Discovery Container IConnect Context Container Connect Exceptions
331740	Container Discovery Composite CompositeDiscoveryContainer Composite Discovery Container Containers DiscoveryContainers Discovery Containers Bug instantiation	Bug Discovery Composite CompositeDiscoveryContainer misses DiscoveryContainers Composite Discovery Container Discovery Containers
332852	Discovery Zoo Container Slow Activator ZooDiscovery Zoo Discovery Bundle Bug Zookeeper startup	Bug Discovery ZooDiscovery Slow Zookeeper startup timeout BundleActivator start Zoo Discovery Bundle Activator
337345	Service osgi topology service endpoint Container endpointDescription endpoint Description services remoteserviceadmin devsosgi	Bug remoteserviceadmin Service Info null publish endpointDescription endpoint Description
337643	Service remoteserviceadmin Bug classloader service propsA props props property class osgi	Bug remoteserviceadmin classloader proxy creation access IRemoteServiceProxy IRemote Service Proxy
342002	status HTTP RestClientService Rest Client Service Factory Service service IRemote Parameters class Client	Bug RestClientService invokeRemoteCall throws exception successful HTTP operation returns HTTP status Rest Client Service invoke Remote Call
342352	RSA properties Bug TCK foo someProperty Property intent exports private Property	Bug TCK RSA exports private properties
342782	TCK RSA properties events Bug bundle set symbolicname spec event	Bug TCK RSA events set properties incorrectly
369023	org NullPointerException Null Pointer Exception Bug Trace util method plugin tracing pluginId plugin core	Bug NullPointerException tracing org eclipse ecf core util Trace catching Null Pointer Exception
371768	NPE service Bug Zoodiscovery watchmanager annoying unpublishing thrown unpublish needed	Bug Zoodiscovery NPE unpublishing service
406064	Discovery percentage client Bug Zoo server high CPU ZooDiscovery Zoo Discovery zookeeper	Bug Discovery ZooDiscovery high cpu percentage server client zookeeper Zoo Discovery
408030	RestClientService Rest Client Service content Client client remoteservice ecf Service org ignores IRemoteCallable IRemote Callable	Bug RestClientService ignores content encoding Rest Client Service
414448	importService import Service Service RemoteServiceAdmin Remote Service Admin Bug configs error registration matching Admin import	Bug RemoteServiceAdmin importService robust face matching configs Remote Service Admin import Service
419902	NPE ethz OSGi String Bug Channel Impl impl Endpoint iks	Bug OSGi NPE ethz iks osgi impl ChannelEndpointImpl updateTopics String String Channel Endpoint Impl update Topics
420433	OSGi SERVICE NPE Message Bug ethz Remote service Channel handleMessage handle Message	Bug OSGi NPE ethz iks osgi impl ChannelEndpointImpl handleMessage RemoteOSGiMessage SERVICE MODIFIED received SERVICE Channel Endpoint Impl handle Message Remote OSGi Message
426497	org ecf eclipse discovery register Service Listener listener internal Bug	Bug org eclipse ecf internal discovery DiscoveryServiceListener register IServiceTyped listener type wildcards Discovery Service Listener IService Typed
464701	Zookeeper connection Zoodiscovery client Bug Discovery case reconnect event application	Bug Discovery Zookeeper Auto reconnect issue
471541	tests JUnit ClassCastException Class Cast Exception problem service JVM attachment integration forums test	Bug ClassCastException JUnit integration tests Class Cast Exception
485482	ecf org Bug eclipse distribution remove dev Discovery provider code	Bug remove code org eclipse ecf provider discovery
