90428	button Jabber Provider Bug Character action allowed login	Bug Jabber Provider Character allowed Jabber login names
265551	URLRetrievePauseResumeTest URLRetrieve Pause Resume Test Http pause entire provider URLRetrieve Bug reads HttpClient Http Client resource	Bug pause reads entire resource HttpClient provider Http Client
266120	getServiceTypeIDs Service Type IDs Discovery JmDNS DNS IServiceTypeID IService Type servicetypes Bug naming Service default authority	Bug Discovery JmDNS IServiceTypeID default naming authority set DNS IService Type
267481	server generic adapter support Abstract Generic IRemoteServiceContainerAdapter IRemote Service Container Adapter Bug Server Service	Bug server supporrt remoteservice container adapter generic server
270332	DocShares Doc Shares called Bug Doc ECF Generic group handling	Bug called DocShares ECF Generic group handling Doc Shares
273135	LogService Log Service logging Log implementation StringBuffer String Buffer Bug misses details String invokes	Bug LogService implementation misses details logging Log Service
282667	CodeAnalyzer Code Analyzer Point osgi remotesrvs ExtensionPoint Extension Point Bug bug issues reply iks	Bug remotesrvs osgi class parsing exception ethz iks osgi impl CodeAnalyzer Code Analyzer
296107	messages protocol SLP jSLP SLP Discovery SLPv Bug version discard discards	Bug Discovery jSLP discard SLP protocol messages version SLP
302394	jSLP SLP SLP Discovery Bug parser bad Test tags accept	Bug Discovery jSLP Test parser bad tags SLP
302407	remotesrvs Bug method callSync call Sync osgi remote ServiceURL Service URL Service type RemoteServiceImpl Remote Service Impl	Bug remotesrvs osgi remote method invocation fails mismatch caused parameter type inheritance org eclipse ecf internal provider osgi RemoteServiceImpl callSync Remote Service Impl call Sync
314558	test Discovery Tests suite DNS Bug Add API checks null	Bug Discovery DNS Add API checks null test suite
316595	Discovery lazily service Defer Bug eagerly retrieval unit retrieving instances	Bug Discovery Defer service retrieval unit tests
318075	IServiceProperty IService Property Whitespaces Discovery IService Bug allowed	Bug Discovery Whitespaces allowed property
327029	RemoteSrvs Remote Srvs OSGi Service Proxy rosgi IFooService IFoo Service Bug SmartProxyService Smart Proxy Service html Foo	Bug OSGi RemoteSrvs Smart Proxy delegate original method Remote Srvs
327060	dev mailing discovery problem zookeeper location solution Bug html URI	Bug discovery zookeeper location URI include port
327379	IRemoteCallFactory IRemote Call Factory Remote Factory factory RemoteCallFactory Remote Call Factory IRemote Call RemoteCalls Remote Calls Bug rest	Bug IRemoteCallFactory IRemote Call Factory
327582	osgi incorrect implementation getRemoteServiceReferences Remote Service References Remote simplify unnecessary Bug Service String	Bug osgi simplify implementation getRemoteServiceReferences Remote Service References
328772	status Status Serializable SerializableStatus Serializable Status org Exception null eclipse STATUS ecf	Bug org eclipse ecf core status SerializableStatus STATUS exception org eclipse ecf core status SerializableStatus checkForSerializable Throwable null Serializable Status Serializable Status check Serializable
328998	Container Discovery Composite Instance CompositeDiscoveryContainer Composite Discovery Container CompositeDiscoveryContainerInstantiator Composite Discovery Container Instantiator CDC create versa createInstance create Instance	Bug Discovery Composite CompositeDiscoveryContainer advertisers set locator Composite Discovery Container
328999	Discovery Service Address ServiceResource Service Resource broken resource discovery Resource ecf Bug	Bug Discovery resilient broken hostnames
329054	Container Composite Discovery discovery connect provider IConnect eclipse org providers	Bug Discovery Composite org eclipse ecf provider discovery CompositeDiscoveryContainer connect IConnectContext handle ContainerConnectExceptions nested discovery providers Composite Discovery Container IConnect Context Container Connect Exceptions
331740	Container CompositeDiscoveryContainer Composite Discovery Container DiscoveryContainers Discovery Containers Composite Discovery Containers	Bug Discovery Composite CompositeDiscoveryContainer misses DiscoveryContainers Composite Discovery Container Discovery Containers
332852	Zoo ZooDiscovery Zoo Discovery Discovery BundleActivator Bundle Activator Zookeeper start startup Bug Bundle Slow	Bug Discovery ZooDiscovery Slow Zookeeper startup timeout BundleActivator start Zoo Discovery Bundle Activator
337345	Service osgi service remoteserviceadmin endpoint services Container devsosgi ecf ERROR	Bug remoteserviceadmin Service Info null publish endpointDescription endpoint Description
337643	Service remoteserviceadmin IRemoteServiceProxy IRemote Service Proxy service objectClass object Class proxy Context classloader registerService register Service ServiceA Service	Bug remoteserviceadmin classloader proxy creation access IRemoteServiceProxy IRemote Service Proxy
342002	invokeRemoteCall invoke Remote Call RestClientService Rest Client Service Service containerFactory container Factory restCall rest Call IRemoteServiceRegistration IRemote Service Registration requestType request Type remoteService remote Service HTTP IRemote	Bug RestClientService invokeRemoteCall throws exception successful HTTP operation returns HTTP status Rest Client Service invoke Remote Call
342352	someProperty Property RSA properties TCK private Bug Property exports exported service	Bug TCK RSA exports private properties
342782	RSA set TCK Bug incorrectly event properties events symbolicname bundle	Bug TCK RSA events set properties incorrectly
369023	NullPointerException Null Pointer Exception eclipse Trace printStackTrace print Stack Trace tracing Null pluginId plugin java core Bug	Bug NullPointerException tracing org eclipse ecf core util Trace catching Null Pointer Exception
371768	annoying Harmless NPE Zoodiscovery Bug unpublishing service thrown unpublish watchmanager	Bug Zoodiscovery NPE unpublishing service
406064	ZooDiscovery Zoo Discovery client server Discovery high Bug Zoo zookeeper percentage cpu	Bug Discovery ZooDiscovery high cpu percentage server client zookeeper Zoo Discovery
408030	RestClientService Rest Client Service client content IRemoteCallable IRemote Callable Client encoding Rest Service Callable ignores	Bug RestClientService ignores content encoding Rest Client Service
414448	importService import Service RemoteServiceAdmin Remote Service Admin Service import Bug matching robust configs imported find	Bug RemoteServiceAdmin importService robust face matching configs Remote Service Admin import Service
419902	OSGi ChannelEndpointImpl Channel Endpoint Impl Impl updateTopics update Topics impl NPE osgi String Bug Topics	Bug OSGi NPE ethz iks osgi impl ChannelEndpointImpl updateTopics String String Channel Endpoint Impl update Topics
420433	SERVICE OSGi Message RemoteOSGiMessage Remote OSGi Message ChannelEndpointImpl Channel Endpoint Impl Bug Endpoint Impl NPE osgi	Bug OSGi NPE ethz iks osgi impl ChannelEndpointImpl handleMessage RemoteOSGiMessage SERVICE MODIFIED received SERVICE Channel Endpoint Impl handle Message Remote OSGi Message
426497	DiscoveryServiceListener Discovery Service Listener org type eclipse listener Listener ecf internal Service Bug	Bug org eclipse ecf internal discovery DiscoveryServiceListener register IServiceTyped listener type wildcards Discovery Service Listener IService Typed
464701	connection Zoodiscovery client Bug Zookeeper creates server Discovery ClientCnxn Client Cnxn Connect	Bug Discovery Zookeeper Auto reconnect issue
471541	tests JUnit ClassCastException Class Cast Exception client callee type remote package Class suites	Bug ClassCastException JUnit integration tests Class Cast Exception
485482	provider dev removing remove eclipse ecf org Composite Bug Discovery	Bug remove code org eclipse ecf provider discovery
