59	MDT Utils Equals lang hour buggy DST Calendar DAY DateUtils Utils	lang DateUtils truncate method buggy dealing DST switching hours Utils
638	Exception Number String NumberUtils Number Utils StringIndexOutOfBoundsException String Bounds Exception Format createNumber create Number Utils indicators NumberFormatException Number Format Exception	NumberUtils createNumber throws StringIndexOutOfBoundsException argument passed Number Utils create Number String Bounds Exception
645	Format locale week FastDateFormat Fast Format Simple format Week import SimpleDateFormat Simple Format println	FastDateFormat format outputs incorrect week year locale isn respected Fast Format
662	Fraction Integer MIN method case code void test getDenominator Denominator Denominator	org apache commons lang math Fraction reduce Integer MIN
664	Number return hasDecPoint Dec Point code java change hasExp Exp String isNumber Number Digit	NumberUtils isNumber String String Number Utils Number
677	Calendar isSameLocalTime Local Time Time Local Utils Millis HOUR DateUtils Utils False method	DateUtils isSameLocalTime work correct Utils Local Time
719	pattern Java Format SimpleDateFormat Simple Format year number format bug FastDateFormat Fast Format YYY	FastDateFormat formats year differently SimpleDateFormat Java Fast Format Simple Format
746	Number case Utils createNumber create Number NumberFormatException Number Format Exception Integer NumberUtils Number Utils Format Exception upper	NumberUtils handle upper case hex Number Utils
747	Number Integer Long createLong create Long hex numbers Utils Hex createNumber create Number length	NumberUtils handle Long Hex numbers Number Utils
788	Class Serialization Exception ClassNotFoundException Class Exception Input ObjectInputStream Object Input Stream Loader noformat SerializationUtils Serialization Utils primitiveType primitive Type	SerializationUtils throws ClassNotFoundException cloning primitive classes Serialization Utils Class Exception
805	Int code ends length pass start user char nextInt Int gap	RandomStringUtils random count false false universe random throws java lang ArrayIndexOutOfBoundsException Random String Utils Array Bounds Exception
807	Random Utils String source problem lang IllegalArgumentException Illegal Argument Exception RandomUtils Random Utils Argument Illegal	RandomStringUtils throws confusing IAE start Random String Utils
822	Number Big createNumber create Number BigDecimal Big Decimal Decimal behaviour work Utils Java Exception	NumberUtils createNumber bad behaviour leading Number Utils create Number
831	FDP FastDateParser Fast Parser Parser dates SDP Format space SimpleDateFormat Simple Format Javadoc number	FastDateParser handle white space properly Fast Parser
832	format parse FastDateParser Fast Parser quotes Format Simple SimpleDateFormat Simple Format Parser FDP handle	FastDateParser handle unterminated quotes correctly Fast Parser
882	CharSequence Char Sequence Char String Sequence work Map CharBuffer Char Buffer Buffer Utils Code	LookupTranslator accepts CharSequence input fails work implementations String Lookup Translator Char Sequence
