90428	hotmail Jabber button jabberserver user Character group login disables Join	Bug Jabber Provider Character allowed Jabber login names
258488	error SDK Modelling Eclipse update Graphical Framework Install tools EMF	NPE status code
259233	Discovery path discovery lost URI JMDNS segment Bug	Bug Discovery JMDNS URI path lost discovery
259389	Discovery lookup scope SLP Bug case sourceforge aid func net	Bug Discovery SLP lookup scope case insensitive
265551	tests Http Pause resource URLRetrievePauseResumeTest URLRetrieve Pause Resume Test Resume provider changed HttpClient Http Client transfer	Bug pause reads entire resource HttpClient provider Http Client
266120	Discovery naming servicetypes getServiceTypeIDs Service Type IDs service Service Type authority DNS JmDNS DNS	Bug Discovery JmDNS IServiceTypeID default naming authority set DNS IService Type
267481	class IRemoteServiceContainerAdapter IRemote Service Container Adapter server adapter support plugin Container GenericServerContainer Generic Server Container Server Generic	Bug server supporrt remoteservice container adapter generic server
270332	patch problems Doc fixed attachment subject meaning DocShares Doc Shares group docshare	Bug called DocShares ECF Generic group handling Doc Shares
273135	implementation Log String LogService Log Service StringBuffer String Buffer Service logging Buffer details parameter	Bug LogService implementation misses details logging Log Service
282667	Extension ExtensionPoint Extension Point Code CodeAnalyzer Code Analyzer bug class Point file Galanciak Wojciech	Bug remotesrvs osgi class parsing exception ethz iks osgi impl CodeAnalyzer Code Analyzer
296107	SLPv messages version SLP Discovery jSLP SLP change Bug protocol formats	Bug Discovery jSLP discard SLP protocol messages version SLP
302394	tags jSLP SLP parser Bug Discovery attribute HTAB SLP bad Test	Bug Discovery jSLP Test parser bad tags SLP
302407	Service Impl java exception callSync call Sync Method Remote RemoteServiceImpl Remote Service Impl type method	Bug remotesrvs osgi remote method invocation fails mismatch caused parameter type inheritance org eclipse ecf internal provider osgi RemoteServiceImpl callSync Remote Service Impl call Sync
314558	Discovery test DiscoveryTestsWithoutRegister Discovery Tests Register Tests API DNS checks Bug Register null	Bug Discovery DNS Add API checks null test suite
316595	service Discovery retrieving retrieval request Bug lazily Defer unit instances	Bug Discovery Defer service retrieval unit tests
318075	Whitespaces Bug Discovery IService IServiceProperty IService Property property Property allowed	Bug Discovery Whitespaces allowed property
327029	method IFooService IFoo Service foo rosgiFoo rosgi Foo Service OSGi rosgi Smart proxy Proxy	Bug OSGi RemoteSrvs Smart Proxy delegate original method Remote Srvs
327060	location dev bug mailing mhonarc eclipse URI org service discovery	Bug discovery zookeeper location URI include port
327379	IRemoteCallFactory IRemote Call Factory Remote RemoteCallFactory Remote Call Factory Factory RestCallFactory Rest Call Factory factory remoteservice IRemote RemoteCalls Remote Calls rest	Bug IRemoteCallFactory IRemote Call Factory
327582	Service getRemoteServiceReferences Remote Service References implementation idFilter Filter osgi parameter Remote Filter incorrect String	Bug osgi simplify implementation getRemoteServiceReferences Remote Service References
328772	SerializableStatus Serializable Status Serializable Status core Throwable STATUS ecf org null exception	Bug org eclipse ecf core status SerializableStatus STATUS exception org eclipse ecf core status SerializableStatus checkForSerializable Throwable null Serializable Status Serializable Status check Serializable
328998	Container Discovery discovery Composite CompositeDiscoveryContainer Composite Discovery Container Instance provider CompositeDiscoveryContainerInstantiator Composite Discovery Container Instantiator eclipse ecf	Bug Discovery Composite CompositeDiscoveryContainer advertisers set locator Composite Discovery Container
328999	Discovery Service discovery resource ecf ServiceResource Service Resource Listener Address hostname Resource	Bug Discovery resilient broken hostnames
329054	Container provider containers Discovery discovery CDC Composite IConnect connect Connect	Bug Discovery Composite org eclipse ecf provider discovery CompositeDiscoveryContainer connect IConnectContext handle ContainerConnectExceptions nested discovery providers Composite Discovery Container IConnect Context Container Connect Exceptions
331740	Discovery CompositeDiscoveryContainer Composite Discovery Container DiscoveryContainers Discovery Containers Composite Container Containers Bug instantiation misses	Bug Discovery Composite CompositeDiscoveryContainer misses DiscoveryContainers Composite Discovery Container Discovery Containers
332852	Discovery Zoo startup Zookeeper ZooDiscoveryContainer Zoo Discovery Container BundleActivator Bundle Activator Bundle Slow timeout Activator	Bug Discovery ZooDiscovery Slow Zookeeper startup timeout BundleActivator start Zoo Discovery Bundle Activator
337345	Service devsosgi service endpoint container Container osgi services object ecf	Bug remoteserviceadmin Service Info null publish endpointDescription endpoint Description
337643	Service service ServiceA Service osgi Context props propsA props property ecf Endpoint	Bug remoteserviceadmin classloader proxy creation access IRemoteServiceProxy IRemote Service Proxy
342002	Service service IRemote status restCall rest Call Call Factory registration Container dbUrl Url	Bug RestClientService invokeRemoteCall throws exception successful HTTP operation returns HTTP status Rest Client Service invoke Remote Call
342352	RSA someProperty Property private properties intent foo Property service TCK exported	Bug TCK RSA exports private properties
342782	bundle TCK RSA properties Bug events incorrectly version set symbolicname	Bug TCK RSA events set properties incorrectly
369023	Trace pluginId plugin org Pointer method plugin option tracing framework core	Bug NullPointerException tracing org eclipse ecf core util Trace catching Null Pointer Exception
371768	NPE service needed watchmanager Harmless Zoodiscovery annoying unpublish thrown Bug	Bug Zoodiscovery NPE unpublishing service
406064	Discovery server percentage client zookeeper Zoo processes CPU ZooDiscovery Zoo Discovery high	Bug Discovery ZooDiscovery high cpu percentage server client zookeeper Zoo Discovery
408030	Service client content org RestClientService Rest Client Service Client creation Method IRemote Http	Bug RestClientService ignores content encoding Rest Client Service
414448	importService import Service Service error RemoteServiceAdmin Remote Service Admin configs Admin import registration publish Remote	Bug RemoteServiceAdmin importService robust face matching configs Remote Service Admin import Service
419902	NPE Impl OSGi Channel update ChannelEndpointImpl Channel Endpoint Impl Topics String updateTopics update Topics ethz	Bug OSGi NPE ethz iks osgi impl ChannelEndpointImpl updateTopics String String Channel Endpoint Impl update Topics
420433	SERVICE Message OSGi service NPE Channel handleMessage handle Message RemoteOSGiMessage Remote OSGi Message osgi Impl	Bug OSGi NPE ethz iks osgi impl ChannelEndpointImpl handleMessage RemoteOSGiMessage SERVICE MODIFIED received SERVICE Channel Endpoint Impl handle Message Remote OSGi Message
426497	Service Listener listener discovery org register Discovery type IService DiscoveryServiceListener Discovery Service Listener	Bug org eclipse ecf internal discovery DiscoveryServiceListener register IServiceTyped listener type wildcards Discovery Service Listener IService Typed
464701	connection application client services Zookeeper Zoodiscovery Thread case server disconnect	Bug Discovery Zookeeper Auto reconnect issue
471541	tests problem service server forums failing JVM remote test JUnit	Bug ClassCastException JUnit integration tests Class Cast Exception
485482	Discovery org distribution ecf removing eclipse discovery provider removed empty	Bug remove code org eclipse ecf provider discovery
