90428	hotmail Jabber jabberserver user login action disables group button ECF	Bug Jabber Provider Character allowed Jabber login names
233808	Discovery Test Service discovery provider testAddServiceListenerIServiceTypeIDIServiceListener test Add Service Listener IService Type IDIService Listener IDIService Listener IService SLP	Bug Discovery SLP org eclipse ecf tests discovery DiscoveryTest testAddServiceListenerIServiceTypeIDIServiceListener fails SLP provider Discovery Test test Add Service Listener IService Type IDIService Listener
238970	MSN CPU bit bug report usage Eclipse seconds sun connect	Bug MSN CPU usage increases connecting
242950	IRCChannelContainer IRCChannel Container IRCChannel IRC Container targetID target timeouts Timeout NPE Exception plugin	Bug IRCChannelContainer throws NPE disconnect connection timeouts IRCChannel Container
250717	IResourceID IResource IResource URI core mailing dev identity eclipse mhonarc org	Bug api add IResourceID IResource
254833	Bundle jslp BundleContext Bundle Context eclipse slp system service consumer SLP resources	Bug Discovery SLP org eclipse ecf internal provider jslp Activator start BundleContext activate jSLP eagerly Bundle Context SLP
255329	IServiceID IService IService JMDNSDiscoveryContainer JMDNSDiscovery Container registerService register Service Service getServiceName Service IServiceInfo IService Info JMDNSDiscovery hostname checks	Bug Discovery JMDNS Fall hostname IServiceID getServiceName null IService Service
255347	service Service getServiceName Service IServiceID IService discovery IService fall Discovery SLP fine	Bug Discovery SLP optional IServiceID getServiceName isn set service discovery registration IService Service
255352	JMDNS Service JMDNSDiscoveryContainer JMDNSDiscovery Container JMDNSDiscovery Info jmdns Container IServiceInfo IService Info createServiceInfoFromIServiceInfo create Service Info IService Info IService	Bug Discovery JMDNS JMDNS exchanges priority weight
257926	JSLPServiceInfo JSLPService Info JSLPService SecurityException Security Exception IServiceInfo IService Info Security jslp IService eclipse Info provider	Bug Discovery SLP JSLPServiceInfo IServiceInfo doesn throw SecurityException JSLPService Info IService Info Security Exception
258488	error update NPEs SDK Release Eclipse EMF log code Install	NPE status code
259233	path discovery URI Discovery lost JMDNS segment Bug	Bug Discovery JMDNS URI path lost discovery
259389	func detail SLP aid case tracker sourceforge scope atid Discovery	Bug Discovery SLP lookup scope case insensitive
265551	Pause tests URLRetrievePauseResumeTest URLRetrieve Pause Resume Test resource TIME Resume Http transfer URLRetrieve PAUSE	Bug pause reads entire resource HttpClient provider Http Client
266120	servicetypes getServiceTypeIDs Service Type IDs Service service Type Discovery authority naming JmDNS DNS ECF	Bug Discovery JmDNS IServiceTypeID default naming authority set DNS IService Type
267481	IRemoteServiceContainerAdapter IRemote Service Container Adapter GenericServerContainer Generic Server Container class Container adapter server Generic support Server Service	Bug server supporrt remoteservice container adapter generic server
270332	patch problems fixed attachment subject meaning Doc group docshare channels	Bug called DocShares ECF Generic group handling Doc Shares
273135	implementation String StringBuffer String Buffer Log Buffer LogService Log Service Service details parameter message	Bug LogService implementation misses details logging Log Service
282667	CodeAnalyzer Code Analyzer bug Code Extension class ExtensionPoint Extension Point Wojciech service point impl	Bug remotesrvs osgi class parsing exception ethz iks osgi impl CodeAnalyzer Code Analyzer
296107	SLPv SLP messages version jSLP SLP Discovery versions formats discard Bug	Bug Discovery jSLP discard SLP protocol messages version SLP
302394	tags parser attribute jSLP SLP HTAB Discovery Bug bad Test SLP	Bug Discovery jSLP Test parser bad tags SLP
302407	java exception Service Method Impl ServiceURL Service URL happen inheritance lang org	Bug remotesrvs osgi remote method invocation fails mismatch caused parameter type inheritance org eclipse ecf internal provider osgi RemoteServiceImpl callSync Remote Service Impl call Sync
314558	test Discovery DiscoveryTestsWithoutRegister Discovery Tests Register Tests API DNS checks Register Add suite	Bug Discovery DNS Add API checks null test suite
316595	service retrieving Discovery instances Defer retrieval lazily request Bug unit	Bug Discovery Defer service retrieval unit tests
318075	Whitespaces Property IService property Discovery Bug allowed IServiceProperty IService Property	Bug Discovery Whitespaces allowed property
327029	method IFooService IFoo Service foo rosgi rosgiFoo rosgi Foo SmartProxyService Smart Proxy Service Service Proxy proxy OSGi	Bug OSGi RemoteSrvs Smart Proxy delegate original method Remote Srvs
327060	location bug port dev URI mailing solution service zookeeper interest	Bug discovery zookeeper location URI include port
327379	RemoteCallFactory Remote Call Factory factory Remote Factory RestCallFactory Rest Call Factory IRemoteCallFactory IRemote Call Factory remoteservice RemoteCalls Remote Calls Call IRemote	Bug IRemoteCallFactory IRemote Call Factory
327582	getRemoteServiceReferences Remote Service References implementation Service idFilter Filter osgi Remote parameter String simplified incorrect	Bug osgi simplify implementation getRemoteServiceReferences Remote Service References
328772	Serializable SerializableStatus Serializable Status Status Throwable org STATUS core null exception ecf	Bug org eclipse ecf core status SerializableStatus STATUS exception org eclipse ecf core status SerializableStatus checkForSerializable Throwable null Serializable Status Serializable Status check Serializable
328998	Discovery Container CompositeDiscoveryContainer Composite Discovery Container Composite discovery CompositeDiscoveryContainerInstantiator Composite Discovery Container Instantiator provider Instance eclipse ecf	Bug Discovery Composite CompositeDiscoveryContainer advertisers set locator Composite Discovery Container
328999	Discovery Service discovery hostname ServiceResource Service Resource resource Address Inet URI getInetAddress Inet Address	Bug Discovery resilient broken hostnames
329054	Container provider containers Discovery discovery CompositeDiscoveryContainer Composite Discovery Container ContainerConnectException Container Connect Exception Composite connect IConnect	Bug Discovery Composite org eclipse ecf provider discovery CompositeDiscoveryContainer connect IConnectContext handle ContainerConnectExceptions nested discovery providers Composite Discovery Container IConnect Context Container Connect Exceptions
331740	CompositeDiscoveryContainer Composite Discovery Container Discovery DiscoveryContainers Discovery Containers Container Composite Containers instantiation misses Bug	Bug Discovery Composite CompositeDiscoveryContainer misses DiscoveryContainers Composite Discovery Container Discovery Containers
332852	Discovery Zoo ZooDiscoveryContainer Zoo Discovery Container Bundle startup Container Zookeeper BundleActivator Bundle Activator Activator Slow	Bug Discovery ZooDiscovery Slow Zookeeper startup timeout BundleActivator start Zoo Discovery Bundle Activator
337345	Service service endpoint devsosgi container services osgi ecf remoteserviceadmin Container	Bug remoteserviceadmin Service Info null publish endpointDescription endpoint Description
337643	Service service ServiceA Service ServiceATracker Service ATracker Endpoint osgi EndpointDescription Endpoint Description propsA props property props	Bug remoteserviceadmin classloader proxy creation access IRemoteServiceProxy IRemote Service Proxy
342002	Service service IRemote Call restCall rest Call status Factory Container adapter remoteService remote Service	Bug RestClientService invokeRemoteCall throws exception successful HTTP operation returns HTTP status Rest Client Service invoke Remote Call
342352	RSA private properties foo someProperty Property exported Property intent service TCK	Bug TCK RSA exports private properties
342782	TCK RSA bundle event properties set events symbolicname version Bug	Bug TCK RSA events set properties incorrectly
369023	Trace org printStackTrace print Stack Trace git pluginId plugin option Pointer method ecf String	Bug NullPointerException tracing org eclipse ecf core util Trace catching Null Pointer Exception
371768	NPE service needed watchmanager annoying Zoodiscovery Harmless unpublish Bug thrown	Bug Zoodiscovery NPE unpublishing service
406064	client server percentage Discovery CPU processes Zoo zoodiscovery zookeeper high	Bug Discovery ZooDiscovery high cpu percentage server client zookeeper Zoo Discovery
408030	RestClientService Rest Client Service Service client content Client org remoteservice UTF Http encoding	Bug RestClientService ignores content encoding Rest Client Service
414448	importService import Service RemoteServiceAdmin Remote Service Admin error Service import configs Admin matching registration Remote	Bug RemoteServiceAdmin importService robust face matching configs Remote Service Admin import Service
419902	Channel Endpoint NPE Impl ChannelEndpointImpl Channel Endpoint Impl String Topics ethz updateTopics update Topics OSGi	Bug OSGi NPE ethz iks osgi impl ChannelEndpointImpl updateTopics String String Channel Endpoint Impl update Topics
420433	SERVICE service OSGi Message NPE handleMessage handle Message ethz Channel instance Remote	Bug OSGi NPE ethz iks osgi impl ChannelEndpointImpl handleMessage RemoteOSGiMessage SERVICE MODIFIED received SERVICE Channel Endpoint Impl handle Message Remote OSGi Message
426497	Service listener discovery Listener register Discovery org eclipse ecf DiscoveryServiceListener Discovery Service Listener	Bug org eclipse ecf internal discovery DiscoveryServiceListener register IServiceTyped listener type wildcards Discovery Service Listener IService Typed
464701	connection Zoodiscovery Zookeeper client application case services disconnect Thread server	Bug Discovery Zookeeper Auto reconnect issue
471541	tests service problem ClassCastException Class Cast Exception JVM JUnit failing test unit forums	Bug ClassCastException JUnit integration tests Class Cast Exception
485482	Discovery eclipse org ecf distribution discovery removing dev provider CompositeDiscoveryContainer Composite Discovery Container	Bug remove code org eclipse ecf provider discovery
