90428	jabberserver Jabber button username usernames hotmail disables Finish action character	Bug Jabber Provider Character allowed Jabber login names
327379	Remote RemoteCallFactory Remote Call Factory factory RemoteCalls Remote Calls Factory rest IRemoteCallFactory IRemote Call Factory Rest remoteservice IRemote	Bug IRemoteCallFactory IRemote Call Factory
327582	incorrect unnecessary getRemoteServiceReferences Remote Service References osgi Remote String implementation simplified parameter idFilter Filter	Bug osgi simplify implementation getRemoteServiceReferences Remote Service References
328772	Serializable SerializableStatus Serializable Status Status Exception STATUS null exception checkForSerializable check Serializable status set	Bug org eclipse ecf core status SerializableStatus STATUS exception org eclipse ecf core status SerializableStatus checkForSerializable Throwable null Serializable Status Serializable Status check Serializable
328998	CompositeDiscoveryContainerInstantiator Composite Discovery Container Instantiator Composite Container CompositeDiscoveryContainer Composite Discovery Container Discovery Instance discovery CDC create createInstance create Instance	Bug Discovery Composite CompositeDiscoveryContainer advertisers set locator Composite Discovery Container
328999	Address ServiceResource Service Resource Discovery getInetAddress Inet Address discovery ecf hostname resource Service URI	Bug Discovery resilient broken hostnames
329054	connect IConnect Composite discovery Container Discovery provider containers CompositeDiscoveryContainer Composite Discovery Container Connect	Bug Discovery Composite org eclipse ecf provider discovery CompositeDiscoveryContainer connect IConnectContext handle ContainerConnectExceptions nested discovery providers Composite Discovery Container IConnect Context Container Connect Exceptions
331740	CompositeDiscoveryContainer Composite Discovery Container DiscoveryContainers Discovery Containers Discovery Composite Containers Container misses instantiation Bug	Bug Discovery Composite CompositeDiscoveryContainer misses DiscoveryContainers Composite Discovery Container Discovery Containers
332852	Zoo ZooDiscoveryContainer Zoo Discovery Container BundleActivator Bundle Activator startup Discovery Bundle ZooDiscovery Zoo Discovery Zookeeper start asynchronously	Bug Discovery ZooDiscovery Slow Zookeeper startup timeout BundleActivator start Zoo Discovery Bundle Activator
337345	Service service endpoint devsosgi osgi services ecf ERROR remoteserviceadmin ServiceInfo Service Info	Bug remoteserviceadmin Service Info null publish endpointDescription endpoint Description
337643	Service service ServiceA Service ServiceATracker Service ATracker Context ecf registerService register Service Endpoint props EndpointDescription Endpoint Description	Bug remoteserviceadmin classloader proxy creation access IRemoteServiceProxy IRemote Service Proxy
342002	Service restCall rest Call remoteService remote Service service IRemote Call call requestType request Type invokeRemoteCall invoke Remote Call containerFactory container Factory	Bug RestClientService invokeRemoteCall throws exception successful HTTP operation returns HTTP status Rest Client Service invoke Remote Call
342352	someProperty Property properties Property private RSA TCK service foo intent exported	Bug TCK RSA exports private properties
342782	TCK RSA set event bundle incorrectly symbolicname Bug properties events	Bug TCK RSA events set properties incorrectly
369023	Trace printStackTrace print Stack Trace eclipse pluginId plugin Null throwable java NullPointerException Null Pointer Exception method tracing	Bug NullPointerException tracing org eclipse ecf core util Trace catching Null Pointer Exception
371768	annoying Harmless unpublish NPE Zoodiscovery service needed watchmanager unpublishing thrown	Bug Zoodiscovery NPE unpublishing service
406064	server client ZooDiscovery Zoo Discovery zookeeper Zoo Discovery high percentage zoodiscovery processes	Bug Discovery ZooDiscovery high cpu percentage server client zookeeper Zoo Discovery
408030	RestClientService Rest Client Service client encoding Service UTF Client IRemoteCallable IRemote Callable Rest content remoteservice	Bug RestClientService ignores content encoding Rest Client Service
414448	importService import Service import Service imported matching configs error publish Remote RemoteServiceAdmin Remote Service Admin	Bug RemoteServiceAdmin importService robust face matching configs Remote Service Admin import Service
419902	ChannelEndpointImpl Channel Endpoint Impl update Topics updateTopics update Topics Impl OSGi Channel Endpoint String impl	Bug OSGi NPE ethz iks osgi impl ChannelEndpointImpl updateTopics String String Channel Endpoint Impl update Topics
420433	SERVICE service OSGi Message ChannelEndpointImpl Channel Endpoint Impl impl RemoteOSGiMessage Remote OSGi Message osgi Endpoint Impl	Bug OSGi NPE ethz iks osgi impl ChannelEndpointImpl handleMessage RemoteOSGiMessage SERVICE MODIFIED received SERVICE Channel Endpoint Impl handle Message Remote OSGi Message
426497	DiscoveryServiceListener Discovery Service Listener Listener listener Discovery Service IService type discovery register org	Bug org eclipse ecf internal discovery DiscoveryServiceListener register IServiceTyped listener type wildcards Discovery Service Listener IService Typed
464701	Zoodiscovery connection Zookeeper disconnect client Connect creates server reconnects startConnect start Connect	Bug Discovery Zookeeper Auto reconnect issue
471541	JUnit tests type remote client server problem callee service failing	Bug ClassCastException JUnit integration tests Class Cast Exception
485482	removing Discovery dev eclipse provider Composite services discovery replace CompositeDiscoveryContainer Composite Discovery Container	Bug remove code org eclipse ecf provider discovery
