90428	Jabber jabberserver button Provider Bug username Character action usernames hotmail	Bug Jabber Provider Character allowed Jabber login names
257926	JSLPServiceInfo JSLPService Info JSLPService jslp IService IServiceInfo IService Info Discovery Bug java SLP Info	Bug Discovery SLP JSLPServiceInfo IServiceInfo doesn throw SecurityException JSLPService Info IService Info Security Exception
258488	error SDK fails status Framework NPE code Created NPEs attachment	NPE status code
259233	discovery Discovery URI path JMDNS Bug lost segment	Bug Discovery JMDNS URI path lost discovery
259389	atid Discovery http func SLP tracker Bug aid lookup php	Bug Discovery SLP lookup scope case insensitive
265551	URLRetrievePauseResumeTest URLRetrieve Pause Resume Test URLRetrieve Http pause entire provider Bug reads HttpClient Http Client resource	Bug pause reads entire resource HttpClient provider Http Client
266120	servicetypes getServiceTypeIDs Service Type IDs Discovery Service JmDNS DNS IServiceTypeID IService Type Bug naming default authority	Bug Discovery JmDNS IServiceTypeID default naming authority set DNS IService Type
267481	generic server Generic Abstract adapter IRemoteServiceContainerAdapter IRemote Service Container Adapter Server support GenericServerContainer Generic Server Container IRemote	Bug server supporrt remoteservice container adapter generic server
270332	DocShares Doc Shares called docshare patch Bug fixed ECF proposed Generic Doc	Bug called DocShares ECF Generic group handling Doc Shares
273135	LogService Log Service StringBuffer String Buffer String logging Log implementation Bug Buffer misses details	Bug LogService implementation misses details logging Log Service
282667	CodeAnalyzer Code Analyzer bug issues Point osgi remotesrvs ExtensionPoint Extension Point Bug reply iks	Bug remotesrvs osgi class parsing exception ethz iks osgi impl CodeAnalyzer Code Analyzer
296107	SLP SLPv jSLP SLP messages protocol Discovery Bug version discard discards	Bug Discovery jSLP discard SLP protocol messages version SLP
302394	parser jSLP SLP bad SLP Discovery tags Bug Test attribute accept	Bug Discovery jSLP Test parser bad tags SLP
302407	ServiceURL Service URL remotesrvs Service Bug method callSync call Sync osgi remote type RemoteServiceImpl Remote Service Impl	Bug remotesrvs osgi remote method invocation fails mismatch caused parameter type inheritance org eclipse ecf internal provider osgi RemoteServiceImpl callSync Remote Service Impl call Sync
314558	test Tests Discovery suite DNS Bug Add DiscoveryTestsWithoutRegister Discovery Tests Register API checks	Bug Discovery DNS Add API checks null test suite
316595	lazily eagerly service Discovery Defer Bug test retrieval retrieving unit	Bug Discovery Defer service retrieval unit tests
318075	Whitespaces IServiceProperty IService Property IService Discovery Property Bug allowed	Bug Discovery Whitespaces allowed property
327029	Service rosgi IFooService IFoo Service Proxy SmartProxyService Smart Proxy Service RemoteSrvs Remote Srvs foo OSGi IFoo rosgiFoo rosgi Foo	Bug OSGi RemoteSrvs Smart Proxy delegate original method Remote Srvs
327060	problem solution zookeeper bug dev mailing discovery location Bug html	Bug discovery zookeeper location URI include port
327379	Remote RemoteCallFactory Remote Call Factory factory Factory IRemoteCallFactory IRemote Call Factory RemoteCalls Remote Calls IRemote Call Bug remoteservice	Bug IRemoteCallFactory IRemote Call Factory
327582	incorrect getRemoteServiceReferences Remote Service References osgi unnecessary implementation Remote simplify Bug Service String	Bug osgi simplify implementation getRemoteServiceReferences Remote Service References
328772	Serializable SerializableStatus Serializable Status Exception Status status checkForSerializable check Serializable STATUS exception org null	Bug org eclipse ecf core status SerializableStatus STATUS exception org eclipse ecf core status SerializableStatus checkForSerializable Throwable null Serializable Status Serializable Status check Serializable
328998	Composite Discovery CompositeDiscoveryContainer Composite Discovery Container Container CompositeDiscoveryContainerInstantiator Composite Discovery Container Instantiator Instance CDC discovery create versa	Bug Discovery Composite CompositeDiscoveryContainer advertisers set locator Composite Discovery Container
328999	Address Discovery ServiceResource Service Resource Service broken hostname resource getInetAddress Inet Address discovery Resource	Bug Discovery resilient broken hostnames
329054	Composite Discovery connect IConnect discovery Container provider CompositeDiscoveryContainer Composite Discovery Container providers connects	Bug Discovery Composite org eclipse ecf provider discovery CompositeDiscoveryContainer connect IConnectContext handle ContainerConnectExceptions nested discovery providers Composite Discovery Container IConnect Context Container Connect Exceptions
331740	DiscoveryContainers Discovery Containers CompositeDiscoveryContainer Composite Discovery Container Discovery Composite Container Containers	Bug Discovery Composite CompositeDiscoveryContainer misses DiscoveryContainers Composite Discovery Container Discovery Containers
332852	Zoo ZooDiscovery Zoo Discovery Discovery ZooDiscoveryContainer Zoo Discovery Container BundleActivator Bundle Activator Zookeeper start startup Bug Bundle	Bug Discovery ZooDiscovery Slow Zookeeper startup timeout BundleActivator start Zoo Discovery Bundle Activator
337345	Service service services endpoint osgi remoteserviceadmin devsosgi ecf ServiceInfo Service Info Endpoint	Bug remoteserviceadmin Service Info null publish endpointDescription endpoint Description
337643	Service service ServiceA Service registerService register Service ServiceATracker Service ATracker ServiceTracker Service Tracker objectClass object Class remoteserviceadmin robjectClass robject Class IRemoteServiceProxy IRemote Service Proxy	Bug remoteserviceadmin classloader proxy creation access IRemoteServiceProxy IRemote Service Proxy
342002	Service invokeRemoteCall invoke Remote Call restCall rest Call remoteService remote Service IRemoteServiceRegistration IRemote Service Registration service requestType request Type createRestCall create Rest Call Call IRemote	Bug RestClientService invokeRemoteCall throws exception successful HTTP operation returns HTTP status Rest Client Service invoke Remote Call
342352	properties someProperty Property Property private RSA TCK Bug exports exported service	Bug TCK RSA exports private properties
342782	TCK RSA set event Bug incorrectly properties events symbolicname bundle	Bug TCK RSA events set properties incorrectly
369023	Trace eclipse printStackTrace print Stack Trace NullPointerException Null Pointer Exception java tracing Null pluginId plugin org core	Bug NullPointerException tracing org eclipse ecf core util Trace catching Null Pointer Exception
371768	annoying Harmless NPE unpublish service Zoodiscovery Bug unpublishing thrown watchmanager	Bug Zoodiscovery NPE unpublishing service
406064	server client ZooDiscovery Zoo Discovery Discovery high Bug Zoo zookeeper percentage zoodiscovery	Bug Discovery ZooDiscovery high cpu percentage server client zookeeper Zoo Discovery
408030	RestClientService Rest Client Service encoding client Client Service content UTF IRemoteCallable IRemote Callable Rest consumer	Bug RestClientService ignores content encoding Rest Client Service
414448	importService import Service import Service RemoteServiceAdmin Remote Service Admin imported Bug matching robust configs find	Bug RemoteServiceAdmin importService robust face matching configs Remote Service Admin import Service
419902	ChannelEndpointImpl Channel Endpoint Impl OSGi updateTopics update Topics update Impl Topics impl NPE osgi Channel	Bug OSGi NPE ethz iks osgi impl ChannelEndpointImpl updateTopics String String Channel Endpoint Impl update Topics
420433	SERVICE OSGi Message service RemoteOSGiMessage Remote OSGi Message ChannelEndpointImpl Channel Endpoint Impl Bug Endpoint Impl NPE	Bug OSGi NPE ethz iks osgi impl ChannelEndpointImpl handleMessage RemoteOSGiMessage SERVICE MODIFIED received SERVICE Channel Endpoint Impl handle Message Remote OSGi Message
426497	DiscoveryServiceListener Discovery Service Listener Listener discovery listener Discovery org type eclipse Service ecf	Bug org eclipse ecf internal discovery DiscoveryServiceListener register IServiceTyped listener type wildcards Discovery Service Listener IService Typed
464701	connection Zoodiscovery Zookeeper Connect client Bug reconnects disconnect startConnect start Connect ClientCnxn Client Cnxn	Bug Discovery Zookeeper Auto reconnect issue
471541	JUnit tests ClassCastException Class Cast Exception client callee type remote package Class suites	Bug ClassCastException JUnit integration tests Class Cast Exception
485482	dev eclipse provider removing Discovery discovery Composite remove services ecf	Bug remove code org eclipse ecf provider discovery
