90428	jabberserver hotmail button Join user disables org Jabber Character username	Bug Jabber Provider Character allowed Jabber login names
331740	Discovery DiscoveryContainers Discovery Containers CompositeDiscoveryContainer Composite Discovery Container Composite Containers Container misses instantiation Bug	Bug Discovery Composite CompositeDiscoveryContainer misses DiscoveryContainers Composite Discovery Container Discovery Containers
332852	Discovery ZooDiscoveryContainer Zoo Discovery Container Zoo startup Zookeeper ZooDiscovery Zoo Discovery BundleActivator Bundle Activator Slow Bundle timeout	Bug Discovery ZooDiscovery Slow Zookeeper startup timeout BundleActivator start Zoo Discovery Bundle Activator
337345	Service service endpoint devsosgi container services Container remoteserviceadmin uri Endpoint	Bug remoteserviceadmin Service Info null publish endpointDescription endpoint Description
337643	Service ServiceA Service service Context ServiceATracker Service ATracker Endpoint osgi EndpointDescription Endpoint Description Exception Provider	Bug remoteserviceadmin classloader proxy creation access IRemoteServiceProxy IRemote Service Proxy
342002	Service service restCall rest Call Call IRemote remote request remoteService remote Service requestType request Type create	Bug RestClientService invokeRemoteCall throws exception successful HTTP operation returns HTTP status Rest Client Service invoke Remote Call
342352	private properties Property exported someProperty Property intent RSA Dotted service TCK	Bug TCK RSA exports private properties
342782	TCK bundle event RSA set incorrectly Bug properties version events	Bug TCK RSA events set properties incorrectly
369023	Trace tracing catching printStackTrace print Stack Trace core pluginId plugin throwable Pointer java void	Bug NullPointerException tracing org eclipse ecf core util Trace catching Null Pointer Exception
371768	needed NPE Harmless service annoying Zoodiscovery thrown unpublish watchmanager unpublishing	Bug Zoodiscovery NPE unpublishing service
406064	server processes Discovery client zookeeper CPU Zoo ZooDiscovery Zoo Discovery high percentage	Bug Discovery ZooDiscovery high cpu percentage server client zookeeper Zoo Discovery
408030	client Service content RestClientService Rest Client Service Http Client org encoding Request Method	Bug RestClientService ignores content encoding Rest Client Service
414448	importService import Service RemoteServiceAdmin Remote Service Admin import Service Admin publish imported configs create matching	Bug RemoteServiceAdmin importService robust face matching configs Remote Service Admin import Service
419902	ChannelEndpointImpl Channel Endpoint Impl update Topics updateTopics update Topics Channel NPE Endpoint OSGi Impl osgi	Bug OSGi NPE ethz iks osgi impl ChannelEndpointImpl updateTopics String String Channel Endpoint Impl update Topics
420433	SERVICE service Message OSGi osgi NPE handleMessage handle Message MODIFIED iks impl	Bug OSGi NPE ethz iks osgi impl ChannelEndpointImpl handleMessage RemoteOSGiMessage SERVICE MODIFIED received SERVICE Channel Endpoint Impl handle Message Remote OSGi Message
426497	Discovery Service discovery listener DiscoveryServiceListener Discovery Service Listener Listener IService org type register	Bug org eclipse ecf internal discovery DiscoveryServiceListener register IServiceTyped listener type wildcards Discovery Service Listener IService Typed
464701	connection server disconnect application services Session reconnects Zoodiscovery remote Connect	Bug Discovery Zookeeper Auto reconnect issue
471541	tests service failing problem Class remote server Exception ClassCastException Class Cast Exception JUnit	Bug ClassCastException JUnit integration tests Class Cast Exception
485482	Discovery removing discovery removed CompositeDiscoveryContainer Composite Discovery Container provider eclipse existing empty Container	Bug remove code org eclipse ecf provider discovery
