90428	Jabber button action hotmail user login disables group jabberserver ECF	Bug Jabber Provider Character allowed Jabber login names
254833	Bundle consumer BundleContext Bundle Context service jslp SLP system Advertiser eclipse jSLP SLP	Bug Discovery SLP org eclipse ecf internal provider jslp Activator start BundleContext activate jSLP eagerly Bundle Context SLP
255329	IServiceID IService IService registerService register Service JMDNSDiscovery Service getServiceName Service JMDNSDiscoveryContainer JMDNSDiscovery Container Container hostname ecf	Bug Discovery JMDNS Fall hostname IServiceID getServiceName null IService Service
255347	getServiceName Service discovery service Discovery Service IServiceID IService fall SLP fine eclipse	Bug Discovery SLP optional IServiceID getServiceName isn set service discovery registration IService Service
255352	Service JMDNS JMDNSDiscovery JMDNSDiscoveryContainer JMDNSDiscovery Container Container Info IService createServiceInfoFromIServiceInfo create Service Info IService Info container weight	Bug Discovery JMDNS JMDNS exchanges priority weight
257926	JSLPServiceInfo JSLPService Info JSLPService jslp SecurityException Security Exception eclipse IServiceInfo IService Info IService Info Security Discovery	Bug Discovery SLP JSLPServiceInfo IServiceInfo doesn throw SecurityException JSLPService Info IService Info Security Exception
258488	error SDK Framework Eclipse EMF log code Install NPEs Graphical	NPE status code
259233	discovery Discovery URI JMDNS path lost segment Bug	Bug Discovery JMDNS URI path lost discovery
259389	SLP case sourceforge scope http aid func Discovery php Bug	Bug Discovery SLP lookup scope case insensitive
265551	Http tests URLRetrievePauseResumeTest URLRetrieve Pause Resume Test resource provider Pause URLRetrieve transfer HttpClient Http Client pause	Bug pause reads entire resource HttpClient provider Http Client
266120	getServiceTypeIDs Service Type IDs servicetypes Service service Type Discovery authority IServiceTypeID IService Type JmDNS DNS ECF	Bug Discovery JmDNS IServiceTypeID default naming authority set DNS IService Type
267481	server IRemoteServiceContainerAdapter IRemote Service Container Adapter adapter support Server Generic class Container IRemote GenericServerContainer Generic Server Container	Bug server supporrt remoteservice container adapter generic server
270332	patch problems Doc attachment DocShares Doc Shares meaning group docshare channels called	Bug called DocShares ECF Generic group handling Doc Shares
273135	Log LogService Log Service StringBuffer String Buffer implementation String logging Service Buffer details parameter	Bug LogService implementation misses details logging Log Service
282667	CodeAnalyzer Code Analyzer ExtensionPoint Extension Point Extension bug Point class Code service point Wojciech	Bug remotesrvs osgi class parsing exception ethz iks osgi impl CodeAnalyzer Code Analyzer
296107	SLP messages SLPv version jSLP SLP protocol Discovery versions formats discard	Bug Discovery jSLP discard SLP protocol messages version SLP
302394	parser SLP jSLP SLP tags attribute HTAB Discovery Bug bad Test	Bug Discovery jSLP Test parser bad tags SLP
302407	Service type callSync call Sync exception Impl remotesrvs java Advertiser ServiceURL Service URL Method	Bug remotesrvs osgi remote method invocation fails mismatch caused parameter type inheritance org eclipse ecf internal provider osgi RemoteServiceImpl callSync Remote Service Impl call Sync
314558	test Discovery API DiscoveryTestsWithoutRegister Discovery Tests Register Tests DNS checks Register Add suite	Bug Discovery DNS Add API checks null test suite
316595	service lazily Discovery Defer retrieval Bug unit request test instances	Bug Discovery Defer service retrieval unit tests
318075	Whitespaces IService IServiceProperty IService Property property Discovery Property Bug allowed	Bug Discovery Whitespaces allowed property
327029	IFooService IFoo Service foo rosgi SmartProxyService Smart Proxy Service method Service Proxy consumer OSGi rosgiFoo rosgi Foo	Bug OSGi RemoteSrvs Smart Proxy delegate original method Remote Srvs
327060	dev mailing solution bug eclipse location html problem interest zookeeper	Bug discovery zookeeper location URI include port
327379	Remote RemoteCallFactory Remote Call Factory factory IRemoteCallFactory IRemote Call Factory Factory RemoteCalls Remote Calls IRemote rest remoteservice Call	Bug IRemoteCallFactory IRemote Call Factory
327582	implementation getRemoteServiceReferences Remote Service References idFilter Filter osgi Remote incorrect Service parameter String unnecessary	Bug osgi simplify implementation getRemoteServiceReferences Remote Service References
328772	Serializable Status SerializableStatus Serializable Status Throwable null STATUS org Exception core status	Bug org eclipse ecf core status SerializableStatus STATUS exception org eclipse ecf core status SerializableStatus checkForSerializable Throwable null Serializable Status Serializable Status check Serializable
328998	Container Composite Discovery CompositeDiscoveryContainer Composite Discovery Container CompositeDiscoveryContainerInstantiator Composite Discovery Container Instantiator Instance discovery createInstance create Instance eclipse ecf	Bug Discovery Composite CompositeDiscoveryContainer advertisers set locator Composite Discovery Container
328999	Discovery ServiceResource Service Resource Service discovery resource ecf Address Resource Inet hostname	Bug Discovery resilient broken hostnames
329054	Container provider containers IConnect Discovery Composite connect discovery ecf CompositeDiscoveryContainer Composite Discovery Container	Bug Discovery Composite org eclipse ecf provider discovery CompositeDiscoveryContainer connect IConnectContext handle ContainerConnectExceptions nested discovery providers Composite Discovery Container IConnect Context Container Connect Exceptions
331740	CompositeDiscoveryContainer Composite Discovery Container Container DiscoveryContainers Discovery Containers Composite Containers Discovery instantiation misses Bug	Bug Discovery Composite CompositeDiscoveryContainer misses DiscoveryContainers Composite Discovery Container Discovery Containers
332852	Zoo Discovery BundleActivator Bundle Activator startup Bundle Zookeeper start ZooDiscovery Zoo Discovery ZooDiscoveryContainer Zoo Discovery Container Activator	Bug Discovery ZooDiscovery Slow Zookeeper startup timeout BundleActivator start Zoo Discovery Bundle Activator
337345	Service devsosgi service osgi ecf endpoint ERROR Container container services	Bug remoteserviceadmin Service Info null publish endpointDescription endpoint Description
337643	Service service ServiceA Service ecf props propsA props osgi Context ServiceATracker Service ATracker Endpoint	Bug remoteserviceadmin classloader proxy creation access IRemoteServiceProxy IRemote Service Proxy
342002	Service service IRemote containerFactory container Factory restCall rest Call Call adapter dbUrl Url Callables Container	Bug RestClientService invokeRemoteCall throws exception successful HTTP operation returns HTTP status Rest Client Service invoke Remote Call
342352	someProperty Property RSA properties foo Property intent private service TCK exports	Bug TCK RSA exports private properties
342782	RSA TCK bundle set properties symbolicname event events Bug incorrectly	Bug TCK RSA events set properties incorrectly
369023	Trace pluginId plugin method org printStackTrace print Stack Trace Null git option eclipse Throwable	Bug NullPointerException tracing org eclipse ecf core util Trace catching Null Pointer Exception
371768	NPE service watchmanager annoying Harmless Zoodiscovery needed unpublish Bug unpublishing	Bug Zoodiscovery NPE unpublishing service
406064	client Discovery percentage server Zoo ZooDiscovery Zoo Discovery zookeeper high CPU zoodiscovery	Bug Discovery ZooDiscovery high cpu percentage server client zookeeper Zoo Discovery
408030	RestClientService Rest Client Service Service client content Client UTF IRemoteCallable IRemote Callable remoteservice creation Type	Bug RestClientService ignores content encoding Rest Client Service
414448	importService import Service error Service import configs RemoteServiceAdmin Remote Service Admin matching registration Remote Admin	Bug RemoteServiceAdmin importService robust face matching configs Remote Service Admin import Service
419902	Impl OSGi NPE Channel Topics ChannelEndpointImpl Channel Endpoint Impl String impl update ethz	Bug OSGi NPE ethz iks osgi impl ChannelEndpointImpl updateTopics String String Channel Endpoint Impl update Topics
420433	SERVICE Message OSGi service RemoteOSGiMessage Remote OSGi Message handleMessage handle Message ChannelEndpointImpl Channel Endpoint Impl Impl impl Endpoint	Bug OSGi NPE ethz iks osgi impl ChannelEndpointImpl handleMessage RemoteOSGiMessage SERVICE MODIFIED received SERVICE Channel Endpoint Impl handle Message Remote OSGi Message
426497	Listener listener Service register type org IService DiscoveryServiceListener Discovery Service Listener ecf discovery	Bug org eclipse ecf internal discovery DiscoveryServiceListener register IServiceTyped listener type wildcards Discovery Service Listener IService Typed
464701	Zoodiscovery connection client Zookeeper services case Thread creates server SendThread Send Thread	Bug Discovery Zookeeper Auto reconnect issue
471541	tests problem service JVM type JUnit test unit server forums	Bug ClassCastException JUnit integration tests Class Cast Exception
485482	Discovery org dev ecf Composite removing distribution provider eclipse services	Bug remove code org eclipse ecf provider discovery
