90428	Jabber user Provider hotmail jabberserver Character login ECF action org	Bug Jabber Provider Character allowed Jabber login names
327029	method OSGi Service Proxy IFooService IFoo Service foo rosgi rosgiFoo rosgi Foo Smart proxy	Bug OSGi RemoteSrvs Smart Proxy delegate original method Remote Srvs
327060	location URI zookeeper port discovery service Bug dev solution bug	Bug discovery zookeeper location URI include port
327379	Factory RemoteCallFactory Remote Call Factory IRemoteCallFactory IRemote Call Factory factory Remote remoteservice Call IRemote RestCallFactory Rest Call Factory Bug	Bug IRemoteCallFactory IRemote Call Factory
327582	getRemoteServiceReferences Remote Service References implementation Service osgi idFilter Filter Remote parameter simplify incorrect Filter	Bug osgi simplify implementation getRemoteServiceReferences Remote Service References
328772	SerializableStatus Serializable Status Serializable org Status core eclipse ecf status Throwable checkForSerializable check Serializable	Bug org eclipse ecf core status SerializableStatus STATUS exception org eclipse ecf core status SerializableStatus checkForSerializable Throwable null Serializable Status Serializable Status check Serializable
328998	Discovery Container CompositeDiscoveryContainer Composite Discovery Container Composite discovery CompositeDiscoveryContainerInstantiator Composite Discovery Container Instantiator Instance provider Instantiator advertisers	Bug Discovery Composite CompositeDiscoveryContainer advertisers set locator Composite Discovery Container
328999	Discovery Service discovery hostnames hostname Address ServiceResource Service Resource resource Resource broken	Bug Discovery resilient broken hostnames
329054	Container Discovery provider Composite discovery CompositeDiscoveryContainer Composite Discovery Container containers ecf providers IConnect	Bug Discovery Composite org eclipse ecf provider discovery CompositeDiscoveryContainer connect IConnectContext handle ContainerConnectExceptions nested discovery providers Composite Discovery Container IConnect Context Container Connect Exceptions
331740	Container Discovery CompositeDiscoveryContainer Composite Discovery Container DiscoveryContainers Discovery Containers Composite Containers Bug instantiation	Bug Discovery Composite CompositeDiscoveryContainer misses DiscoveryContainers Composite Discovery Container Discovery Containers
332852	Discovery Zoo ZooDiscoveryContainer Zoo Discovery Container Container Slow Activator ZooDiscovery Zoo Discovery Bundle Bug startup	Bug Discovery ZooDiscovery Slow Zookeeper startup timeout BundleActivator start Zoo Discovery Bundle Activator
337345	Service service endpoint services remoteserviceadmin endpointDescription endpoint Description osgi Container topology devsosgi	Bug remoteserviceadmin Service Info null publish endpointDescription endpoint Description
337643	Service service ServiceA Service Endpoint remoteserviceadmin EndpointDescription Endpoint Description ServiceATracker Service ATracker Bug classloader propsA props	Bug remoteserviceadmin classloader proxy creation access IRemoteServiceProxy IRemote Service Proxy
342002	Service service status IRemote restCall rest Call Call HTTP Remote request RestClientService Rest Client Service	Bug RestClientService invokeRemoteCall throws exception successful HTTP operation returns HTTP status Rest Client Service invoke Remote Call
342352	RSA private properties exported Property someProperty Property Bug TCK foo intent	Bug TCK RSA exports private properties
342782	TCK RSA properties event events set Bug bundle symbolicname spec	Bug TCK RSA events set properties incorrectly
369023	Trace org printStackTrace print Stack Trace core NullPointerException Null Pointer Exception Bug java util method plugin	Bug NullPointerException tracing org eclipse ecf core util Trace catching Null Pointer Exception
371768	NPE service Bug needed Zoodiscovery annoying watchmanager Harmless unpublishing thrown	Bug Zoodiscovery NPE unpublishing service
406064	client server Discovery percentage CPU Bug Zoo processes high ZooDiscovery Zoo Discovery	Bug Discovery ZooDiscovery high cpu percentage server client zookeeper Zoo Discovery
408030	RestClientService Rest Client Service content client Client Service encoding remoteservice UTF org HttpPostRequestType Http Post Request Type	Bug RestClientService ignores content encoding Rest Client Service
414448	importService import Service RemoteServiceAdmin Remote Service Admin Service import Bug configs Admin error registration matching	Bug RemoteServiceAdmin importService robust face matching configs Remote Service Admin import Service
419902	NPE Channel Endpoint ChannelEndpointImpl Channel Endpoint Impl ethz OSGi updateTopics update Topics String Bug Impl	Bug OSGi NPE ethz iks osgi impl ChannelEndpointImpl updateTopics String String Channel Endpoint Impl update Topics
420433	SERVICE OSGi service NPE Message Bug instance ethz Remote Channel	Bug OSGi NPE ethz iks osgi impl ChannelEndpointImpl handleMessage RemoteOSGiMessage SERVICE MODIFIED received SERVICE Channel Endpoint Impl handle Message Remote OSGi Message
426497	discovery org Service eclipse ecf Discovery DiscoveryServiceListener Discovery Service Listener listener register Listener	Bug org eclipse ecf internal discovery DiscoveryServiceListener register IServiceTyped listener type wildcards Discovery Service Listener IService Typed
464701	Zookeeper connection Zoodiscovery client services application ClientCnxn Client Cnxn startConnect start Connect Thread connect	Bug Discovery Zookeeper Auto reconnect issue
471541	tests service JUnit ClassCastException Class Cast Exception problem Class Exception JVM attachment integration	Bug ClassCastException JUnit integration tests Class Cast Exception
485482	eclipse ecf Discovery org discovery provider dev Bug distribution remove	Bug remove code org eclipse ecf provider discovery
