90428	Jabber Provider login hotmail user Character action disables group jabberserver	Bug Jabber Provider Character allowed Jabber login names
233808	Discovery Test SLP provider discovery Listener ecf IService testAddServiceListenerIServiceTypeIDIServiceListener test Add Service Listener IService Type IDIService Listener eclipse	Bug Discovery SLP org eclipse ecf tests discovery DiscoveryTest testAddServiceListenerIServiceTypeIDIServiceListener fails SLP provider Discovery Test test Add Service Listener IService Type IDIService Listener
238970	MSN CPU usage bit report Eclipse bug seconds increases Bug	Bug MSN CPU usage increases connecting
242950	IRCChannelContainer IRCChannel Container NPE Container targetID target IRCChannel plugin disconnect irc provider target	Bug IRCChannelContainer throws NPE disconnect connection timeouts IRCChannel Container
250717	IResourceID IResource IResource core URI api mailing dev eclipse Bug mhonarc	Bug api add IResourceID IResource
254833	SLP Bundle Discovery eclipse org BundleContext Bundle Context system service consumer Context	Bug Discovery SLP org eclipse ecf internal provider jslp Activator start BundleContext activate jSLP eagerly Bundle Context SLP
255329	hostname IServiceID IService Discovery IService JMDNS registerService register Service Fall JMDNSDiscoveryContainer JMDNSDiscovery Container Service Bug	Bug Discovery JMDNS Fall hostname IServiceID getServiceName null IService Service
255347	getServiceName Service IServiceID IService discovery Discovery SLP service Service fall fine eclipse	Bug Discovery SLP optional IServiceID getServiceName isn set service discovery registration IService Service
255352	JMDNS Discovery Info exchanges Service priority Container weight JMDNSDiscoveryContainer JMDNSDiscovery Container JMDNSDiscovery	Bug Discovery JMDNS JMDNS exchanges priority weight
257926	JSLPServiceInfo JSLPService Info Info Discovery SecurityException Security Exception IServiceInfo IService Info SLP doesn JSLPService Security eclipse	Bug Discovery SLP JSLPServiceInfo IServiceInfo doesn throw SecurityException JSLPService Info IService Info Security Exception
258488	error status code SDK Eclipse EMF Created log Install NPEs	NPE status code
259233	Discovery path URI JMDNS lost discovery segment Bug	Bug Discovery JMDNS URI path lost discovery
259389	SLP Discovery Bug case scope sourceforge lookup aid func detail	Bug Discovery SLP lookup scope case insensitive
265551	pause resource tests entire Http Pause transfer HttpClient Http Client provider reads	Bug pause reads entire resource HttpClient provider Http Client
266120	Discovery JmDNS DNS service authority naming getServiceTypeIDs Service Type IDs default Type IServiceTypeID IService Type set	Bug Discovery JmDNS IServiceTypeID default naming authority set DNS IService Type
267481	adapter server class IRemoteServiceContainerAdapter IRemote Service Container Adapter support Container supporrt generic GenericServerContainer Generic Server Container plugin	Bug server supporrt remoteservice container adapter generic server
270332	called patch problems attachment group ECF Doc DocShares Doc Shares meaning docshare	Bug called DocShares ECF Generic group handling Doc Shares
273135	implementation LogService Log Service Log details String misses logging Service Bug StringBuffer String Buffer	Bug LogService implementation misses details logging Log Service
282667	class CodeAnalyzer Code Analyzer bug Extension Code osgi ExtensionPoint Extension Point service point Wojciech	Bug remotesrvs osgi class parsing exception ethz iks osgi impl CodeAnalyzer Code Analyzer
296107	messages version SLPv jSLP SLP Discovery SLP Bug discard versions formats	Bug Discovery jSLP discard SLP protocol messages version SLP
302394	parser jSLP SLP Discovery tags Bug bad attribute HTAB Test SLP	Bug Discovery jSLP Test parser bad tags SLP
302407	osgi exception Impl Service java remotesrvs Method inheritance org type	Bug remotesrvs osgi remote method invocation fails mismatch caused parameter type inheritance org eclipse ecf internal provider osgi RemoteServiceImpl callSync Remote Service Impl call Sync
314558	Discovery test API DNS DiscoveryTestsWithoutRegister Discovery Tests Register suite Tests checks Bug Add	Bug Discovery DNS Add API checks null test suite
316595	service Discovery Defer retrieval Bug unit retrieving request instances test	Bug Discovery Defer service retrieval unit tests
318075	Whitespaces Discovery Bug IService allowed property Property IServiceProperty IService Property	Bug Discovery Whitespaces allowed property
327029	OSGi Smart method proxy IFooService IFoo Service foo Proxy rosgi stub rosgiFoo rosgi Foo	Bug OSGi RemoteSrvs Smart Proxy delegate original method Remote Srvs
327060	location discovery zookeeper dev mailing bug Bug port interest solution	Bug discovery zookeeper location URI include port
327379	IRemoteCallFactory IRemote Call Factory Call Remote IRemote factory Factory RemoteCallFactory Remote Call Factory Bug remoteservice RestCallFactory Rest Call Factory	Bug IRemoteCallFactory IRemote Call Factory
327582	implementation osgi getRemoteServiceReferences Remote Service References Remote idFilter Filter Service String parameter simplify simplified	Bug osgi simplify implementation getRemoteServiceReferences Remote Service References
328772	org Serializable core SerializableStatus Serializable Status eclipse ecf Throwable Status exception status	Bug org eclipse ecf core status SerializableStatus STATUS exception org eclipse ecf core status SerializableStatus checkForSerializable Throwable null Serializable Status Serializable Status check Serializable
328998	Discovery Composite Container CompositeDiscoveryContainer Composite Discovery Container advertisers eclipse ecf discovery provider Type	Bug Discovery Composite CompositeDiscoveryContainer advertisers set locator Composite Discovery Container
328999	Discovery Service discovery broken hostnames Inet Listener ServiceResource Service Resource hostname resilient	Bug Discovery resilient broken hostnames
329054	Container Discovery provider Composite ecf discovery containers org CDC providers	Bug Discovery Composite org eclipse ecf provider discovery CompositeDiscoveryContainer connect IConnectContext handle ContainerConnectExceptions nested discovery providers Composite Discovery Container IConnect Context Container Connect Exceptions
331740	Discovery Composite CompositeDiscoveryContainer Composite Discovery Container Container DiscoveryContainers Discovery Containers Containers instantiation misses Bug	Bug Discovery Composite CompositeDiscoveryContainer misses DiscoveryContainers Composite Discovery Container Discovery Containers
332852	Discovery Zoo Bundle startup Zookeeper Slow ZooDiscoveryContainer Zoo Discovery Container ZooDiscovery Zoo Discovery BundleActivator Bundle Activator Container	Bug Discovery ZooDiscovery Slow Zookeeper startup timeout BundleActivator start Zoo Discovery Bundle Activator
337345	Service osgi service endpoint devsosgi remoteserviceadmin container ecf Container topology	Bug remoteserviceadmin Service Info null publish endpointDescription endpoint Description
337643	Service service osgi remoteserviceadmin propsA props property props ServiceA Service ecf class	Bug remoteserviceadmin classloader proxy creation access IRemoteServiceProxy IRemote Service Proxy
342002	status HTTP Service service Factory IRemote RestClientService Rest Client Service Container adapter Call	Bug RestClientService invokeRemoteCall throws exception successful HTTP operation returns HTTP status Rest Client Service invoke Remote Call
342352	RSA properties private TCK foo someProperty Property intent Bug exports service	Bug TCK RSA exports private properties
342782	TCK RSA properties bundle set events Bug event symbolicname version	Bug TCK RSA events set properties incorrectly
369023	org Trace NullPointerException Null Pointer Exception tracing git pluginId plugin option ecf Pointer eclipse	Bug NullPointerException tracing org eclipse ecf core util Trace catching Null Pointer Exception
371768	NPE Zoodiscovery service watchmanager annoying Bug unpublishing unpublish needed thrown	Bug Zoodiscovery NPE unpublishing service
406064	Discovery percentage client high Zoo zookeeper ZooDiscovery Zoo Discovery server Bug CPU	Bug Discovery ZooDiscovery high cpu percentage server client zookeeper Zoo Discovery
408030	RestClientService Rest Client Service content client remoteservice encoding IRemoteCallable IRemote Callable ignores org Client Service	Bug RestClientService ignores content encoding Rest Client Service
414448	importService import Service Service configs RemoteServiceAdmin Remote Service Admin error matching Bug Remote robust import	Bug RemoteServiceAdmin importService robust face matching configs Remote Service Admin import Service
419902	NPE String OSGi ethz Channel Impl impl Endpoint iks Bug	Bug OSGi NPE ethz iks osgi impl ChannelEndpointImpl updateTopics String String Channel Endpoint Impl update Topics
420433	OSGi SERVICE Message NPE service ethz handleMessage handle Message Remote Bug iks	Bug OSGi NPE ethz iks osgi impl ChannelEndpointImpl handleMessage RemoteOSGiMessage SERVICE MODIFIED received SERVICE Channel Endpoint Impl handle Message Remote OSGi Message
426497	org register eclipse ecf listener Listener Service discovery internal IService	Bug org eclipse ecf internal discovery DiscoveryServiceListener register IServiceTyped listener type wildcards Discovery Service Listener IService Typed
464701	Zookeeper connection Zoodiscovery client case application services connect event Exception	Bug Discovery Zookeeper Auto reconnect issue
471541	tests problem ClassCastException Class Cast Exception service JUnit remote JVM attachment test unit	Bug ClassCastException JUnit integration tests Class Cast Exception
485482	ecf org distribution remove Discovery eclipse Bug Composite dev code	Bug remove code org eclipse ecf provider discovery
