90428	Jabber button disables jabberserver Provider username Finish action hotmail Bug	Bug Jabber Provider Character allowed Jabber login names
314558	test Discovery Tests suite DNS Add API DiscoveryTestsWithoutRegister Discovery Tests Register checks Bug	Bug Discovery DNS Add API checks null test suite
316595	service Discovery lazily Defer unit retrieval retrieving request Bug eagerly	Bug Discovery Defer service retrieval unit tests
318075	Whitespaces Discovery IService allowed IServiceProperty IService Property Bug property Property	Bug Discovery Whitespaces allowed property
327029	IFooService IFoo Service foo Service IFoo rosgi OSGi method Smart Proxy SmartProxyService Smart Proxy Service	Bug OSGi RemoteSrvs Smart Proxy delegate original method Remote Srvs
327060	dev mailing discovery zookeeper location problem bug solution URI include	Bug discovery zookeeper location URI include port
327379	Remote IRemoteCallFactory IRemote Call Factory factory Call IRemote RemoteCallFactory Remote Call Factory rest Factory RemoteCalls Remote Calls Rest	Bug IRemoteCallFactory IRemote Call Factory
327582	osgi implementation Remote getRemoteServiceReferences Remote Service References incorrect String simplify Service unnecessary simplified	Bug osgi simplify implementation getRemoteServiceReferences Remote Service References
328772	Serializable null org status Status SerializableStatus Serializable Status STATUS ecf exception eclipse	Bug org eclipse ecf core status SerializableStatus STATUS exception org eclipse ecf core status SerializableStatus checkForSerializable Throwable null Serializable Status Serializable Status check Serializable
328998	Container Composite Discovery CompositeDiscoveryContainer Composite Discovery Container CompositeDiscoveryContainerInstantiator Composite Discovery Container Instantiator advertisers Instance create createInstance create Instance locator	Bug Discovery Composite CompositeDiscoveryContainer advertisers set locator Composite Discovery Container
328999	Discovery Service broken discovery ServiceResource Service Resource ecf resilient resource Address Listener	Bug Discovery resilient broken hostnames
329054	Container Discovery Composite discovery connect provider IConnect containers org nested	Bug Discovery Composite org eclipse ecf provider discovery CompositeDiscoveryContainer connect IConnectContext handle ContainerConnectExceptions nested discovery providers Composite Discovery Container IConnect Context Container Connect Exceptions
331740	Discovery CompositeDiscoveryContainer Composite Discovery Container Composite DiscoveryContainers Discovery Containers Container Containers misses instantiation Bug	Bug Discovery Composite CompositeDiscoveryContainer misses DiscoveryContainers Composite Discovery Container Discovery Containers
332852	Zoo Discovery ZooDiscovery Zoo Discovery BundleActivator Bundle Activator Zookeeper Bundle startup ZooDiscoveryContainer Zoo Discovery Container start Slow	Bug Discovery ZooDiscovery Slow Zookeeper startup timeout BundleActivator start Zoo Discovery Bundle Activator
337345	Service ecf osgi devsosgi endpoint service remoteserviceadmin services ERROR container	Bug remoteserviceadmin Service Info null publish endpointDescription endpoint Description
337643	Service service ServiceA Service Context ecf ServiceATracker Service ATracker remoteserviceadmin props propsA props osgi	Bug remoteserviceadmin classloader proxy creation access IRemoteServiceProxy IRemote Service Proxy
342002	Service Call IRemote HTTP service invokeRemoteCall invoke Remote Call RestClientService Rest Client Service status restCall rest Call containerFactory container Factory	Bug RestClientService invokeRemoteCall throws exception successful HTTP operation returns HTTP status Rest Client Service invoke Remote Call
342352	RSA properties private TCK someProperty Property service Bug exports exported Property	Bug TCK RSA exports private properties
342782	set RSA TCK Bug bundle properties event events incorrectly symbolicname	Bug TCK RSA events set properties incorrectly
369023	Trace NullPointerException Null Pointer Exception eclipse tracing org throwable pluginId plugin ecf Null printStackTrace print Stack Trace	Bug NullPointerException tracing org eclipse ecf core util Trace catching Null Pointer Exception
371768	annoying NPE Zoodiscovery Harmless unpublishing service unpublish Bug needed watchmanager	Bug Zoodiscovery NPE unpublishing service
406064	ZooDiscovery Zoo Discovery Discovery client high percentage server Zoo zookeeper Bug processes	Bug Discovery ZooDiscovery high cpu percentage server client zookeeper Zoo Discovery
408030	RestClientService Rest Client Service client content IRemoteCallable IRemote Callable encoding Rest ignores Service Client Callable	Bug RestClientService ignores content encoding Rest Client Service
414448	importService import Service matching Service RemoteServiceAdmin Remote Service Admin configs import robust find Remote Bug	Bug RemoteServiceAdmin importService robust face matching configs Remote Service Admin import Service
419902	OSGi NPE String ChannelEndpointImpl Channel Endpoint Impl Impl Topics osgi impl update Channel	Bug OSGi NPE ethz iks osgi impl ChannelEndpointImpl updateTopics String String Channel Endpoint Impl update Topics
420433	SERVICE OSGi Message ChannelEndpointImpl Channel Endpoint Impl osgi impl RemoteOSGiMessage Remote OSGi Message Endpoint service Impl	Bug OSGi NPE ethz iks osgi impl ChannelEndpointImpl handleMessage RemoteOSGiMessage SERVICE MODIFIED received SERVICE Channel Endpoint Impl handle Message Remote OSGi Message
426497	org listener DiscoveryServiceListener Discovery Service Listener eclipse Listener ecf IService Service internal type	Bug org eclipse ecf internal discovery DiscoveryServiceListener register IServiceTyped listener type wildcards Discovery Service Listener IService Typed
464701	connection Zoodiscovery client Zookeeper server creates services disconnect remote connect	Bug Discovery Zookeeper Auto reconnect issue
471541	tests JUnit ClassCastException Class Cast Exception remote problem service type attachment client server	Bug ClassCastException JUnit integration tests Class Cast Exception
485482	ecf removing org remove Discovery provider Composite dev eclipse services	Bug remove code org eclipse ecf provider discovery
