90428	jabberserver hotmail Character org Jabber button user Provider Join Bug	Bug Jabber Provider Character allowed Jabber login names
318075	Whitespaces IServiceProperty IService Property Bug Discovery Property IService allowed	Bug Discovery Whitespaces allowed property
327029	Service method IFooService IFoo Service foo rosgiFoo rosgi Foo OSGi Proxy IFoo rosgi Smart	Bug OSGi RemoteSrvs Smart Proxy delegate original method Remote Srvs
327060	location URI service problem discovery port bug zookeeper dev Note	Bug discovery zookeeper location URI include port
327379	Factory IRemoteCallFactory IRemote Call Factory Remote RestCallFactory Rest Call Factory RemoteCallFactory Remote Call Factory factory remoteservice RemoteCalls Remote Calls Call IRemote	Bug IRemoteCallFactory IRemote Call Factory
327582	Service getRemoteServiceReferences Remote Service References implementation incorrect unnecessary osgi Remote parameter Filter simplify	Bug osgi simplify implementation getRemoteServiceReferences Remote Service References
328772	SerializableStatus Serializable Status status Status Serializable STATUS exception ecf Exception core null	Bug org eclipse ecf core status SerializableStatus STATUS exception org eclipse ecf core status SerializableStatus checkForSerializable Throwable null Serializable Status Serializable Status check Serializable
328998	Discovery Container discovery Instance CompositeDiscoveryContainer Composite Discovery Container Composite Instantiator CompositeDiscoveryContainerInstantiator Composite Discovery Container Instantiator locator provider	Bug Discovery Composite CompositeDiscoveryContainer advertisers set locator Composite Discovery Container
328999	Discovery Service discovery Address resource broken URI Resource hostname Bug	Bug Discovery resilient broken hostnames
329054	Discovery Container discovery provider connect Composite IConnect Context containers CompositeDiscoveryContainer Composite Discovery Container	Bug Discovery Composite org eclipse ecf provider discovery CompositeDiscoveryContainer connect IConnectContext handle ContainerConnectExceptions nested discovery providers Composite Discovery Container IConnect Context Container Connect Exceptions
331740	Discovery DiscoveryContainers Discovery Containers CompositeDiscoveryContainer Composite Discovery Container Container Composite Containers Bug	Bug Discovery Composite CompositeDiscoveryContainer misses DiscoveryContainers Composite Discovery Container Discovery Containers
332852	Discovery Zoo ZooDiscoveryContainer Zoo Discovery Container ZooDiscovery Zoo Discovery Zookeeper startup Slow Bug BundleActivator Bundle Activator Container	Bug Discovery ZooDiscovery Slow Zookeeper startup timeout BundleActivator start Zoo Discovery Bundle Activator
337345	Service service endpoint services remoteserviceadmin devsosgi uri Endpoint ServiceID Service EndpointDescription Endpoint Description	Bug remoteserviceadmin Service Info null publish endpointDescription endpoint Description
337643	Service ServiceA Service service Context Endpoint remoteserviceadmin ServiceATracker Service ATracker Exception classloader IRemoteServiceProxy IRemote Service Proxy	Bug remoteserviceadmin classloader proxy creation access IRemoteServiceProxy IRemote Service Proxy
342002	Service restCall rest Call Call service IRemoteServiceRegistration IRemote Service Registration remote status IRemote request requestType request Type	Bug RestClientService invokeRemoteCall throws exception successful HTTP operation returns HTTP status Rest Client Service invoke Remote Call
342352	private exported Property properties RSA intent TCK someProperty Property Dotted Bug	Bug TCK RSA exports private properties
342782	TCK Bug RSA set incorrectly event bundle properties events spec	Bug TCK RSA events set properties incorrectly
369023	Trace tracing core java printStackTrace print Stack Trace NullPointerException Null Pointer Exception eclipse org Bug catching	Bug NullPointerException tracing org eclipse ecf core util Trace catching Null Pointer Exception
371768	NPE needed Harmless service annoying thrown Zoodiscovery Bug unpublishing unpublish	Bug Zoodiscovery NPE unpublishing service
406064	server Discovery processes ZooDiscovery Zoo Discovery client CPU high zookeeper Zoo Bug	Bug Discovery ZooDiscovery high cpu percentage server client zookeeper Zoo Discovery
408030	client content RestClientService Rest Client Service Client Service encoding Http org Method Request	Bug RestClientService ignores content encoding Rest Client Service
414448	importService import Service RemoteServiceAdmin Remote Service Admin Service Admin import imported create Bug matching configs	Bug RemoteServiceAdmin importService robust face matching configs Remote Service Admin import Service
419902	ChannelEndpointImpl Channel Endpoint Impl updateTopics update Topics OSGi NPE update osgi Endpoint Channel Topics iks	Bug OSGi NPE ethz iks osgi impl ChannelEndpointImpl updateTopics String String Channel Endpoint Impl update Topics
420433	SERVICE OSGi service NPE Message Channel iks Bug RemoteOSGiMessage Remote OSGi Message receives	Bug OSGi NPE ethz iks osgi impl ChannelEndpointImpl handleMessage RemoteOSGiMessage SERVICE MODIFIED received SERVICE Channel Endpoint Impl handle Message Remote OSGi Message
426497	discovery Discovery DiscoveryServiceListener Discovery Service Listener Service org listener eclipse Bug Listener ecf	Bug org eclipse ecf internal discovery DiscoveryServiceListener register IServiceTyped listener type wildcards Discovery Service Listener IService Typed
464701	connection server Connect Zookeeper reconnects services Bug disconnect Zoodiscovery Session	Bug Discovery Zookeeper Auto reconnect issue
471541	tests Class service JUnit Exception ClassCastException Class Cast Exception problem failing remote observation	Bug ClassCastException JUnit integration tests Class Cast Exception
485482	discovery eclipse Discovery provider removing remove removed CompositeDiscoveryContainer Composite Discovery Container Container Bug	Bug remove code org eclipse ecf provider discovery
