90428	button Finish user Join hotmail jabberserver usernames character Jabber group	Bug Jabber Provider Character allowed Jabber login names
259233	path lost discovery URI Discovery JMDNS segment Bug	Bug Discovery JMDNS URI path lost discovery
259389	net tracker Discovery case atid detail lookup aid scope group	Bug Discovery SLP lookup scope case insensitive
265551	Pause changed noticed PAUSE URLRetrievePauseResumeTest URLRetrieve Pause Resume Test resource tests transfer provider URLRetrieve	Bug pause reads entire resource HttpClient provider Http Client
266120	naming Type service default Service authority set getServiceTypeIDs Service Type IDs Discovery servicetypes	Bug Discovery JmDNS IServiceTypeID default naming authority set DNS IService Type
267481	Container server support Generic generic class IRemoteServiceContainerAdapter IRemote Service Container Adapter Server plugin GenericServerContainer Generic Server Container	Bug server supporrt remoteservice container adapter generic server
270332	problems fixed patch reference channels called attached attachment group handling	Bug called DocShares ECF Generic group handling Doc Shares
273135	implementation String println logging invokes details Log StringBuffer String Buffer Buffer Service	Bug LogService implementation misses details logging Log Service
282667	Code bug Extension fails IOException class comment Analyzer CodeAnalyzer Code Analyzer impl	Bug remotesrvs osgi class parsing exception ethz iks osgi impl CodeAnalyzer Code Analyzer
296107	SLPv messages version change SLP jSLP SLP marked Discovery log formats	Bug Discovery jSLP discard SLP protocol messages version SLP
302394	tags parser bad jSLP SLP Discovery attribute Bug accept HTAB Test	Bug Discovery jSLP Test parser bad tags SLP
302407	exception Service java Impl happen NoSuchMethodException Method Exception Method org call Exception	Bug remotesrvs osgi remote method invocation fails mismatch caused parameter type inheritance org eclipse ecf internal provider osgi RemoteServiceImpl callSync Remote Service Impl call Sync
314558	test Discovery Tests DiscoveryTestsWithoutRegister Discovery Tests Register checks suite Execute null Bug DNS	Bug Discovery DNS Add API checks null test suite
316595	service retrieving eagerly request Discovery lazily instances retrieval unit Bug	Bug Discovery Defer service retrieval unit tests
318075	Whitespaces Discovery Bug IService IServiceProperty IService Property allowed Property property	Bug Discovery Whitespaces allowed property
327029	foo method IFooService IFoo Service proxy original Service Proxy rosgi smart Smart	Bug OSGi RemoteSrvs Smart Proxy delegate original method Remote Srvs
327060	port URI location service mailing bug zookeeper dev discovery org	Bug discovery zookeeper location URI include port
327379	Remote RestCallFactory Rest Call Factory factory RemoteCallFactory Remote Call Factory Call rest Factory Rest remoteservice IRemoteCallFactory IRemote Call Factory	Bug IRemoteCallFactory IRemote Call Factory
327582	implementation Service Remote simplified unnecessary getRemoteServiceReferences Remote Service References String parameter Filter References	Bug osgi simplify implementation getRemoteServiceReferences Remote Service References
328772	Status exception STATUS status null Exception SerializableStatus Serializable Status Serializable core org	Bug org eclipse ecf core status SerializableStatus STATUS exception org eclipse ecf core status SerializableStatus checkForSerializable Throwable null Serializable Status Serializable Status check Serializable
328998	Discovery discovery Container locator Composite Instantiator Instance CompositeDiscoveryContainerInstantiator Composite Discovery Container Instantiator provider Object	Bug Discovery Composite CompositeDiscoveryContainer advertisers set locator Composite Discovery Container
328999	Discovery discovery Service hostname URI broken Address Listener resolve services	Bug Discovery resilient broken hostnames
329054	Container connect discovery Discovery provider Connect containers org IConnect Composite	Bug Discovery Composite org eclipse ecf provider discovery CompositeDiscoveryContainer connect IConnectContext handle ContainerConnectExceptions nested discovery providers Composite Discovery Container IConnect Context Container Connect Exceptions
331740	Discovery DiscoveryContainers Discovery Containers Composite CompositeDiscoveryContainer Composite Discovery Container Containers Container misses instantiation Bug	Bug Discovery Composite CompositeDiscoveryContainer misses DiscoveryContainers Composite Discovery Container Discovery Containers
332852	Discovery Zoo ZooDiscoveryContainer Zoo Discovery Container startup Zookeeper Bundle timeout Container Activator asynchronously	Bug Discovery ZooDiscovery Slow Zookeeper startup timeout BundleActivator start Zoo Discovery Bundle Activator
337345	Service service endpoint devsosgi remote container ERROR supported Container services	Bug remoteserviceadmin Service Info null publish endpointDescription endpoint Description
337643	Service service ServiceA Service ecf props osgi class property propsA props ServiceATracker Service ATracker	Bug remoteserviceadmin classloader proxy creation access IRemoteServiceProxy IRemote Service Proxy
342002	Service remote service Call IRemote status Remote call Factory request	Bug RestClientService invokeRemoteCall throws exception successful HTTP operation returns HTTP status Rest Client Service invoke Remote Call
342352	private properties service exported Property someProperty Property RSA foo intent Dotted	Bug TCK RSA exports private properties
342782	set properties TCK event bundle events Bug RSA version spec	Bug TCK RSA events set properties incorrectly
369023	Trace eclipse String org tracing catching framework ecf pluginId plugin method	Bug NullPointerException tracing org eclipse ecf core util Trace catching Null Pointer Exception
371768	service needed Harmless annoying NPE thrown Zoodiscovery unpublish watchmanager unpublishing	Bug Zoodiscovery NPE unpublishing service
406064	client server high Discovery processes CPU zookeeper Zoo cpu percentage	Bug Discovery ZooDiscovery high cpu percentage server client zookeeper Zoo Discovery
408030	client Service content Type encoding Http RestClientService Rest Client Service Request Post Method	Bug RestClientService ignores content encoding Rest Client Service
414448	Service imported Remote matching importService import Service configs RemoteServiceAdmin Remote Service Admin error Admin publish	Bug RemoteServiceAdmin importService robust face matching configs Remote Service Admin import Service
419902	Channel update NPE Topics Impl topicsAdded topics impl Endpoint null topics	Bug OSGi NPE ethz iks osgi impl ChannelEndpointImpl updateTopics String String Channel Endpoint Impl update Topics
420433	SERVICE MODIFIED service Message impl receives OSGi iks Impl Channel	Bug OSGi NPE ethz iks osgi impl ChannelEndpointImpl handleMessage RemoteOSGiMessage SERVICE MODIFIED received SERVICE Channel Endpoint Impl handle Message Remote OSGi Message
426497	Service Discovery org listener discovery Listener eclipse type IService DiscoveryServiceListener Discovery Service Listener	Bug org eclipse ecf internal discovery DiscoveryServiceListener register IServiceTyped listener type wildcards Discovery Service Listener IService Typed
464701	connection disconnect closes client connect services server Zoodiscovery Zookeeper Session	Bug Discovery Zookeeper Auto reconnect issue
471541	tests service remote problem ClassCastException Class Cast Exception failing Class trace test Exception	Bug ClassCastException JUnit integration tests Class Cast Exception
485482	org Discovery discovery existing obsolete provider ecf eclipse removing distribution	Bug remove code org eclipse ecf provider discovery
