90428	Jabber Provider action button Character user login ECF Bug hotmail	Bug Jabber Provider Character allowed Jabber login names
331740	Container CompositeDiscoveryContainer Composite Discovery Container Composite DiscoveryContainers Discovery Containers Discovery Containers Bug instantiation	Bug Discovery Composite CompositeDiscoveryContainer misses DiscoveryContainers Composite Discovery Container Discovery Containers
332852	Zoo Discovery ZooDiscovery Zoo Discovery BundleActivator Bundle Activator startup Zookeeper start Bundle Activator Container	Bug Discovery ZooDiscovery Slow Zookeeper startup timeout BundleActivator start Zoo Discovery Bundle Activator
337345	Service osgi service services endpoint Container devsosgi ERROR ecf object	Bug remoteserviceadmin Service Info null publish endpointDescription endpoint Description
337643	Service service ServiceA Service ecf props Endpoint propsA props remoteserviceadmin Context ServiceATracker Service ATracker	Bug remoteserviceadmin classloader proxy creation access IRemoteServiceProxy IRemote Service Proxy
342002	Service service IRemote status containerFactory container Factory restCall rest Call Parameters HTTP Call Callables	Bug RestClientService invokeRemoteCall throws exception successful HTTP operation returns HTTP status Rest Client Service invoke Remote Call
342352	RSA someProperty Property properties Property Bug TCK foo intent exports private	Bug TCK RSA exports private properties
342782	RSA TCK Bug set properties bundle events symbolicname event incorrectly	Bug TCK RSA events set properties incorrectly
369023	Trace pluginId plugin NullPointerException Null Pointer Exception method org core java printStackTrace print Stack Trace eclipse Null	Bug NullPointerException tracing org eclipse ecf core util Trace catching Null Pointer Exception
371768	NPE service Bug annoying Zoodiscovery Harmless watchmanager unpublishing thrown unpublish	Bug Zoodiscovery NPE unpublishing service
406064	client Discovery ZooDiscovery Zoo Discovery server percentage Zoo zookeeper Bug high CPU	Bug Discovery ZooDiscovery high cpu percentage server client zookeeper Zoo Discovery
408030	RestClientService Rest Client Service content client Client Service IRemoteCallable IRemote Callable UTF remoteservice consumer encoding	Bug RestClientService ignores content encoding Rest Client Service
414448	importService import Service Service RemoteServiceAdmin Remote Service Admin import Bug configs error registration matching Admin	Bug RemoteServiceAdmin importService robust face matching configs Remote Service Admin import Service
419902	OSGi Impl NPE ChannelEndpointImpl Channel Endpoint Impl ethz String impl Channel Bug updateTopics update Topics	Bug OSGi NPE ethz iks osgi impl ChannelEndpointImpl updateTopics String String Channel Endpoint Impl update Topics
420433	SERVICE OSGi Message NPE RemoteOSGiMessage Remote OSGi Message Remote Bug Channel service Impl	Bug OSGi NPE ethz iks osgi impl ChannelEndpointImpl handleMessage RemoteOSGiMessage SERVICE MODIFIED received SERVICE Channel Endpoint Impl handle Message Remote OSGi Message
426497	org Listener Service DiscoveryServiceListener Discovery Service Listener listener type ecf eclipse discovery register	Bug org eclipse ecf internal discovery DiscoveryServiceListener register IServiceTyped listener type wildcards Discovery Service Listener IService Typed
464701	connection Zoodiscovery client Zookeeper ClientCnxn Client Cnxn Bug services startConnect start Connect SendThread Send Thread Thread	Bug Discovery Zookeeper Auto reconnect issue
471541	tests JUnit type ClassCastException Class Cast Exception problem client service callee JVM attachment	Bug ClassCastException JUnit integration tests Class Cast Exception
485482	ecf dev eclipse org provider Discovery Bug Composite distribution removing	Bug remove code org eclipse ecf provider discovery
