90428	Jabber user login action button group hotmail Finish Provider Join	Bug Jabber Provider Character allowed Jabber login names
273135	implementation Log details Service String message LogService Log Service Buffer StringBuffer String Buffer logging	Bug LogService implementation misses details logging Log Service
282667	Extension class Code point bug Point service ExtensionPoint Extension Point registry CodeAnalyzer Code Analyzer	Bug remotesrvs osgi class parsing exception ethz iks osgi impl CodeAnalyzer Code Analyzer
296107	version messages SLPv formats SLP Discovery change jSLP SLP future versions	Bug Discovery jSLP discard SLP protocol messages version SLP
302394	tags bad attribute parser Bug Discovery Test jSLP SLP HTAB SLP	Bug Discovery jSLP Test parser bad tags SLP
302407	Service exception type java Method inheritance Impl Remote parameter org	Bug remotesrvs osgi remote method invocation fails mismatch caused parameter type inheritance org eclipse ecf internal provider osgi RemoteServiceImpl callSync Remote Service Impl call Sync
314558	test Discovery API checks DiscoveryTestsWithoutRegister Discovery Tests Register Bug Add DNS Tests Register	Bug Discovery DNS Add API checks null test suite
316595	service Discovery unit request retrieval Bug test Defer instances eagerly	Bug Discovery Defer service retrieval unit tests
318075	Discovery Whitespaces property allowed IService Bug Property IServiceProperty IService Property	Bug Discovery Whitespaces allowed property
327029	method Smart foo proxy IFooService IFoo Service Service return original abstract OSGi	Bug OSGi RemoteSrvs Smart Proxy delegate original method Remote Srvs
327060	location mailing org dev discovery bug port interest solution html	Bug discovery zookeeper location URI include port
327379	factory Remote Call Factory IRemoteCallFactory IRemote Call Factory RemoteCallFactory Remote Call Factory rest IRemote remoteservice RestCallFactory Rest Call Factory	Bug IRemoteCallFactory IRemote Call Factory
327582	implementation Remote Service getRemoteServiceReferences Remote Service References idFilter Filter simplified osgi String Filter parameter	Bug osgi simplify implementation getRemoteServiceReferences Remote Service References
328772	Status Serializable core org Throwable STATUS ecf SerializableStatus Serializable Status status exception	Bug org eclipse ecf core status SerializableStatus STATUS exception org eclipse ecf core status SerializableStatus checkForSerializable Throwable null Serializable Status Serializable Status check Serializable
328998	Discovery Container Composite discovery Type provider eclipse set Instance CompositeDiscoveryContainer Composite Discovery Container	Bug Discovery Composite CompositeDiscoveryContainer advertisers set locator Composite Discovery Container
328999	Discovery Inet discovery Service resource NPE ecf Address hostname Resource	Bug Discovery resilient broken hostnames
329054	provider Container containers Discovery discovery connect Connect handle CDC ecf	Bug Discovery Composite org eclipse ecf provider discovery CompositeDiscoveryContainer connect IConnectContext handle ContainerConnectExceptions nested discovery providers Composite Discovery Container IConnect Context Container Connect Exceptions
331740	Discovery Container Composite Containers CompositeDiscoveryContainer Composite Discovery Container DiscoveryContainers Discovery Containers Bug instantiation misses	Bug Discovery Composite CompositeDiscoveryContainer misses DiscoveryContainers Composite Discovery Container Discovery Containers
332852	Discovery Zoo startup start Bundle Slow timeout Zookeeper Container ZooDiscoveryContainer Zoo Discovery Container	Bug Discovery ZooDiscovery Slow Zookeeper startup timeout BundleActivator start Zoo Discovery Bundle Activator
337345	Service service ERROR Container devsosgi osgi endpoint object services container	Bug remoteserviceadmin Service Info null publish endpointDescription endpoint Description
337643	Service service property ecf class Consumer Context Endpoint osgi propsA props	Bug remoteserviceadmin classloader proxy creation access IRemoteServiceProxy IRemote Service Proxy
342002	Service service status Factory Call Container Remote class registration remote	Bug RestClientService invokeRemoteCall throws exception successful HTTP operation returns HTTP status Rest Client Service invoke Remote Call
342352	RSA properties intent private foo someProperty Property service Property TCK Bug	Bug TCK RSA exports private properties
342782	bundle RSA properties set TCK events version event Bug symbolicname	Bug TCK RSA events set properties incorrectly
369023	Trace org option String git ecf Pointer core catching pluginId plugin	Bug NullPointerException tracing org eclipse ecf core util Trace catching Null Pointer Exception
371768	service NPE needed watchmanager Harmless Zoodiscovery annoying thrown unpublish Bug	Bug Zoodiscovery NPE unpublishing service
406064	client Discovery percentage Zoo server high processes zookeeper CPU Bug	Bug Discovery ZooDiscovery high cpu percentage server client zookeeper Zoo Discovery
408030	content Type client creation RestClientService Rest Client Service Service Method Client user org	Bug RestClientService ignores content encoding Rest Client Service
414448	Service error matching Remote import importService import Service configs registration valid face	Bug RemoteServiceAdmin importService robust face matching configs Remote Service Admin import Service
419902	NPE String OSGi Channel Endpoint update Impl Topics osgi ethz	Bug OSGi NPE ethz iks osgi impl ChannelEndpointImpl updateTopics String String Channel Endpoint Impl update Topics
420433	SERVICE OSGi Message service MODIFIED NPE osgi Channel Remote instance	Bug OSGi NPE ethz iks osgi impl ChannelEndpointImpl handleMessage RemoteOSGiMessage SERVICE MODIFIED received SERVICE Channel Endpoint Impl handle Message Remote OSGi Message
426497	register org Service Listener listener discovery type Discovery ecf eclipse	Bug org eclipse ecf internal discovery DiscoveryServiceListener register IServiceTyped listener type wildcards Discovery Service Listener IService Typed
464701	connection case client event services application Zookeeper Zoodiscovery connect closes	Bug Discovery Zookeeper Auto reconnect issue
471541	tests problem service test unit server remote forums JVM failing	Bug ClassCastException JUnit integration tests Class Cast Exception
485482	org Discovery distribution ecf discovery existing services replace Container removing	Bug remove code org eclipse ecf provider discovery
