59	MDT hour DateUtils Utils truncate lang Utils oct buggy result DST	lang DateUtils truncate method buggy dealing DST switching hours Utils
552	String replacement StringUtils String Utils replaceEach replace replace Utils Test case replacementList replacement List null	StringUtils replaceEach Bug Missing Documentation String Utils replace
586	ToStringStyle String Style memory String org thread LANG created application web Style	ThreadLocals ToStringStyle HashCodeBuilder trigger memory leaks container environments Thread Locals String Style Hash Code Builder
587	toClass Class Class Object NPE throws element array ClassUtils Class Utils Utils null	ClassUtils toClass Object throws NPE null array element Class Utils Class
638	Number createNumber create Number String NumberUtils Number Utils StringIndexOutOfBoundsException String Bounds Exception Exception throws passed Utils indicators	NumberUtils createNumber throws StringIndexOutOfBoundsException argument passed Number Utils create Number String Bounds Exception
645	FastDateFormat Fast Format locale format week Format Locale SimpleDateFormat Simple Format Simple Fast Week	FastDateFormat format outputs incorrect week year locale isn respected Fast Format
662	Fraction Integer MIN test case getDenominator Denominator method code apache commons	org apache commons lang math Fraction reduce Integer MIN
664	Number String return isNumber Number code hasExp Exp NumberUtils Number Utils Dec Digit hasDecPoint Dec Point	NumberUtils isNumber String String Number Utils Number
677	isSameLocalTime Local Time Time Utils DateUtils Utils Calendar Local assertFalse assert False method HOUR class	DateUtils isSameLocalTime work correct Utils Local Time
719	Format SimpleDateFormat Simple Format Java FastDateFormat Fast Format year pattern formats Fast bug number	FastDateFormat formats year differently SimpleDateFormat Java Fast Format Simple Format
746	Number NumberUtils Number Utils Integer case upper createNumber create Number NumberFormatException Number Format Exception Utils handle Format	NumberUtils handle upper case hex Number Utils
747	Long Number numbers createLong create Long hex Integer handle NumberUtils Number Utils create createNumber create Number	NumberUtils handle Long Hex numbers Number Utils
788	Class Serialization SerializationUtils Serialization Utils ClassNotFoundException Class Exception ObjectInputStream Object Input Stream class noformat primitiveType primitive Type primitive Exception	SerializationUtils throws ClassNotFoundException cloning primitive classes Serialization Utils Class Exception
805	random code Int chars start Random ends array empty gap	RandomStringUtils random count false false universe random throws java lang ArrayIndexOutOfBoundsException Random String Utils Array Bounds Exception
807	Random Utils throws confusing start RandomUtils Random Utils lang Argument source IllegalArgumentException Illegal Argument Exception	RandomStringUtils throws confusing IAE start Random String Utils
822	Number createNumber create Number behaviour Big BigDecimal Big Decimal NumberUtils Number Utils work leading create Java	NumberUtils createNumber bad behaviour leading Number Utils create Number
831	FastDateParser Fast Parser space white parse treat dates treats Fast parsed FDP	FastDateParser handle white space properly Fast Parser
832	format quotes unterminated parse handle Simple FastDateParser Fast Parser correctly handled works	FastDateParser handle unterminated quotes correctly Fast Parser
882	Char CharSequence Char Sequence work String Buffer code Sequence Map CharBuffer Char Buffer hash	LookupTranslator accepts CharSequence input fails work implementations String Lookup Translator Char Sequence
