59	DateUtils Utils oct MDT DAY truncate Calendar dealing hour result hours	lang DateUtils truncate method buggy dealing DST switching hours Utils
662	Integer Fraction MIN test apache getDenominator Denominator int FractionTest Fraction Test commons method	org apache commons lang math Fraction reduce Integer MIN
664	Number NumberUtils Number Utils isNumber Number String Digit Exp return code hasExp Exp chars	NumberUtils isNumber String String Number Utils Number
677	isSameLocalTime Local Time Time DateUtils Utils method Utils Calendar DAY setTimeInMillis set Time Millis assertFalse assert False Local	DateUtils isSameLocalTime work correct Utils Local Time
719	FastDateFormat Fast Format year Java Format SimpleDateFormat Simple Format format pattern Fast YYY formats	FastDateFormat formats year differently SimpleDateFormat Java Fast Format Simple Format
746	Number NumberUtils Number Utils createNumber create Number case upper handle Integer NumberFormatException Number Format Exception Utils decode	NumberUtils handle upper case hex Number Utils
747	Number Integer numbers NumberUtils Number Utils Long createNumber create Number create createLong create Long handle hex	NumberUtils handle Long Hex numbers Number Utils
788	Class ClassNotFoundException Class Exception class Serialization SerializationUtils Serialization Utils primitive ObjectInputStream Object Input Stream Exception Object clone	SerializationUtils throws ClassNotFoundException cloning primitive classes Serialization Utils Class Exception
805	random chars Int int code useless null Fixed false char	RandomStringUtils random count false false universe random throws java lang ArrayIndexOutOfBoundsException Random String Utils Array Bounds Exception
807	Random Utils throws Illegal Exception confusing lang start identify RandomUtils Random Utils	RandomStringUtils throws confusing IAE start Random String Utils
822	Number createNumber create Number NumberUtils Number Utils BigDecimal Big Decimal leading behaviour Decimal create Big check	NumberUtils createNumber bad behaviour leading Number Utils create Number
831	FastDateParser Fast Parser white Format parse space treats Parser parsed treat Fast	FastDateParser handle white space properly Fast Parser
832	format unterminated SimpleDateFormat Simple Format handled quotes FastDateParser Fast Parser handle Format parse Fast	FastDateParser handle unterminated quotes correctly Fast Parser
882	CharSequence Char Sequence Char String code CharBuffer Char Buffer char work text LookupTranslator Lookup Translator Hash	LookupTranslator accepts CharSequence input fails work implementations String Lookup Translator Char Sequence
