59	MDT DateUtils Utils hour truncate lang Utils oct buggy result DST	lang DateUtils truncate method buggy dealing DST switching hours Utils
638	Number NumberUtils Number Utils createNumber create Number String StringIndexOutOfBoundsException String Bounds Exception Exception throws passed Utils indicators	NumberUtils createNumber throws StringIndexOutOfBoundsException argument passed Number Utils create Number String Bounds Exception
645	FastDateFormat Fast Format week locale SimpleDateFormat Simple Format Format format Week Locale Fast Simple	FastDateFormat format outputs incorrect week year locale isn respected Fast Format
662	Fraction Integer MIN getDenominator Denominator method code apache test case commons	org apache commons lang math Fraction reduce Integer MIN
664	Number String return isNumber Number code NumberUtils Number Utils hasExp Exp Dec Digit hasDecPoint Dec Point	NumberUtils isNumber String String Number Utils Number
677	isSameLocalTime Local Time DateUtils Utils Calendar Time Utils Local method HOUR assertFalse assert False class	DateUtils isSameLocalTime work correct Utils Local Time
719	Java SimpleDateFormat Simple Format year pattern Format FastDateFormat Fast Format format Fast bug JDK	FastDateFormat formats year differently SimpleDateFormat Java Fast Format Simple Format
746	Number NumberUtils Number Utils case upper createNumber create Number Integer NumberFormatException Number Format Exception Utils handle Format	NumberUtils handle upper case hex Number Utils
747	Number Long numbers Integer hex createLong create Long NumberUtils Number Utils handle create createNumber create Number	NumberUtils handle Long Hex numbers Number Utils
788	Serialization SerializationUtils Serialization Utils Class ClassNotFoundException Class Exception ObjectInputStream Object Input Stream class noformat primitive primitiveType primitive Type Exception	SerializationUtils throws ClassNotFoundException cloning primitive classes Serialization Utils Class Exception
805	code random chars Int start length array ends null empty	RandomStringUtils random count false false universe random throws java lang ArrayIndexOutOfBoundsException Random String Utils Array Bounds Exception
807	Random Utils throws confusing start RandomUtils Random Utils lang Argument source IllegalArgumentException Illegal Argument Exception	RandomStringUtils throws confusing IAE start Random String Utils
822	Number createNumber create Number behaviour NumberUtils Number Utils Big BigDecimal Big Decimal work leading create Java	NumberUtils createNumber bad behaviour leading Number Utils create Number
831	FastDateParser Fast Parser space white dates Fast parse SimpleDateFormat Simple Format FDP Format parsed	FastDateParser handle white space properly Fast Parser
832	quotes parse SimpleDateFormat Simple Format format unterminated handle FastDateParser Fast Parser Simple handled Fast	FastDateParser handle unterminated quotes correctly Fast Parser
882	Char CharSequence Char Sequence String work code char Sequence CharBuffer Char Buffer Map lookupMap lookup Map	LookupTranslator accepts CharSequence input fails work implementations String Lookup Translator Char Sequence
