59	DateUtils Utils Calendar MDT hour Utils DST MST assertEquals assert Equals Equals hours	lang DateUtils truncate method buggy dealing DST switching hours Utils
432	Bugs Bug String Case insensitive http html locale string sensitive	case insensitive string handling
457	StringIndexOutOfBoundsException String Bounds Exception String Number createNumber create Number digit Exception Bounds front LANG Utils	NumberUtils createNumber thows StringIndexOutOfBoundsException passed Number Utils create Number String Bounds Exception
477	format Format formatRegistry format Registry formattedPattern formatted Pattern ExtendedMessageFormat Extended Message Format appendTo append code Extended String append	ExtendedMessageFormat OutOfMemory custom format registry pattern single quotes Extended Message Format Memory
480	String escapeHtml escape Html unicode utf characters StringEscapeUtils String Escape Utils escape problem org Characters	StringEscapeUtils escapeHtml incorrectly converts unicode characters FFFF characters String Escape Utils escape Html
521	Number number isNumber Number decimal Decimal return NumberUtils Number Utils hasDecPoint Dec Point Point Dec	NumberUtils isNumber Return True Valid Number Trailing Decimal Place Number Utils Number
538	Time Calendar TimeZone Time Zone test Format GregorianCalendar Gregorian Calendar format GMT testFormat test Format problem	DateFormatUtils format correctly change Calendar TimeZone situations Format Utils Time Zone
552	String replaceEach replace replacement replacementList replacement List StringUtils String Utils replace case searchList search List Test Utils	StringUtils replaceEach Bug Missing Documentation String Utils replace
586	ToStringStyle String Style memory thread org web String LANG leak application Style	ThreadLocals ToStringStyle HashCodeBuilder trigger memory leaks container environments Thread Locals String Style Hash Code Builder
587	toClass Class Class Object NPE element array Utils ClassUtils Class Utils throws null	ClassUtils toClass Object throws NPE null array element Class Utils Class
638	Number createNumber create Number NumberUtils Number Utils String Exception StringIndexOutOfBoundsException String Bounds Exception Utils indicators passed NumberFormatException Number Format Exception	NumberUtils createNumber throws StringIndexOutOfBoundsException argument passed Number Utils create Number String Bounds Exception
645	week FastDateFormat Fast Format Week locale Locale SimpleDateFormat Simple Format format Format Simple output	FastDateFormat format outputs incorrect week year locale isn respected Fast Format
662	Fraction getDenominator Denominator Integer case FractionTest Fraction Test test MIN method Denominator int	org apache commons lang math Fraction reduce Integer MIN
664	Number hasExp Exp hasDecPoint Dec Point isNumber Number code return String NumberUtils Number Utils Dec Digit	NumberUtils isNumber String String Number Utils Number
677	isSameLocalTime Local Time DateUtils Utils assertFalse assert False Calendar Time Utils Assert Local HOUR assert	DateUtils isSameLocalTime work correct Utils Local Time
719	Format SimpleDateFormat Simple Format pattern FastDateFormat Fast Format Java JDK Javadoc year format bug	FastDateFormat formats year differently SimpleDateFormat Java Fast Format Simple Format
746	Number createNumber create Number NumberUtils Number Utils Integer NumberFormatException Number Format Exception case Format Utils upper decode	NumberUtils handle upper case hex Number Utils
747	Number Integer numbers createLong create Long Long NumberUtils Number Utils createNumber create Number hex create handle	NumberUtils handle Long Hex numbers Number Utils
788	Serialization Class ObjectInputStream Object Input Stream primitiveType primitive Type SerializationUtils Serialization Utils ClassNotFoundException Class Exception bug noformat Exception class	SerializationUtils throws ClassNotFoundException cloning primitive classes Serialization Utils Class Exception
805	Int empty random length code int null size start Random	RandomStringUtils random count false false universe random throws java lang ArrayIndexOutOfBoundsException Random String Utils Array Bounds Exception
807	Random RandomUtils Random Utils Utils nextInt Int lang Argument source Int IllegalArgumentException Illegal Argument Exception String	RandomStringUtils throws confusing IAE start Random String Utils
822	Number createNumber create Number BigDecimal Big Decimal NumberUtils Number Utils Decimal Big behaviour work Java Format	NumberUtils createNumber bad behaviour leading Number Utils create Number
831	FastDateParser Fast Parser parse FDP parsed SimpleDateFormat Simple Format treat dates space Format treats	FastDateParser handle white space properly Fast Parser
832	parse format quotes SimpleDateFormat Simple Format Simple unterminated handle works Format Parser	FastDateParser handle unterminated quotes correctly Fast Parser
882	String Char CharSequence Char Sequence work CharBuffer Char Buffer char hashCode hash Code Buffer lookupMap lookup Map StringEscapeUtils String Escape Utils	LookupTranslator accepts CharSequence input fails work implementations String Lookup Translator Char Sequence
