59	DateUtils Utils MDT hour truncate lang Utils oct Calendar buggy result	lang DateUtils truncate method buggy dealing DST switching hours Utils
662	Fraction Integer MIN getDenominator Denominator test method code apache case commons	org apache commons lang math Fraction reduce Integer MIN
664	Number isNumber Number String return code NumberUtils Number Utils hasExp Exp Dec Digit hasDecPoint Dec Point	NumberUtils isNumber String String Number Utils Number
677	isSameLocalTime Local Time DateUtils Utils Calendar Time Utils Local method HOUR assertFalse assert False class	DateUtils isSameLocalTime work correct Utils Local Time
719	Java SimpleDateFormat Simple Format year pattern Format FastDateFormat Fast Format format Fast bug JDK	FastDateFormat formats year differently SimpleDateFormat Java Fast Format Simple Format
746	Number NumberUtils Number Utils createNumber create Number case upper NumberFormatException Number Format Exception Integer Utils handle Format	NumberUtils handle upper case hex Number Utils
747	Number Long numbers Integer hex NumberUtils Number Utils createLong create Long createNumber create Number handle create	NumberUtils handle Long Hex numbers Number Utils
788	Serialization Class SerializationUtils Serialization Utils ClassNotFoundException Class Exception ObjectInputStream Object Input Stream class noformat primitiveType primitive Type primitive Exception	SerializationUtils throws ClassNotFoundException cloning primitive classes Serialization Utils Class Exception
805	code random Int chars start length array ends null int	RandomStringUtils random count false false universe random throws java lang ArrayIndexOutOfBoundsException Random String Utils Array Bounds Exception
807	Random Utils throws confusing start RandomUtils Random Utils lang Argument source IllegalArgumentException Illegal Argument Exception	RandomStringUtils throws confusing IAE start Random String Utils
822	Number createNumber create Number behaviour NumberUtils Number Utils BigDecimal Big Decimal Big work leading Decimal create	NumberUtils createNumber bad behaviour leading Number Utils create Number
831	FastDateParser Fast Parser space white dates Fast parse SimpleDateFormat Simple Format FDP Format parsed	FastDateParser handle white space properly Fast Parser
832	quotes parse SimpleDateFormat Simple Format format unterminated handle FastDateParser Fast Parser Simple handled Fast	FastDateParser handle unterminated quotes correctly Fast Parser
882	CharSequence Char Sequence Char String work code Sequence char CharBuffer Char Buffer Map StringEscapeUtils String Escape Utils	LookupTranslator accepts CharSequence input fails work implementations String Lookup Translator Char Sequence
