59	DateUtils Utils MDT Calendar Utils switching hour method dealing DST Equals	lang DateUtils truncate method buggy dealing DST switching hours Utils
412	getNullText Null Text Null appendFixedWidth append Fixed Width null Fixed Str Builder pointer StrBuilder Str Builder width	StrBuilder appendFixedWidth handle nulls Str Builder append Fixed Width
419	string String str Word substring length upper WordUtils Word Utils StringIndexOutOfBoundsException String Bounds Exception greater	WordUtils abbreviate bug greater str length Word Utils
432	Bugs Bug String Case insensitive http html locale string sensitive	case insensitive string handling
457	StringIndexOutOfBoundsException String Bounds Exception Number String createNumber create Number digit Exception Bounds front LANG NumberUtils Number Utils	NumberUtils createNumber thows StringIndexOutOfBoundsException passed Number Utils create Number String Bounds Exception
477	ExtendedMessageFormat Extended Message Format format Format formatRegistry format Registry Message java Extended code appendTo append formattedPattern formatted Pattern	ExtendedMessageFormat OutOfMemory custom format registry pattern single quotes Extended Message Format Memory
480	String escapeHtml escape Html unicode utf characters StringEscapeUtils String Escape Utils escape COUNTING Html character	StringEscapeUtils escapeHtml incorrectly converts unicode characters FFFF characters String Escape Utils escape Html
521	Number number decimal isNumber Number Decimal hasExp Exp return Point NumberUtils Number Utils Exp	NumberUtils isNumber Return True Valid Number Trailing Decimal Place Number Utils Number
538	Calendar Time TimeZone Time Zone test noformat dateTime Time GMT Format GregorianCalendar Gregorian Calendar problem	DateFormatUtils format correctly change Calendar TimeZone situations Format Utils Time Zone
552	String replacement replacementList replacement List replaceEach replace Utils Test searchList search List StringUtils String Utils replace case	StringUtils replaceEach Bug Missing Documentation String Utils replace
586	ToStringStyle String Style memory thread application Hash org String web LANG Thread	ThreadLocals ToStringStyle HashCodeBuilder trigger memory leaks container environments Thread Locals String Style Hash Code Builder
587	toClass Class Class Object Utils NPE element array throws ClassUtils Class Utils null	ClassUtils toClass Object throws NPE null array element Class Utils Class
638	createNumber create Number Number NumberFormatException Number Format Exception StringIndexOutOfBoundsException String Bounds Exception NumberUtils Number Utils String Exception Utils indicators passed	NumberUtils createNumber throws StringIndexOutOfBoundsException argument passed Number Utils create Number String Bounds Exception
645	FastDateFormat Fast Format week Week locale Format SimpleDateFormat Simple Format Locale format output firstDayOfWeek Day Week	FastDateFormat format outputs incorrect week year locale isn respected Fast Format
662	Fraction test Integer getDenominator Denominator FractionTest Fraction Test code case MIN method Denominator	org apache commons lang math Fraction reduce Integer MIN
664	Number code hasExp Exp Digit isNumber Number return java String foundDigit Digit NumberUtils Number Utils	NumberUtils isNumber String String Number Utils Number
677	isSameLocalTime Local Time Time DateUtils Utils Utils method Calendar assertFalse assert False Local HOUR False	DateUtils isSameLocalTime work correct Utils Local Time
719	year Format SimpleDateFormat Simple Format YYY pattern Java FastDateFormat Fast Format JDK Javadoc bug	FastDateFormat formats year differently SimpleDateFormat Java Fast Format Simple Format
746	Number createNumber create Number NumberFormatException Number Format Exception NumberUtils Number Utils Integer case Format Utils upper decode	NumberUtils handle upper case hex Number Utils
747	Integer Number numbers createNumber create Number createLong create Long NumberUtils Number Utils Long hex create handle	NumberUtils handle Long Hex numbers Number Utils
788	Class Serialization ClassNotFoundException Class Exception ObjectInputStream Object Input Stream class primitiveType primitive Type SerializationUtils Serialization Utils resolveClass resolve Class primitiveTypeClassSerialization primitive Type Class Serialization noformat	SerializationUtils throws ClassNotFoundException cloning primitive classes Serialization Utils Class Exception
805	Int char length empty int code size null random start	RandomStringUtils random count false false universe random throws java lang ArrayIndexOutOfBoundsException Random String Utils Array Bounds Exception
807	Random Utils RandomUtils Random Utils String lang Argument source nextInt Int IllegalArgumentException Illegal Argument Exception Illegal	RandomStringUtils throws confusing IAE start Random String Utils
822	Number createNumber create Number BigDecimal Big Decimal Decimal Big behaviour NumberUtils Number Utils work create NumberFormatException Number Format Exception	NumberUtils createNumber bad behaviour leading Number Utils create Number
831	FastDateParser Fast Parser parse FDP parsed SimpleDateFormat Simple Format treat dates space Format treats	FastDateParser handle white space properly Fast Parser
832	parse format quotes SimpleDateFormat Simple Format Simple unterminated handle works Format Parser	FastDateParser handle unterminated quotes correctly Fast Parser
882	Char CharSequence Char Sequence String CharBuffer Char Buffer char work Map equals code lookupMap lookup Map	LookupTranslator accepts CharSequence input fails work implementations String Lookup Translator Char Sequence
