59	DateUtils Utils MDT truncate Calendar switching hour method dealing oct result	lang DateUtils truncate method buggy dealing DST switching hours Utils
380	Fraction loop reduce Summary numerator infinite pretty	infinite loop Fraction reduce numerator
393	compare BigDecimal Big Decimal comparing compareTo compare Big don Decimal equals BigDecimals Big Decimals Equals	EqualsBuilder don compare BigDecimals correctly Equals Builder Big Decimals
412	appendFixedWidth append Fixed Width Null null getNullText Null Text Str handle StrBuilder Str Builder append nulls Fixed	StrBuilder appendFixedWidth handle nulls Str Builder append Fixed Width
419	string str Word upper WordUtils Word Utils String abbreviate length greater substring	WordUtils abbreviate bug greater str length Word Utils
432	insensitive Bugs string String Bug html sensitive Case case intended	case insensitive string handling
457	StringIndexOutOfBoundsException String Bounds Exception createNumber create Number Number String digit NumberUtils Number Utils thows Bounds LANG don	NumberUtils createNumber thows StringIndexOutOfBoundsException passed Number Utils create Number String Bounds Exception
477	Format ExtendedMessageFormat Extended Message Format format Message Extended formatRegistry format Registry java formatted String code	ExtendedMessageFormat OutOfMemory custom format registry pattern single quotes Extended Message Format Memory
480	escapeHtml escape Html String unicode characters StringEscapeUtils String Escape Utils utf incorrectly character escape COUNTING	StringEscapeUtils escapeHtml incorrectly converts unicode characters FFFF characters String Escape Utils escape Html
521	Number number decimal isNumber Number NumberUtils Number Utils Decimal return True works hasExp Exp	NumberUtils isNumber Return True Valid Number Trailing Decimal Place Number Utils Number
538	Calendar Time TimeZone Time Zone dateTime Time GMT GregorianCalendar Gregorian Calendar format Format test noformat	DateFormatUtils format correctly change Calendar TimeZone situations Format Utils Time Zone
552	String replaceEach replace replacement replacementList replacement List replace StringUtils String Utils Utils Test null searchList search List	StringUtils replaceEach Bug Missing Documentation String Utils replace
586	ToStringStyle String Style memory created Hash ThreadLocals Thread Locals loading thread application removed Thread	ThreadLocals ToStringStyle HashCodeBuilder trigger memory leaks container environments Thread Locals String Style Hash Code Builder
587	toClass Class Object Class throws ClassUtils Class Utils Utils NPE array element null	ClassUtils toClass Object throws NPE null array element Class Utils Class
638	createNumber create Number Number NumberFormatException Number Format Exception NumberUtils Number Utils StringIndexOutOfBoundsException String Bounds Exception throws String passed Exception create	NumberUtils createNumber throws StringIndexOutOfBoundsException argument passed Number Utils create Number String Bounds Exception
645	FastDateFormat Fast Format week SimpleDateFormat Simple Format Week Format locale Locale output format Fast	FastDateFormat format outputs incorrect week year locale isn respected Fast Format
662	Fraction Integer test getDenominator Denominator FractionTest Fraction Test Reduced apache MIN commons case	org apache commons lang math Fraction reduce Integer MIN
664	Number isNumber Number Digit hasExp Exp code String NumberUtils Number Utils return foundDigit Digit java	NumberUtils isNumber String String Number Utils Number
677	isSameLocalTime Local Time Time DateUtils Utils Utils method Calendar assertFalse assert False Local cal work	DateUtils isSameLocalTime work correct Utils Local Time
719	year FastDateFormat Fast Format Format SimpleDateFormat Simple Format Java YYY Fast Javadoc pattern JDK	FastDateFormat formats year differently SimpleDateFormat Java Fast Format Simple Format
746	Number createNumber create Number NumberUtils Number Utils upper NumberFormatException Number Format Exception Integer handle case work handles	NumberUtils handle upper case hex Number Utils
747	Integer Number numbers NumberUtils Number Utils createNumber create Number create Long handle createLong create Long hex	NumberUtils handle Long Hex numbers Number Utils
788	Class Serialization ClassNotFoundException Class Exception SerializationUtils Serialization Utils class primitive ObjectInputStream Object Input Stream primitiveTypeClassSerialization primitive Type Class Serialization primitiveType primitive Type Utils	SerializationUtils throws ClassNotFoundException cloning primitive classes Serialization Utils Class Exception
805	random chars Int empty char null length code useless int	RandomStringUtils random count false false universe random throws java lang ArrayIndexOutOfBoundsException Random String Utils Array Bounds Exception
807	Random RandomUtils Random Utils Utils throws confusing RandomStringUtils Random String Utils start nextInt Int Int Argument	RandomStringUtils throws confusing IAE start Random String Utils
822	Number createNumber create Number NumberUtils Number Utils BigDecimal Big Decimal create behaviour leading Decimal Big nulll	NumberUtils createNumber bad behaviour leading Number Utils create Number
831	FastDateParser Fast Parser parse white space parsed treat treats Fast SimpleDateFormat Simple Format handle	FastDateParser handle white space properly Fast Parser
832	quotes unterminated handle parse format SimpleDateFormat Simple Format correctly Simple handled works	FastDateParser handle unterminated quotes correctly Fast Parser
882	Char CharSequence Char Sequence String CharBuffer Char Buffer char equals work lookupMap lookup Map instances HashMap Hash Map	LookupTranslator accepts CharSequence input fails work implementations String Lookup Translator Char Sequence
