59	oct DateUtils Utils MDT DAY truncate MST Utils hour result method	lang DateUtils truncate method buggy dealing DST switching hours Utils
552	String null StringUtils String Utils replaceEach replace replace replacement Utils Test replacementList replacement List case	StringUtils replaceEach Bug Missing Documentation String Utils replace
586	memory String ToStringStyle String Style org thread commons lang created application leak	ThreadLocals ToStringStyle HashCodeBuilder trigger memory leaks container environments Thread Locals String Style Hash Code Builder
587	Object toClass Class Class element throws null array ClassUtils Class Utils NPE Utils	ClassUtils toClass Object throws NPE null array element Class Utils Class
638	Number throws createNumber create Number NumberUtils Number Utils Exception String NumberFormatException Number Format Exception StringIndexOutOfBoundsException String Bounds Exception Format Bounds	NumberUtils createNumber throws StringIndexOutOfBoundsException argument passed Number Utils create Number String Bounds Exception
645	week Format locale Fast format FastDateFormat Fast Format Week SimpleDateFormat Simple Format Simple year	FastDateFormat format outputs incorrect week year locale isn respected Fast Format
662	Integer Fraction MIN method Equals int case code test void	org apache commons lang math Fraction reduce Integer MIN
664	String Number isNumber Number NumberUtils Number Utils code Exp Digit chars foundDigit Digit return	NumberUtils isNumber String String Number Utils Number
677	Time Utils isSameLocalTime Local Time Calendar method DateUtils Utils work Local HOUR set	DateUtils isSameLocalTime work correct Utils Local Time
719	year SimpleDateFormat Simple Format Java Format FastDateFormat Fast Format pattern Simple Fast formats format	FastDateFormat formats year differently SimpleDateFormat Java Fast Format Simple Format
746	Number NumberUtils Number Utils Integer case upper Format createNumber create Number NumberFormatException Number Format Exception decode hex	NumberUtils handle upper case hex Number Utils
747	numbers create Number Long Integer NumberUtils Number Utils handle hex createNumber create Number decode	NumberUtils handle Long Hex numbers Number Utils
788	Class class primitive Serialization ClassNotFoundException Class Exception SerializationUtils Serialization Utils Exception Object Utils primitiveType primitive Type	SerializationUtils throws ClassNotFoundException cloning primitive classes Serialization Utils Class Exception
805	random chars code Int int null exception lang ends nextInt Int	RandomStringUtils random count false false universe random throws java lang ArrayIndexOutOfBoundsException Random String Utils Array Bounds Exception
807	Random throws Utils Illegal Exception confusing Argument Int RandomUtils Random Utils lang	RandomStringUtils throws confusing IAE start Random String Utils
822	Number createNumber create Number behaviour create BigDecimal Big Decimal NumberUtils Number Utils Big Format returns Exception	NumberUtils createNumber bad behaviour leading Number Utils create Number
831	space white FastDateParser Fast Parser Format Fast parse parsed treats treat Simple	FastDateParser handle white space properly Fast Parser
832	format unterminated handled Simple correctly parse SimpleDateFormat Simple Format quotes works handle	FastDateParser handle unterminated quotes correctly Fast Parser
882	Char String CharSequence Char Sequence code work translate char equals hash Code	LookupTranslator accepts CharSequence input fails work implementations String Lookup Translator Char Sequence
