59	DateUtils Utils MDT Calendar hour method lang Utils switching truncate dealing	lang DateUtils truncate method buggy dealing DST switching hours Utils
586	ToStringStyle String Style memory ThreadLocals Thread Locals thread Hash application String leak created webapp	ThreadLocals ToStringStyle HashCodeBuilder trigger memory leaks container environments Thread Locals String Style Hash Code Builder
587	toClass Class Object Class Utils NPE ClassUtils Class Utils throws null array element	ClassUtils toClass Object throws NPE null array element Class Utils Class
638	createNumber create Number NumberUtils Number Utils Number NumberFormatException Number Format Exception StringIndexOutOfBoundsException String Bounds Exception String Exception throws Format Utils	NumberUtils createNumber throws StringIndexOutOfBoundsException argument passed Number Utils create Number String Bounds Exception
645	FastDateFormat Fast Format week Format locale Week SimpleDateFormat Simple Format Locale firstDayOfWeek Day Week Simple format	FastDateFormat format outputs incorrect week year locale isn respected Fast Format
662	Fraction Integer test getDenominator Denominator FractionTest Fraction Test Denominator case MIN code Test	org apache commons lang math Fraction reduce Integer MIN
664	Number isNumber Number NumberUtils Number Utils Digit hasExp Exp code String return java foundDigit Digit	NumberUtils isNumber String String Number Utils Number
677	isSameLocalTime Local Time Time DateUtils Utils Utils method Calendar Local assertFalse assert False HOUR Millis	DateUtils isSameLocalTime work correct Utils Local Time
719	year Format FastDateFormat Fast Format SimpleDateFormat Simple Format YYY Java JDK pattern Javadoc format	FastDateFormat formats year differently SimpleDateFormat Java Fast Format Simple Format
746	Number createNumber create Number NumberUtils Number Utils case NumberFormatException Number Format Exception Utils Integer upper handle create	NumberUtils handle upper case hex Number Utils
747	Number Integer numbers NumberUtils Number Utils createNumber create Number createLong create Long Long create hex handle	NumberUtils handle Long Hex numbers Number Utils
788	Class Serialization ClassNotFoundException Class Exception class ObjectInputStream Object Input Stream SerializationUtils Serialization Utils Utils primitiveType primitive Type resolveClass resolve Class primitiveTypeClassSerialization primitive Type Class Serialization	SerializationUtils throws ClassNotFoundException cloning primitive classes Serialization Utils Class Exception
805	char length Int RandomStringUtils Random String Utils nextInt Int random code int size empty	RandomStringUtils random count false false universe random throws java lang ArrayIndexOutOfBoundsException Random String Utils Array Bounds Exception
807	Random RandomUtils Random Utils Utils RandomStringUtils Random String Utils String nextInt Int Int start throws source	RandomStringUtils throws confusing IAE start Random String Utils
822	Number createNumber create Number NumberUtils Number Utils Decimal BigDecimal Big Decimal behaviour Big NumberFormatException Number Format Exception work create	NumberUtils createNumber bad behaviour leading Number Utils create Number
831	FastDateParser Fast Parser FDP SimpleDateFormat Simple Format parse space treats treat white SDP Parser	FastDateParser handle white space properly Fast Parser
832	quotes parse format handle unterminated SimpleDateFormat Simple Format FastDateParser Fast Parser Simple Format works	FastDateParser handle unterminated quotes correctly Fast Parser
882	Char CharSequence Char Sequence String CharBuffer Char Buffer char work lookupMap lookup Map Sequence hash Map	LookupTranslator accepts CharSequence input fails work implementations String Lookup Translator Char Sequence
