59	DateUtils Utils MDT Calendar truncate hour oct result MST assert assertEquals assert Equals	lang DateUtils truncate method buggy dealing DST switching hours Utils
365	BooleanUtils Boolean Utils Boolean toBoolean Boolean case false statement assert String test invalid	BooleanUtils toBoolean invalid drop case statement StringIndexOutOfBoundsException Boolean Utils Boolean String Bounds Exception
368	getDateInstance Instance getDateTimeInstance Time Instance Locale locale Instance HashMap Hash Map Hash key case test	FastDateFormat getDateInstance getDateTimeInstance assume Locale getDefault won change Fast Format Instance Time Instance Default
380	Fraction loop reduce Summary numerator infinite pretty	infinite loop Fraction reduce numerator
393	compare BigDecimal Big Decimal Big comparing don Decimal compareTo compare EqualsBuilder Equals Builder BigDecimals Big Decimals Equals	EqualsBuilder don compare BigDecimals correctly Equals Builder Big Decimals
412	Null null appendFixedWidth append Fixed Width handle nulls Fixed Str Builder append StrBuilder Str Builder	StrBuilder appendFixedWidth handle nulls Str Builder append Fixed Width
419	Word string WordUtils Word Utils str abbreviate String length upper greater bug	WordUtils abbreviate bug greater str length Word Utils
432	insensitive Bugs string String Bug html sensitive Case case intended	case insensitive string handling
457	StringIndexOutOfBoundsException String Bounds Exception createNumber create Number Number String digit NumberUtils Number Utils thows Bounds LANG don	NumberUtils createNumber thows StringIndexOutOfBoundsException passed Number Utils create Number String Bounds Exception
477	Format format formatRegistry format Registry ExtendedMessageFormat Extended Message Format Extended String formattedPattern formatted Pattern formatted escaping custom	ExtendedMessageFormat OutOfMemory custom format registry pattern single quotes Extended Message Format Memory
480	escapeHtml escape Html String unicode StringEscapeUtils String Escape Utils characters utf incorrectly escape Characters println	StringEscapeUtils escapeHtml incorrectly converts unicode characters FFFF characters String Escape Utils escape Html
521	Number number isNumber Number decimal NumberUtils Number Utils Decimal return hasDecPoint Dec Point Return Dec	NumberUtils isNumber Return True Valid Number Trailing Decimal Place Number Utils Number
538	Calendar Time TimeZone Time Zone format GregorianCalendar Gregorian Calendar Format GMT test dateTime Time testFormat test Format	DateFormatUtils format correctly change Calendar TimeZone situations Format Utils Time Zone
552	String replaceEach replace replace StringUtils String Utils replacementList replacement List replacement null result Test Utils	StringUtils replaceEach Bug Missing Documentation String Utils replace
586	ToStringStyle String Style memory created thread ThreadLocals Thread Locals remove web webapp String org	ThreadLocals ToStringStyle HashCodeBuilder trigger memory leaks container environments Thread Locals String Style Hash Code Builder
587	toClass Class Class Object ClassUtils Class Utils throws NPE array element null Utils	ClassUtils toClass Object throws NPE null array element Class Utils Class
638	createNumber create Number Number NumberUtils Number Utils throws StringIndexOutOfBoundsException String Bounds Exception String passed Exception argument NumberFormatException Number Format Exception	NumberUtils createNumber throws StringIndexOutOfBoundsException argument passed Number Utils create Number String Bounds Exception
645	week FastDateFormat Fast Format locale SimpleDateFormat Simple Format Week Locale format output Format Fast	FastDateFormat format outputs incorrect week year locale isn respected Fast Format
662	Fraction Integer getDenominator Denominator FractionTest Fraction Test apache case MIN commons assert borderStyle border Style	org apache commons lang math Fraction reduce Integer MIN
664	Number isNumber Number String hasExp Exp NumberUtils Number Utils return hasDecPoint Dec Point code chars Dec	NumberUtils isNumber String String Number Utils Number
677	isSameLocalTime Local Time DateUtils Utils assertFalse assert False Utils Calendar Time Assert assert Local method	DateUtils isSameLocalTime work correct Utils Local Time
719	FastDateFormat Fast Format Format SimpleDateFormat Simple Format Java year Javadoc JDK Fast formats pattern	FastDateFormat formats year differently SimpleDateFormat Java Fast Format Simple Format
746	Number NumberUtils Number Utils createNumber create Number upper Integer handle case work NumberFormatException Number Format Exception handles	NumberUtils handle upper case hex Number Utils
747	Number NumberUtils Number Utils Long numbers create createLong create Long handle Integer createNumber create Number hex	NumberUtils handle Long Hex numbers Number Utils
788	Serialization Class SerializationUtils Serialization Utils ObjectInputStream Object Input Stream primitive primitiveType primitive Type ClassNotFoundException Class Exception bug classLoader class Loader class	SerializationUtils throws ClassNotFoundException cloning primitive classes Serialization Utils Class Exception
805	random empty Int chars null code length false Random int	RandomStringUtils random count false false universe random throws java lang ArrayIndexOutOfBoundsException Random String Utils Array Bounds Exception
807	Random throws confusing RandomUtils Random Utils nextInt Int start Utils Int Argument lang	RandomStringUtils throws confusing IAE start Random String Utils
822	Number createNumber create Number NumberUtils Number Utils behaviour BigDecimal Big Decimal leading Decimal create Big nulll	NumberUtils createNumber bad behaviour leading Number Utils create Number
831	FastDateParser Fast Parser parse white space parsed treat treats Fast SimpleDateFormat Simple Format handle	FastDateParser handle white space properly Fast Parser
832	quotes unterminated handle parse format SimpleDateFormat Simple Format correctly Simple handled works	FastDateParser handle unterminated quotes correctly Fast Parser
882	Char String CharSequence Char Sequence work char lookupMap lookup Map StringEscapeUtils String Escape Utils hashCode hash Code HashMap Hash Map Escape	LookupTranslator accepts CharSequence input fails work implementations String Lookup Translator Char Sequence
