59	MDT DateUtils Utils hour oct truncate Equals DAY DST Utils dealing	lang DateUtils truncate method buggy dealing DST switching hours Utils
521	Number isNumber Number return number Exp NumberUtils Number Utils Decimal decimal Point chars	NumberUtils isNumber Return True Valid Number Trailing Decimal Place Number Utils Number
538	Time Calendar Format format test TimeZone Time Zone Zone change problem DateFormatUtils Format Utils	DateFormatUtils format correctly change Calendar TimeZone situations Format Utils Time Zone
552	String Utils replaceEach replace replacement Test null StringUtils String Utils replacementList replacement List replace org	StringUtils replaceEach Bug Missing Documentation String Utils replace
586	memory org ToStringStyle String Style String application web Hash Code thread reference	ThreadLocals ToStringStyle HashCodeBuilder trigger memory leaks container environments Thread Locals String Style Hash Code Builder
587	toClass Class Object Class Utils NPE ClassUtils Class Utils throws element array null	ClassUtils toClass Object throws NPE null array element Class Utils Class
638	Number createNumber create Number String NumberUtils Number Utils StringIndexOutOfBoundsException String Bounds Exception throws Exception Utils NumberFormatException Number Format Exception exponent	NumberUtils createNumber throws StringIndexOutOfBoundsException argument passed Number Utils create Number String Bounds Exception
645	week Format FastDateFormat Fast Format locale format SimpleDateFormat Simple Format Simple Week Fast output	FastDateFormat format outputs incorrect week year locale isn respected Fast Format
662	Integer Fraction MIN method case test void apache commons getDenominator Denominator	org apache commons lang math Fraction reduce Integer MIN
664	return Number String code isNumber Number hasExp Exp Digit NumberUtils Number Utils java Dec	NumberUtils isNumber String String Number Utils Number
677	isSameLocalTime Local Time Time Utils Calendar DateUtils Utils method Local False HOUR assertFalse assert False	DateUtils isSameLocalTime work correct Utils Local Time
719	Java SimpleDateFormat Simple Format year pattern Format FastDateFormat Fast Format format Fast bug number	FastDateFormat formats year differently SimpleDateFormat Java Fast Format Simple Format
746	Number case createNumber create Number NumberUtils Number Utils Utils NumberFormatException Number Format Exception upper handle Format Integer	NumberUtils handle upper case hex Number Utils
747	Long Number Integer numbers createNumber create Number hex createLong create Long NumberUtils Number Utils create handle	NumberUtils handle Long Hex numbers Number Utils
788	Class ClassNotFoundException Class Exception class Exception Serialization SerializationUtils Serialization Utils noformat ObjectInputStream Object Input Stream primitive clone	SerializationUtils throws ClassNotFoundException cloning primitive classes Serialization Utils Class Exception
805	random code chars Int pass int start char ends RandomStringUtils Random String Utils	RandomStringUtils random count false false universe random throws java lang ArrayIndexOutOfBoundsException Random String Utils Array Bounds Exception
807	Random Utils Illegal throws source lang confusing start String Argument	RandomStringUtils throws confusing IAE start Random String Utils
822	Number createNumber create Number behaviour BigDecimal Big Decimal Big NumberUtils Number Utils leading Format Decimal Exception	NumberUtils createNumber bad behaviour leading Number Utils create Number
831	FastDateParser Fast Parser space white Format Parser FDP treats Fast dates parse	FastDateParser handle white space properly Fast Parser
832	format unterminated FastDateParser Fast Parser quotes parse handled Format handle SimpleDateFormat Simple Format Simple	FastDateParser handle unterminated quotes correctly Fast Parser
882	CharSequence Char Sequence Char String work code CharBuffer Char Buffer Map char LookupTranslator Lookup Translator hash	LookupTranslator accepts CharSequence input fails work implementations String Lookup Translator Char Sequence
