59	MDT DateUtils Utils hour truncate Calendar lang Utils oct buggy result	lang DateUtils truncate method buggy dealing DST switching hours Utils
432	Bugs insensitive String string Case case locale sensitive http intended	case insensitive string handling
457	createNumber create Number StringIndexOutOfBoundsException String Bounds Exception Number String NumberUtils Number Utils Bounds front thows Utils Exception	NumberUtils createNumber thows StringIndexOutOfBoundsException passed Number Utils create Number String Bounds Exception
477	Format format Extended formatRegistry format Registry ExtendedMessageFormat Extended Message Format String code appendTo append pattern formattedPattern formatted Pattern	ExtendedMessageFormat OutOfMemory custom format registry pattern single quotes Extended Message Format Memory
480	String escapeHtml escape Html characters unicode StringEscapeUtils String Escape Utils escape utf Escape incorrectly problem	StringEscapeUtils escapeHtml incorrectly converts unicode characters FFFF characters String Escape Utils escape Html
521	Number isNumber Number return number Decimal NumberUtils Number Utils hasDecPoint Dec Point decimal Point Dec	NumberUtils isNumber Return True Valid Number Trailing Decimal Place Number Utils Number
538	Time Calendar Format format test TimeZone Time Zone Zone GregorianCalendar Gregorian Calendar dateTime Time problem	DateFormatUtils format correctly change Calendar TimeZone situations Format Utils Time Zone
552	String replaceEach replace replacement StringUtils String Utils replacementList replacement List replace Utils Test case null	StringUtils replaceEach Bug Missing Documentation String Utils replace
586	ToStringStyle String Style memory String ThreadLocals Thread Locals org web thread LANG created application	ThreadLocals ToStringStyle HashCodeBuilder trigger memory leaks container environments Thread Locals String Style Hash Code Builder
587	toClass Class Class Object NPE ClassUtils Class Utils throws element array Utils null	ClassUtils toClass Object throws NPE null array element Class Utils Class
638	createNumber create Number Number String StringIndexOutOfBoundsException String Bounds Exception NumberUtils Number Utils Exception throws passed Utils indicators	NumberUtils createNumber throws StringIndexOutOfBoundsException argument passed Number Utils create Number String Bounds Exception
645	week FastDateFormat Fast Format locale format Format Week Locale Simple SimpleDateFormat Simple Format output	FastDateFormat format outputs incorrect week year locale isn respected Fast Format
662	Fraction Integer MIN case getDenominator Denominator test method code apache FractionTest Fraction Test	org apache commons lang math Fraction reduce Integer MIN
664	Number isNumber Number String return hasExp Exp hasDecPoint Dec Point code Dec Digit java	NumberUtils isNumber String String Number Utils Number
677	isSameLocalTime Local Time Time Utils DateUtils Utils Calendar Local assertFalse assert False method HOUR class	DateUtils isSameLocalTime work correct Utils Local Time
719	Format SimpleDateFormat Simple Format Java FastDateFormat Fast Format year pattern formats Fast bug number	FastDateFormat formats year differently SimpleDateFormat Java Fast Format Simple Format
746	Number createNumber create Number NumberUtils Number Utils case upper NumberFormatException Number Format Exception Integer Utils handle Format	NumberUtils handle upper case hex Number Utils
747	Long Number createLong create Long numbers hex NumberUtils Number Utils create Integer handle createNumber create Number	NumberUtils handle Long Hex numbers Number Utils
788	Class Serialization SerializationUtils Serialization Utils ClassNotFoundException Class Exception ObjectInputStream Object Input Stream class noformat bug primitive primitiveType primitive Type	SerializationUtils throws ClassNotFoundException cloning primitive classes Serialization Utils Class Exception
805	random code Int chars start Random ends RandomStringUtils Random String Utils array nextInt Int	RandomStringUtils random count false false universe random throws java lang ArrayIndexOutOfBoundsException Random String Utils Array Bounds Exception
807	Random Utils throws confusing start lang Argument source nextInt Int IllegalArgumentException Illegal Argument Exception	RandomStringUtils throws confusing IAE start Random String Utils
822	Number createNumber create Number behaviour BigDecimal Big Decimal Big NumberUtils Number Utils Decimal work leading create	NumberUtils createNumber bad behaviour leading Number Utils create Number
831	FastDateParser Fast Parser space white FDP parse treat treats dates Fast parsed	FastDateParser handle white space properly Fast Parser
832	format quotes unterminated parse handle Simple FastDateParser Fast Parser correctly handled works	FastDateParser handle unterminated quotes correctly Fast Parser
882	CharSequence Char Sequence Char String work CharBuffer Char Buffer code Buffer Map Sequence hashCode hash Code	LookupTranslator accepts CharSequence input fails work implementations String Lookup Translator Char Sequence
