59	MDT DateUtils Utils Utils hour oct truncate buggy DAY hours method	lang DateUtils truncate method buggy dealing DST switching hours Utils
521	Number isNumber Number return number Exp Decimal Point chars decimal Dec	NumberUtils isNumber Return True Valid Number Trailing Decimal Place Number Utils Number
538	Time Calendar Format format test TimeZone Time Zone Zone cal change DateFormatUtils Format Utils	DateFormatUtils format correctly change Calendar TimeZone situations Format Utils Time Zone
552	String replaceEach replace Utils StringUtils String Utils replacement Test case null replace org	StringUtils replaceEach Bug Missing Documentation String Utils replace
586	memory String org ToStringStyle String Style thread application Style web Code reference	ThreadLocals ToStringStyle HashCodeBuilder trigger memory leaks container environments Thread Locals String Style Hash Code Builder
587	Object toClass Class Class element NPE Utils array throws null ClassUtils Class Utils	ClassUtils toClass Object throws NPE null array element Class Utils Class
638	Number String Exception createNumber create Number NumberUtils Number Utils throws StringIndexOutOfBoundsException String Bounds Exception Format NumberFormatException Number Format Exception Utils	NumberUtils createNumber throws StringIndexOutOfBoundsException argument passed Number Utils create Number String Bounds Exception
645	Format locale week format FastDateFormat Fast Format Fast Simple year Week output	FastDateFormat format outputs incorrect week year locale isn respected Fast Format
662	Integer MIN Fraction method code case void test int apache	org apache commons lang math Fraction reduce Integer MIN
664	Number String code isNumber Number return Digit Exp chars Dec change	NumberUtils isNumber String String Number Utils Number
677	Time Utils Calendar isSameLocalTime Local Time method DateUtils Utils Local HOUR work False	DateUtils isSameLocalTime work correct Utils Local Time
719	Java year SimpleDateFormat Simple Format pattern Format FastDateFormat Fast Format Simple number bug formats	FastDateFormat formats year differently SimpleDateFormat Java Fast Format Simple Format
746	Number case upper Integer Utils NumberUtils Number Utils createNumber create Number Format NumberFormatException Number Format Exception handle	NumberUtils handle upper case hex Number Utils
747	Long Number numbers hex Integer create handle NumberUtils Number Utils createNumber create Number createLong create Long	NumberUtils handle Long Hex numbers Number Utils
788	Class class Serialization ClassNotFoundException Class Exception Exception SerializationUtils Serialization Utils primitive Utils noformat Input	SerializationUtils throws ClassNotFoundException cloning primitive classes Serialization Utils Class Exception
805	code random Int chars ends pass lang nextInt Int user char	RandomStringUtils random count false false universe random throws java lang ArrayIndexOutOfBoundsException Random String Utils Array Bounds Exception
807	Random Utils throws Illegal Argument String lang confusing start source	RandomStringUtils throws confusing IAE start Random String Utils
822	Number behaviour createNumber create Number Big BigDecimal Big Decimal create Format leading returns NumberUtils Number Utils	NumberUtils createNumber bad behaviour leading Number Utils create Number
831	space white FastDateParser Fast Parser Format Fast FDP Parser dates Simple parse	FastDateParser handle white space properly Fast Parser
832	format unterminated quotes parse Simple FastDateParser Fast Parser handled correctly handle Fast	FastDateParser handle unterminated quotes correctly Fast Parser
882	Char CharSequence Char Sequence String work code translate Code Sequence Map hash	LookupTranslator accepts CharSequence input fails work implementations String Lookup Translator Char Sequence
