59	DateUtils Utils MDT DAY oct Calendar Equals hour lang Utils DST	lang DateUtils truncate method buggy dealing DST switching hours Utils
538	Time Calendar Format format TimeZone Time Zone Zone FastDateFormat Fast Format test getTimeZone Time Zone GMT	DateFormatUtils format correctly change Calendar TimeZone situations Format Utils Time Zone
552	String Utils replacement replaceEach replace replacementList replacement List Test StringUtils String Utils replace org null	StringUtils replaceEach Bug Missing Documentation String Utils replace
586	memory ToStringStyle String Style String org ThreadLocals Thread Locals application web trigger reference Hash	ThreadLocals ToStringStyle HashCodeBuilder trigger memory leaks container environments Thread Locals String Style Hash Code Builder
587	Object toClass Class Class Utils ClassUtils Class Utils NPE throws element null array	ClassUtils toClass Object throws NPE null array element Class Utils Class
638	NumberUtils Number Utils createNumber create Number Number StringIndexOutOfBoundsException String Bounds Exception String throws Utils NumberFormatException Number Format Exception Exception Format	NumberUtils createNumber throws StringIndexOutOfBoundsException argument passed Number Utils create Number String Bounds Exception
645	Format week FastDateFormat Fast Format format Week SimpleDateFormat Simple Format locale Simple Fast firstDayOfWeek Day Week	FastDateFormat format outputs incorrect week year locale isn respected Fast Format
662	Integer Fraction MIN test getDenominator Denominator FractionTest Fraction Test method int Denominator case	org apache commons lang math Fraction reduce Integer MIN
664	NumberUtils Number Utils Number isNumber Number Digit return String hasExp Exp code Utils java	NumberUtils isNumber String String Number Utils Number
677	isSameLocalTime Local Time Time Calendar DateUtils Utils method Utils DAY setTimeInMillis set Time Millis Local False	DateUtils isSameLocalTime work correct Utils Local Time
719	Format Java FastDateFormat Fast Format year SimpleDateFormat Simple Format format pattern YYY formats JDK	FastDateFormat formats year differently SimpleDateFormat Java Fast Format Simple Format
746	Number NumberUtils Number Utils createNumber create Number case Utils NumberFormatException Number Format Exception handle Integer Format upper	NumberUtils handle upper case hex Number Utils
747	Number Integer numbers Long NumberUtils Number Utils createNumber create Number createLong create Long hex create octal	NumberUtils handle Long Hex numbers Number Utils
788	Class ClassNotFoundException Class Exception class Serialization SerializationUtils Serialization Utils ObjectInputStream Object Input Stream Exception Object Type primitive	SerializationUtils throws ClassNotFoundException cloning primitive classes Serialization Utils Class Exception
805	Int random chars int char pass code nextInt Int RandomStringUtils Random String Utils length	RandomStringUtils random count false false universe random throws java lang ArrayIndexOutOfBoundsException Random String Utils Array Bounds Exception
807	Random Utils Illegal Exception RandomUtils Random Utils source lang Int problem String	RandomStringUtils throws confusing IAE start Random String Utils
822	Number createNumber create Number NumberUtils Number Utils Decimal BigDecimal Big Decimal behaviour Utils Exception Big leading	NumberUtils createNumber bad behaviour leading Number Utils create Number
831	FastDateParser Fast Parser Parser Format SimpleDateFormat Simple Format FDP treats space white parse SDP	FastDateParser handle white space properly Fast Parser
832	format FastDateParser Fast Parser SimpleDateFormat Simple Format Format unterminated parse quotes handled handle parsed	FastDateParser handle unterminated quotes correctly Fast Parser
882	Char CharSequence Char Sequence String CharBuffer Char Buffer code char work Buffer hash text	LookupTranslator accepts CharSequence input fails work implementations String Lookup Translator Char Sequence
