90428	button jabberserver hotmail names Character org Join user group action	Bug Jabber Provider Character allowed Jabber login names
328772	Status STATUS status Exception exception SerializableStatus Serializable Status null setting ecf core	Bug org eclipse ecf core status SerializableStatus STATUS exception org eclipse ecf core status SerializableStatus checkForSerializable Throwable null Serializable Status Serializable Status check Serializable
328998	Instance Discovery discovery Container Instantiator create Object org provider CompositeDiscoveryContainerInstantiator Composite Discovery Container Instantiator	Bug Discovery Composite CompositeDiscoveryContainer advertisers set locator Composite Discovery Container
328999	Service Discovery discovery Address resource Resource URI ecf ECF broken	Bug Discovery resilient broken hostnames
329054	Container Discovery discovery Context provider connect IConnect Connect containers CDC	Bug Discovery Composite org eclipse ecf provider discovery CompositeDiscoveryContainer connect IConnectContext handle ContainerConnectExceptions nested discovery providers Composite Discovery Container IConnect Context Container Connect Exceptions
331740	Discovery DiscoveryContainers Discovery Containers CompositeDiscoveryContainer Composite Discovery Container Container Containers Composite Bug	Bug Discovery Composite CompositeDiscoveryContainer misses DiscoveryContainers Composite Discovery Container Discovery Containers
332852	Discovery Zoo startup Zookeeper ZooDiscovery Zoo Discovery ZooDiscoveryContainer Zoo Discovery Container BundleActivator Bundle Activator Slow timeout Activator	Bug Discovery ZooDiscovery Slow Zookeeper startup timeout BundleActivator start Zoo Discovery Bundle Activator
337345	service Service services uri framework Container object container endpoint devsosgi	Bug remoteserviceadmin Service Info null publish endpointDescription endpoint Description
337643	Service Exception IRemoteServiceProxy IRemote Service Proxy Context ServiceA Service service object osgi Class EndpointDescription Endpoint Description	Bug remoteserviceadmin classloader proxy creation access IRemoteServiceProxy IRemote Service Proxy
342002	Service service restCall rest Call IRemoteServiceRegistration IRemote Service Registration remote request create Call requestType request Type IRemote	Bug RestClientService invokeRemoteCall throws exception successful HTTP operation returns HTTP status Rest Client Service invoke Remote Call
342352	private Property intent someProperty Property properties exported Dotted service	Bug TCK RSA exports private properties
342782	incorrectly Bug bundle version	Bug TCK RSA events set properties incorrectly
369023	core java Trace void tracing catching Exception http framework plugin	Bug NullPointerException tracing org eclipse ecf core util Trace catching Null Pointer Exception
371768	Harmless needed NPE service thrown annoying	Bug Zoodiscovery NPE unpublishing service
406064	server processes Discovery zookeeper ZooDiscovery Zoo Discovery Zoo CPU observe	Bug Discovery ZooDiscovery high cpu percentage server client zookeeper Zoo Discovery
408030	Service client Client Method org content creation Http IRemoteCall IRemote Call Request	Bug RestClientService ignores content encoding Rest Client Service
414448	importService import Service create Admin RemoteServiceAdmin Remote Service Admin Service import imported publish registration configs	Bug RemoteServiceAdmin importService robust face matching configs Remote Service Admin import Service
419902	update ChannelEndpointImpl Channel Endpoint Impl updateTopics update Topics NPE OSGi osgi Topics topics topicsAdded topics Impl	Bug OSGi NPE ethz iks osgi impl ChannelEndpointImpl updateTopics String String Channel Endpoint Impl update Topics
420433	Message SERVICE NPE Channel service RemoteOSGiMessage Remote OSGi Message handleMessage handle Message OSGi osgi Impl	Bug OSGi NPE ethz iks osgi impl ChannelEndpointImpl handleMessage RemoteOSGiMessage SERVICE MODIFIED received SERVICE Channel Endpoint Impl handle Message Remote OSGi Message
426497	Service Discovery discovery DiscoveryServiceListener Discovery Service Listener type Listener listener Bug Typed IServiceTyped IService Typed	Bug org eclipse ecf internal discovery DiscoveryServiceListener register IServiceTyped listener type wildcards Discovery Service Listener IService Typed
464701	connection server Connect application Session services reconnects creates disconnect Bug	Bug Discovery Zookeeper Auto reconnect issue
471541	service tests problem Class failing server Exception method observation remote	Bug ClassCastException JUnit integration tests Class Cast Exception
485482	removing discovery removed Discovery provider CompositeDiscoveryContainer Composite Discovery Container Container eclipse release remove	Bug remove code org eclipse ecf provider discovery
