90428	hotmail Jabber jabberserver user login action disables group button ECF	Bug Jabber Provider Character allowed Jabber login names
266120	servicetypes getServiceTypeIDs Service Type IDs service Service naming Type Discovery authority JmDNS DNS ECF	Bug Discovery JmDNS IServiceTypeID default naming authority set DNS IService Type
267481	IRemoteServiceContainerAdapter IRemote Service Container Adapter class GenericServerContainer Generic Server Container Container support adapter server Generic Server Service	Bug server supporrt remoteservice container adapter generic server
270332	patch problems fixed attachment subject meaning Doc group docshare channels	Bug called DocShares ECF Generic group handling Doc Shares
273135	implementation String StringBuffer String Buffer Log Buffer LogService Log Service Service details println parameter	Bug LogService implementation misses details logging Log Service
282667	bug Code CodeAnalyzer Code Analyzer Extension class ExtensionPoint Extension Point Wojciech service point OSGI	Bug remotesrvs osgi class parsing exception ethz iks osgi impl CodeAnalyzer Code Analyzer
296107	SLPv version SLP jSLP SLP messages Discovery versions formats discard Bug	Bug Discovery jSLP discard SLP protocol messages version SLP
302394	tags parser attribute jSLP SLP HTAB Discovery Bug bad Test SLP	Bug Discovery jSLP Test parser bad tags SLP
302407	java exception Service Method Impl ServiceURL Service URL happen lang inheritance org	Bug remotesrvs osgi remote method invocation fails mismatch caused parameter type inheritance org eclipse ecf internal provider osgi RemoteServiceImpl callSync Remote Service Impl call Sync
314558	DiscoveryTestsWithoutRegister Discovery Tests Register test Discovery Tests API DNS checks Register Add suite	Bug Discovery DNS Add API checks null test suite
316595	service retrieving Discovery instances Defer retrieval lazily request Bug unit	Bug Discovery Defer service retrieval unit tests
318075	Whitespaces Property IService property Discovery Bug allowed IServiceProperty IService Property	Bug Discovery Whitespaces allowed property
327029	method IFooService IFoo Service foo rosgi rosgiFoo rosgi Foo Service SmartProxyService Smart Proxy Service proxy Proxy OSGi	Bug OSGi RemoteSrvs Smart Proxy delegate original method Remote Srvs
327060	location bug port dev URI mailing service solution zookeeper interest	Bug discovery zookeeper location URI include port
327379	factory RemoteCallFactory Remote Call Factory Remote Factory RestCallFactory Rest Call Factory IRemoteCallFactory IRemote Call Factory remoteservice RemoteCalls Remote Calls Call IRemote	Bug IRemoteCallFactory IRemote Call Factory
327582	getRemoteServiceReferences Remote Service References implementation Service idFilter Filter osgi Remote parameter String simplified incorrect	Bug osgi simplify implementation getRemoteServiceReferences Remote Service References
328772	SerializableStatus Serializable Status Serializable Status Throwable STATUS org core exception null status	Bug org eclipse ecf core status SerializableStatus STATUS exception org eclipse ecf core status SerializableStatus checkForSerializable Throwable null Serializable Status Serializable Status check Serializable
328998	Discovery Container Composite discovery CompositeDiscoveryContainer Composite Discovery Container CompositeDiscoveryContainerInstantiator Composite Discovery Container Instantiator provider Instance eclipse ecf	Bug Discovery Composite CompositeDiscoveryContainer advertisers set locator Composite Discovery Container
328999	Discovery Service discovery hostname ServiceResource Service Resource Address resource Inet URI getInetAddress Inet Address	Bug Discovery resilient broken hostnames
329054	Container provider containers Discovery discovery ContainerConnectException Container Connect Exception CompositeDiscoveryContainer Composite Discovery Container Composite ecf connect	Bug Discovery Composite org eclipse ecf provider discovery CompositeDiscoveryContainer connect IConnectContext handle ContainerConnectExceptions nested discovery providers Composite Discovery Container IConnect Context Container Connect Exceptions
331740	CompositeDiscoveryContainer Composite Discovery Container Discovery DiscoveryContainers Discovery Containers Container Composite Containers instantiation misses Bug	Bug Discovery Composite CompositeDiscoveryContainer misses DiscoveryContainers Composite Discovery Container Discovery Containers
332852	Discovery Zoo ZooDiscoveryContainer Zoo Discovery Container Bundle startup Container Zookeeper BundleActivator Bundle Activator Activator Slow	Bug Discovery ZooDiscovery Slow Zookeeper startup timeout BundleActivator start Zoo Discovery Bundle Activator
337345	Service service endpoint devsosgi container services osgi ecf remoteserviceadmin Container	Bug remoteserviceadmin Service Info null publish endpointDescription endpoint Description
337643	Service service ServiceA Service osgi ServiceATracker Service ATracker Endpoint propsA props property EndpointDescription Endpoint Description Context	Bug remoteserviceadmin classloader proxy creation access IRemoteServiceProxy IRemote Service Proxy
342002	Service service Call IRemote restCall rest Call status Factory Container adapter remoteService remote Service	Bug RestClientService invokeRemoteCall throws exception successful HTTP operation returns HTTP status Rest Client Service invoke Remote Call
342352	RSA private properties foo someProperty Property exported intent Property Dotted service	Bug TCK RSA exports private properties
342782	TCK RSA bundle event properties set events symbolicname version Bug	Bug TCK RSA events set properties incorrectly
369023	Trace org printStackTrace print Stack Trace git pluginId plugin option Pointer method ecf String	Bug NullPointerException tracing org eclipse ecf core util Trace catching Null Pointer Exception
371768	service NPE needed watchmanager Zoodiscovery Harmless annoying unpublish thrown Bug	Bug Zoodiscovery NPE unpublishing service
406064	client server percentage Discovery CPU processes Zoo zoodiscovery zookeeper high	Bug Discovery ZooDiscovery high cpu percentage server client zookeeper Zoo Discovery
408030	RestClientService Rest Client Service Service content client org Http Client encoding remoteservice UTF	Bug RestClientService ignores content encoding Rest Client Service
414448	importService import Service RemoteServiceAdmin Remote Service Admin Service error configs Admin import Remote matching registration	Bug RemoteServiceAdmin importService robust face matching configs Remote Service Admin import Service
419902	Channel NPE Endpoint ChannelEndpointImpl Channel Endpoint Impl String Impl updateTopics update Topics ethz update Topics	Bug OSGi NPE ethz iks osgi impl ChannelEndpointImpl updateTopics String String Channel Endpoint Impl update Topics
420433	SERVICE service OSGi Message NPE handleMessage handle Message ethz Channel instance Remote	Bug OSGi NPE ethz iks osgi impl ChannelEndpointImpl handleMessage RemoteOSGiMessage SERVICE MODIFIED received SERVICE Channel Endpoint Impl handle Message Remote OSGi Message
426497	Service discovery Listener listener register Discovery org eclipse ecf DiscoveryServiceListener Discovery Service Listener	Bug org eclipse ecf internal discovery DiscoveryServiceListener register IServiceTyped listener type wildcards Discovery Service Listener IService Typed
464701	connection Zookeeper Zoodiscovery application client case services disconnect server Thread	Bug Discovery Zookeeper Auto reconnect issue
471541	tests service problem ClassCastException Class Cast Exception JUnit JVM failing test unit forums	Bug ClassCastException JUnit integration tests Class Cast Exception
485482	Discovery ecf eclipse org distribution discovery removing dev CompositeDiscoveryContainer Composite Discovery Container provider	Bug remove code org eclipse ecf provider discovery
