59	DateUtils Utils MDT hour Calendar truncate Utils method switching lang dealing	lang DateUtils truncate method buggy dealing DST switching hours Utils
664	Number isNumber Number code hasExp Exp String Digit return NumberUtils Number Utils java foundDigit Digit	NumberUtils isNumber String String Number Utils Number
677	isSameLocalTime Local Time Time DateUtils Utils Utils method Calendar Local assertFalse assert False HOUR class	DateUtils isSameLocalTime work correct Utils Local Time
719	year Format SimpleDateFormat Simple Format FastDateFormat Fast Format Java pattern YYY JDK format Fast	FastDateFormat formats year differently SimpleDateFormat Java Fast Format Simple Format
746	Number createNumber create Number NumberUtils Number Utils NumberFormatException Number Format Exception case Integer upper Utils handle Format	NumberUtils handle upper case hex Number Utils
747	Number Integer numbers createNumber create Number Long NumberUtils Number Utils createLong create Long hex create handle	NumberUtils handle Long Hex numbers Number Utils
788	Class Serialization ClassNotFoundException Class Exception class SerializationUtils Serialization Utils ObjectInputStream Object Input Stream primitiveType primitive Type primitive Utils noformat	SerializationUtils throws ClassNotFoundException cloning primitive classes Serialization Utils Class Exception
805	Int char random code length chars empty int nextInt Int RandomStringUtils Random String Utils	RandomStringUtils random count false false universe random throws java lang ArrayIndexOutOfBoundsException Random String Utils Array Bounds Exception
807	Random Utils RandomUtils Random Utils throws confusing start RandomStringUtils Random String Utils String lang Argument	RandomStringUtils throws confusing IAE start Random String Utils
822	Number createNumber create Number BigDecimal Big Decimal NumberUtils Number Utils behaviour Decimal Big create work leading	NumberUtils createNumber bad behaviour leading Number Utils create Number
831	FastDateParser Fast Parser space parse white FDP parsed SimpleDateFormat Simple Format treat treats dates	FastDateParser handle white space properly Fast Parser
832	quotes parse format unterminated handle SimpleDateFormat Simple Format Simple FastDateParser Fast Parser correctly handled	FastDateParser handle unterminated quotes correctly Fast Parser
882	Char CharSequence Char Sequence String CharBuffer Char Buffer work char code Map equals lookupMap lookup Map	LookupTranslator accepts CharSequence input fails work implementations String Lookup Translator Char Sequence
